k	loglikelihood	observations	parameters	BIC
1	-96782.2	41152	8	193649
2	-47803.8	41152	12	95735.2
3	-41575.3	41152	16	83320.5
4	-41154.6	41152	20	82521.6
5	-41075.6	41152	24	82406.2
6	-39261.1	41152	28	78819.6
7	-38883.7	41152	32	78107.5
8	-34459.7	41152	36	69301.9
9	-34278.2	41152	40	68981.4
10	-36052.7	41152	44	72572.9
11	-33427.7	41152	48	67365.3
12	-35574.4	41152	52	71701.3
13	-31942.7	41152	56	64480.5
14	-35441.8	41152	60	71521.1
15	-37148.6	41152	64	74977.2
16	-33339.2	41152	68	67400.8
17	-37654.7	41152	72	76074.4
18	-35694.4	41152	76	72196.3
19	-33118.9	41152	80	67087.9
20	-32997.4	41152	84	66887.4
