SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.22	0.3	0	0	0.04	0.057	0	0	0.074	0	0	0.24	0	0.074	1	0.31
1	0.59	0.00029	0	0.013	0	0	0	0	0.2	0	0	0.00023	0	0.2	0	0.26
2	0.54	0.026	0	0	0.0023	0.054	0	0	0.18	0	0	0.02	0	0.18	0	0.26
3	0	0	0.33	0	0	0	0.33	9.4e-05	0	0.33	0	0	0	0	2	0
4	0.42	0.16	0	0.00095	3.4e-05	0.015	0	0	0.14	0	0	0.13	0	0.14	0	0.26
5	0.52	0.064	0	0.013	0.00013	0.0072	0	0	0.17	0	2.1e-06	0.05	2.1e-06	0.17	0	0.26
6	0.28	0.28	0	0	0.033	0.00049	0	0	0.093	0	0	0.22	0	0.093	1	0.31
7	0.55	0.028	0	0.025	0	3.6e-05	0	0	0.19	0	0	0.022	0	0.19	0	0.26
8	0.53	0.01	0	0	0.0008	0.091	0	0	0.18	0	0	0.0082	0	0.18	0	0.26
9	0.58	0.0023	0	0.02	0	0	0	0	0.2	0	0	0.0018	0	0.2	0	0.26
10	0.51	0.077	0	0.002	0	4.5e-05	0	0	0.17	0	0	0.06	0	0.17	0	0.26
11	0	0	0.32	0	0	0	0.32	0.034	0	0.32	4.3e-05	0	4.3e-05	0	2	0
12	0.28	0.28	0	0	0.035	0.0091	0	0	0.094	0	0	0.22	0	0.094	0	0.26
13	0.34	0.0057	0	0	5.1e-05	0.42	0	0	0.12	0	0	0.0045	0	0.12	5	0.47
14	0.59	0.0013	0	0.016	0	0	0	0	0.2	0	0	0.0011	0	0.2	0	0.26
15	0.11	0.22	0	0	0.034	0.39	0	0	0.038	0	0	0.17	0	0.038	5	0.47
16	0	0	0	0	0	0	0	8.2e-05	0	0	0.5	0	0.5	0	10	0.087
17	0.49	0.084	0	0	0.0087	0.02	0	0	0.17	0	0	0.066	0	0.17	0	0.26
18	0.53	0.055	0	0.0085	0	0.00028	0	0	0.18	0	0	0.043	0	0.18	0	0.26
19	0.48	0.081	0	0	0.0088	0.036	0	0	0.16	0	0	0.064	0	0.16	0	0.26
20	0.55	0.029	0	0	0.0024	0.021	0	0	0.19	0	0	0.023	0	0.19	0	0.26
21	0	0	0.33	0	0	0	0.33	0	0	0.33	0	0	0	0	2	0
22	0.52	0.069	0	0.0012	0	3.3e-06	0	0	0.18	0	0	0.054	0	0.18	0	0.26
23	0.41	0.16	0	0	0.019	0.014	0	0	0.14	0	0	0.13	0	0.14	0	0.26
24	0.54	0.044	0	0	0.0039	0.019	0	0	0.18	0	0	0.034	0	0.18	0	0.26
25	0.42	0.16	0	0.00034	0	0.00033	0	0	0.14	0	0	0.13	0	0.14	0	0.26
26	0.27	0.18	0	0	0.028	0.2	0	0	0.091	0	0	0.14	0	0.091	0	0.26
27	0.5	0.092	0	4.9e-05	0	0	0	0	0.17	0	0	0.072	0	0.17	0	0.26
28	0.39	0.18	0	0	0.021	0.0067	0	0	0.13	0	0	0.14	0	0.13	0	0.26
29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0.029
30	0.15	0.34	0	0	0.05	0.081	0	0	0.052	0	0	0.27	0	0.052	1	0.31
31	0.14	0.4	0	0	0.053	0.0004	0	0	0.048	0	0	0.31	0	0.048	1	0.31
32	0.065	0.46	0	0	0.065	4.6e-05	0	0	0.022	0	0	0.36	0	0.022	1	0.31
33	0.53	0.058	0	0.0048	0	6.8e-05	0	0	0.18	0	0	0.046	0	0.18	0	0.26
34	0.42	0.14	0	0.00093	0.00024	0.036	0	0	0.14	0	0	0.11	0	0.14	0	0.26
35	0.43	0.12	0	0	0.014	0.045	0	0	0.15	0	0	0.095	0	0.15	0	0.26
36	0.59	0.0094	0	0.0012	0	0	0	0	0.2	0	0	0.0074	0	0.2	0	0.26
37	0.48	0.00023	0	0	9.3e-06	0.19	0	0	0.16	0	0	0.00018	0	0.16	0	0.26
38	0.11	0.38	0	0	0.056	0.073	0	0	0.038	0	0	0.3	0	0.038	1	0.31
39	0.26	0.3	0	0	0.034	0.00029	0	0	0.087	0	0	0.23	0	0.087	1	0.31
40	0	0	0	0	0	0	0	0.00021	0	0	0.5	0	0.5	0	10	0.087
41	0.49	0.095	0	0.0041	1.4e-05	0.0045	0	0	0.17	0	0	0.075	0	0.17	0	0.26
42	0.42	0.17	0	0.00013	0	1.9e-05	0	0	0.14	0	0	0.13	0	0.14	0	0.26
43	0.41	0.069	0	0	0.00054	0.19	0	0	0.14	0	0	0.055	0	0.14	0	0.26
44	0.55	0.025	0	0	0.0021	0.033	0	0	0.19	0	0	0.019	0	0.19	0	0.26
45	0.28	0.27	0	0	0.035	0.012	0	0	0.095	0	0	0.21	0	0.095	0	0.26
46	0.42	0.14	0	0	0.017	0.021	0	0	0.14	0	0	0.11	0	0.14	0	0.26
47	0.56	0.017	0	0.029	0	0	0	0	0.19	0	0	0.013	0	0.19	0	0.26
48	0.56	0.016	0	0.036	0	1.9e-06	0	0	0.19	0	0	0.013	0	0.19	0	0.26
49	0.49	0.0059	0	0	0.00043	0.16	0	0	0.17	0	0	0.0046	0	0.17	0	0.26
50	0.56	0.03	0	0.0003	0	0	0	0	0.19	0	0	0.023	0	0.19	0	0.26
51	0.3	0.26	0	0	0.03	0.00046	0	0	0.1	0	0	0.21	0	0.1	0	0.26
52	0.5	0.057	0	0	0.0059	0.05	0	0	0.17	0	0	0.045	0	0.17	0	0.26
53	0.49	0.067	0	0	0.007	0.052	0	0	0.17	0	0	0.052	0	0.17	0	0.26
54	0.46	0.099	0	0	0.011	0.037	0	0	0.16	0	0	0.078	0	0.16	0	0.26
55	0.33	0.2	0	0	0.026	0.065	0	0	0.11	0	0	0.16	0	0.11	0	0.26
56	0.28	0.27	0	0	0.034	0.0058	0	0	0.096	0	0	0.21	0	0.096	0	0.26
57	0	0	0.33	0	0	0	0.33	0.00085	0	0.33	0	0	0	0	2	0
58	0.29	0.24	0	0	0.031	0.05	0	0	0.1	0	0	0.19	0	0.1	0	0.26
59	0.32	0.21	0	0	0.027	0.048	0	0	0.11	0	0	0.17	0	0.11	0	0.26
60	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0.029
61	0.53	0.059	0	0.0007	0	0	0	0	0.18	0	0	0.046	0	0.18	0	0.26
62	0.55	0.00049	0	0.079	0	0	0	0	0.19	0	0	0.00039	0	0.19	0	0.26
63	0.57	0.022	0	0.0026	0	0	0	0	0.19	0	0	0.017	0	0.19	0	0.26
64	0.52	0.016	0	0	0.0014	0.09	0	0	0.18	0	0	0.013	0	0.18	0	0.26
65	0.31	0.26	0	0	0.029	0.00081	0	0	0.1	0	0	0.2	0	0.1	0	0.26
66	0.46	0.12	0	0	0.012	0.0016	0	0	0.15	0	0	0.098	0	0.15	0	0.26
67	0.51	0.075	0	0.0076	1.6e-05	0.0034	0	0	0.17	0	0	0.059	0	0.17	0	0.26
68	0.37	0.19	0	0	0.023	0.0063	0	0	0.13	0	0	0.15	0	0.13	0	0.26
69	0.48	0.069	0	5.7e-06	0.0069	0.056	0	0	0.16	0	0	0.055	0	0.16	0	0.26
70	0.54	0.0069	0	0	0.00049	0.088	0	0	0.18	0	0	0.0054	0	0.18	0	0.26
71	0.52	0.0012	0	0	6.5e-05	0.13	0	0	0.18	0	0	0.00098	0	0.18	0	0.26
72	0.54	0.05	0	0.002	0	1.1e-06	0	0	0.18	0	0	0.04	0	0.18	0	0.26
73	0.33	0.00054	0	0.44	0	0	0	0	0.11	0	0.0011	0.00042	0.0011	0.11	3	0.2
74	0.55	0.018	0	0.047	0	1.3e-05	0	0	0.19	0	1.1e-05	0.014	1.1e-05	0.19	0	0.26
75	0	0	0.33	0	0	0	0.33	0.00029	0	0.33	0	0	0	0	2	0
76	0.11	0.34	0	0	0.05	0.15	0	0	0.038	0	0	0.27	0	0.038	1	0.31
77	0.49	0.058	0	0	0.0065	0.07	0	0	0.17	0	0	0.046	0	0.17	0	0.26
78	0.55	0.0016	0	0.074	0	0	0	0	0.19	0	0	0.0012	0	0.19	0	0.26
79	0.45	0.11	0	0	0.013	0.029	0	0	0.15	0	0	0.089	0	0.15	0	0.26
80	0.41	0.16	0	0	0.019	0.014	0	0	0.14	0	0	0.13	0	0.14	0	0.26
81	0.23	0.32	0	0	0.036	0.0001	0	0	0.078	0	0	0.25	0	0.078	1	0.31
82	0.57	0.00092	0	0.038	0	0	0	0	0.19	0	0	0.00073	0	0.19	0	0.26
83	0.53	0.065	0	0.0008	0	0	0	0	0.18	0	0	0.051	0	0.18	0	0.26
84	0.58	0.015	0	0.007	0	0	0	0	0.2	0	0	0.012	0	0.2	0	0.26
85	0.45	0.12	0	0	0.013	0.0067	0	0	0.15	0	0	0.096	0	0.15	0	0.26
86	0.056	0.15	0	0	0.031	0.61	0	0	0.019	0	0	0.12	0	0.019	5	0.47
87	0.5	0.037	0	0	0.0027	0.096	0	0	0.17	0	0	0.029	0	0.17	0	0.26
88	0.56	0.027	0	0.0066	0	0	0	0	0.19	0	0	0.021	0	0.19	0	0.26
89	0.57	0.027	0	0.0031	0	0	0	0	0.19	0	0	0.022	0	0.19	0	0.26
90	0.52	0.03	0	0	0.0027	0.064	0	0	0.18	0	0	0.023	0	0.18	0	0.26
91	0.47	0.099	0	0.0034	0.00052	0.027	0	0	0.16	0	0	0.078	0	0.16	0	0.26
92	0.48	0.084	0	0	0.0092	0.033	0	0	0.16	0	0	0.066	0	0.16	0	0.26
93	0.51	0.05	0	0	0.005	0.048	0	0	0.17	0	0	0.039	0	0.17	0	0.26
94	0.53	0.016	0	0	0.0013	0.08	0	0	0.18	0	0	0.012	0	0.18	0	0.26
95	0	0	0.33	0	0	0	0.33	0.001	0	0.33	0	0	0	0	2	0
96	0.55	0.018	0	0.039	0	6e-06	0	0	0.19	0	0	0.014	0	0.19	0	0.26
97	0.49	0.026	0	0	0.0016	0.12	0	0	0.17	0	0	0.02	0	0.17	0	0.26
98	0.44	0.14	0	0	0.015	0.0061	0	0	0.15	0	0	0.11	0	0.15	0	0.26
99	0.56	0.025	0	0.019	0	6.3e-06	0	0	0.19	0	0	0.02	0	0.19	0	0.26
100	0.28	0.27	0	0	0.034	0.012	0	0	0.096	0	0	0.21	0	0.096	0	0.26
101	0.32	0.12	0	0	0.00015	0.26	0	0	0.11	0	0	0.091	0	0.11	0	0.26
102	0.15	0.39	0	0	0.052	0.0005	0	0	0.051	0	0	0.31	0	0.051	1	0.31
103	0.51	0.069	0	0	0.0065	0.0084	0	0	0.17	0	0	0.055	0	0.17	0	0.26
104	0	0	0	0	0	0	0	1	0	0	1.7e-05	0	1.7e-05	0	7	0.029
105	0.00058	1.3e-05	0	0	0.23	0.77	0	0	0.0002	0	0	9.5e-06	0	0.0002	5	0.47
106	0.47	0	0.07	0	0	0	0.07	0	0.16	0.07	0	0	0	0.16	0	0.26
107	0.6	0.00011	0	0	9.5e-06	0	0	0	0.2	0	0	8.8e-05	0	0.2	0	0.26
108	0.088	6.6e-05	0	0	0.85	0.00085	0	0	0.03	0	0	5.2e-05	0	0.03	4	0.58
109	0.35	1.4e-06	0	0.18	0	0.23	0	0	0.12	0	0	1.1e-06	0	0.12	0	0.26
110	0	0.0015	0	0	0	0	0	1	0	0	0	0.0012	0	0	7	0.029
111	0.49	0.00082	0	0.1	4.8e-05	0.084	0	0	0.16	0	0	0.00065	0	0.16	0	0.26
112	0.57	0.01	0	0.013	0.00085	0.016	0	0	0.19	0	0	0.0083	0	0.19	0	0.26
113	0.00051	0.0003	0	0	0.12	0.88	0	0	0.00017	0	0	0.00024	0	0.00017	5	0.47
114	0.5	0.08	0	0.0032	0.009	0.0048	0	0	0.17	0	0	0.063	0	0.17	0	0.26
