SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.16	0	0.07	0	0	0	0.16	0	0.07	0	0	0	0	0.057	0.057	0	0.057	0.074	0.23	0.065	18	0.42
1	0.49	0	7.7e-05	0.0042	0	0	0.49	0	7.7e-05	0	0	0.0042	0	6.4e-05	6.4e-05	0.0042	6.4e-05	0	0	7.2e-05	0	0.26
2	0.48	0	0.0072	0	0	0	0.48	0	0.0072	0	0	0	0	0.006	0.006	0	0.006	0.00015	0.01	0.0068	0	0.26
3	0	0	0	0	0	1	0	4.7e-05	0	0	4.7e-05	0	0	0	0	0	0	0	0	0	5	0
4	0.35	0	0.042	0.0003	0	0	0.35	0	0.042	0	0	0.0003	0	0.035	0.035	0.0003	0.035	2e-06	0.069	0.04	0	0.26
5	0.44	0	0.017	0.0043	0	0	0.44	0	0.017	0	0	0.0043	0	0.014	0.014	0.0043	0.014	3.5e-05	0.019	0.016	0	0.26
6	0.26	0	0.085	0	0	0	0.26	0	0.085	0	0	0	0	0.07	0.07	0	0.07	0.01	0.0017	0.079	0	0.26
7	0.47	0	0.0074	0.008	0	0	0.47	0	0.0074	0	0	0.008	0	0.0061	0.0061	0.008	0.0061	0	0.00054	0.0069	0	0.26
8	0.48	0	0.003	0	0	0	0.48	0	0.003	0	0	0	0	0.0024	0.0024	0	0.0024	1.6e-05	0.023	0.0028	0	0.26
9	0.49	0	0.00061	0.0065	0	0	0.49	0	0.00061	0	0	0.0065	0	0.0005	0.0005	0.0065	0.0005	0	0	0.00057	0	0.26
10	0.44	0	0.021	0.00065	0	0	0.44	0	0.021	0	0	0.00065	0	0.017	0.017	0.00065	0.017	0	0.0015	0.019	0	0.26
11	0	2e-05	0	0	3.2e-05	0.97	0	0.017	0	3.2e-05	0.017	0	0	0	0	0	0	0	0	0	5	0
12	0.24	0	0.075	0	0	0	0.24	0	0.075	0	0	0	0	0.061	0.061	0	0.061	0.044	0.076	0.07	0	0.26
13	0.16	0	0.00086	0	0	0	0.16	0	0.00086	0	0	0	0	0.00071	0.00071	0	0.00071	0	0.67	0.00081	18	0.42
14	0.49	0	0.00035	0.005	0	0	0.49	0	0.00035	0	0	0.005	0	0.00029	0.00029	0.005	0.00029	0	0	0.00033	0	0.26
15	0.072	0	0.043	0	0	0	0.072	0	0.043	0	0	0	0	0.036	0.036	0	0.036	0.088	0.53	0.041	18	0.42
16	0	0.24	0	0	0.38	0	0	4.2e-05	0	0.38	4.2e-05	0	0	0	0	0	0	0	0	0	4	0.087
17	0.43	0	0.023	0	0	0	0.43	0	0.023	0	0	0	0	0.019	0.019	0	0.019	0.0025	0.003	0.022	0	0.26
18	0.45	0	0.015	0.0028	0	0	0.45	0	0.015	0	0	0.0028	0	0.012	0.012	0.0028	0.012	0	0.003	0.014	0	0.26
19	0.43	0	0.022	0	0	0	0.43	0	0.022	0	0	0	0	0.018	0.018	0	0.018	0.005	0.02	0.021	0	0.26
20	0.48	0	0.0079	0	0	0	0.48	0	0.0079	0	0	0	0	0.0065	0.0065	0	0.0065	5.8e-05	0.0004	0.0074	0	0.26
21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
22	0.45	0	0.019	0.00039	0	0	0.45	0	0.019	0	0	0.00039	0	0.015	0.015	0.00039	0.015	0	0.00033	0.017	0	0.26
23	0.36	0	0.044	0	0	0	0.36	0	0.044	0	0	0	0	0.036	0.036	0	0.036	0.016	0.03	0.041	0	0.26
24	0.47	0	0.012	0	0	0	0.47	0	0.012	0	0	0	0	0.0098	0.0098	0	0.0098	0.00022	0.00051	0.011	0	0.26
25	0.37	0	0.045	0.00011	0	0	0.37	0	0.045	0	0	0.00011	0	0.037	0.037	0.00011	0.037	0	0.0091	0.042	0	0.26
26	0.14	0	0.029	0	0	0	0.14	0	0.029	0	0	0	0	0.024	0.024	0	0.024	0.092	0.47	0.027	18	0.42
27	0.43	0	0.025	1.6e-05	0	0	0.43	0	0.025	0	0	1.6e-05	0	0.02	0.02	1.6e-05	0.02	0	7.1e-06	0.023	0	0.26
28	0.35	0	0.051	0	0	0	0.35	0	0.051	0	0	0	0	0.042	0.042	0	0.042	0.015	0.017	0.047	0	0.26
