SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	0	0.12	0	0.11	0.13	0	0.11	0.13	0	0	0	0	0.11	0.23	0.074	0	13	0.42
1	0	0.00013	0	0.33	0.00015	0.013	0.33	0.00014	0	0	0	0	0.33	0	0	0	3	0.26
2	0	0.012	0	0.32	0.014	0	0.32	0.013	0	0	0	0	0.32	0.01	0.00015	0	3	0.26
3	0	0	1	0	0	0	0	0	4.7e-05	0	0	4.7e-05	0	0	0	0	2	0
4	0	0.07	0	0.23	0.081	0.00091	0.23	0.077	0	0	0	0	0.23	0.069	2e-06	0	3	0.26
5	0	0.028	0	0.29	0.033	0.013	0.29	0.031	0	0	0	0	0.29	0.019	3.5e-05	0	3	0.26
6	0	0.14	0	0.18	0.16	0	0.18	0.16	0	0	0	0	0.18	0.0017	0.01	0	3	0.26
7	0	0.012	0	0.31	0.014	0.024	0.31	0.014	0	0	0	0	0.31	0.00054	0	0	3	0.26
8	0	0.0049	0	0.32	0.0057	0	0.32	0.0054	0	0	0	0	0.32	0.023	1.6e-05	0	3	0.26
9	0	0.001	0	0.33	0.0012	0.02	0.33	0.0011	0	0	0	0	0.33	0	0	0	3	0.26
10	0	0.034	0	0.29	0.04	0.002	0.29	0.038	0	0	0	0	0.29	0.0015	0	0	3	0.26
11	3.1e-05	0	0.97	0	0	0	0	0	0.017	2.3e-05	3.1e-05	0.017	0	0	0	0	2	0
12	0	0.12	0	0.16	0.14	0	0.16	0.14	0	0	0	0	0.16	0.076	0.044	0	3	0.26
13	0	0.0014	0	0.11	0.0017	0	0.11	0.0016	0	0	0	0	0.11	0.67	0	0	13	0.42
14	0	0.00058	0	0.33	0.00068	0.015	0.33	0.00064	0	0	0	0	0.33	0	0	0	3	0.26
15	0	0.072	0	0.048	0.083	0	0.048	0.079	0	0	0	0	0.048	0.53	0.088	0	13	0.42
16	0.37	0	0	0	0	0	0	0	4.2e-05	0.27	0.37	4.2e-05	0	0	0	0	0	0.087
17	0	0.038	0	0.29	0.045	0	0.29	0.042	0	0	0	0	0.29	0.003	0.0025	0	3	0.26
18	0	0.024	0	0.3	0.028	0.0083	0.3	0.027	0	0	0	0	0.3	0.003	0	0	3	0.26
19	0	0.037	0	0.28	0.043	0	0.28	0.041	0	0	0	0	0.28	0.02	0.005	0	3	0.26
20	0	0.013	0	0.32	0.015	0	0.32	0.014	0	0	0	0	0.32	0.0004	5.8e-05	0	3	0.26
21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
22	0	0.031	0	0.3	0.036	0.0012	0.3	0.034	0	0	0	0	0.3	0.00033	0	0	3	0.26
23	0	0.073	0	0.24	0.084	0	0.24	0.08	0	0	0	0	0.24	0.03	0.016	0	3	0.26
24	0	0.02	0	0.31	0.023	0	0.31	0.022	0	0	0	0	0.31	0.00051	0.00022	0	3	0.26
25	0	0.075	0	0.25	0.087	0.00034	0.25	0.083	0	0	0	0	0.25	0.0091	0	0	3	0.26
26	0	0.048	0	0.094	0.056	0	0.094	0.053	0	0	0	0	0.094	0.47	0.092	0	13	0.42
27	0	0.041	0	0.29	0.048	4.8e-05	0.29	0.045	0	0	0	0	0.29	7.1e-06	0	0	3	0.26
28	0	0.084	0	0.23	0.097	0	0.23	0.092	0	0	0	0	0.23	0.017	0.015	0	3	0.26
29	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	8	0.029
30	0	0.11	0	0.061	0.12	0	0.061	0.12	0	0	0	0	0.061	0.36	0.11	0	13	0.42
31	0	0.2	0	0.091	0.23	0	0.091	0.22	0	0	0	0	0.091	0.029	0.054	0	4	0.31
32	0	0.24	0	0.043	0.28	0	0.043	0.27	0	0	0	0	0.043	0.017	0.064	0	4	0.31
33	0	0.026	0	0.3	0.03	0.0047	0.3	0.028	0	0	0	0	0.3	0.0014	0	0	3	0.26
34	0	0.062	0	0.23	0.072	0.00088	0.23	0.069	0	0	0	0	0.23	0.1	2.8e-05	0	3	0.26
35	0	0.053	0	0.24	0.062	0	0.24	0.059	0	0	0	0	0.24	0.072	0.019	0	3	0.26
36	0	0.0041	0	0.33	0.0048	0.0011	0.33	0.0045	0	0	0	0	0.33	0	0	0	3	0.26
37	0	0.00012	0	0.33	0.00014	0	0.33	0.00014	0	0	0	0	0.33	0.0052	0	0	3	0.26
38	0	0.12	0	0.045	0.14	0	0.045	0.13	0	0	0	0	0.045	0.36	0.12	0	13	0.42
39	0	0.15	0	0.17	0.17	0	0.17	0.17	0	0	0	0	0.17	0.00075	0.0078	0	4	0.31
40	0.37	0	0	0	0	0	0	0	0.0001	0.27	0.37	0.0001	0	0	0	0	0	0.087
41	0	0.042	0	0.28	0.049	0.004	0.28	0.047	0	0	0	0	0.28	0.022	1.1e-06	0	3	0.26
42	0	0.077	0	0.25	0.089	0.00014	0.25	0.085	0	0	0	0	0.25	0.002	0	0	3	0.26
43	0	0.025	0	0.19	0.029	0	0.19	0.027	0	0	0	0	0.19	0.35	2e-05	0	13	0.42
44	0	0.011	0	0.32	0.013	0	0.32	0.012	0	0	0	0	0.32	0.0016	6.2e-05	0	3	0.26
45	0	0.12	0	0.16	0.14	0	0.16	0.13	0	0	0	0	0.16	0.087	0.045	0	3	0.26
46	0	0.065	0	0.24	0.076	0	0.24	0.072	0	0	0	0	0.24	0.036	0.016	0	3	0.26
47	0	0.0073	0	0.32	0.0084	0.028	0.32	0.008	0	0	0	0	0.32	4.9e-05	0	0	3	0.26
48	0	0.0072	0	0.31	0.0083	0.034	0.31	0.0079	0	0	0	0	0.31	7e-05	0	0	3	0.26
49	0	0.0027	0	0.29	0.0032	0	0.29	0.003	0	0	0	0	0.29	0.12	6.7e-06	0	3	0.26
50	0	0.013	0	0.32	0.015	0.00029	0.32	0.014	0	0	0	0	0.32	0	0	0	3	0.26
51	0	0.13	0	0.19	0.15	0	0.19	0.14	0	0	0	0	0.19	0.00051	0.0057	0	3	0.26
52	0	0.026	0	0.3	0.03	0	0.3	0.029	0	0	0	0	0.3	0.026	0.0022	0	3	0.26
53	0	0.03	0	0.29	0.035	0	0.29	0.033	0	0	0	0	0.29	0.039	0.0037	0	3	0.26
54	0	0.045	0	0.27	0.052	0	0.27	0.05	0	0	0	0	0.27	0.037	0.01	0	3	0.26
55	0	0.085	0	0.18	0.099	0	0.18	0.094	0	0	0	0	0.18	0.15	0.04	0	3	0.26
56	0	0.12	0	0.17	0.14	0	0.17	0.14	0	0	0	0	0.17	0.055	0.038	0	3	0.26
57	0	0	1	0	0	0	0	0	0.00043	0	0	0.00043	0	0	0	0	2	0
58	0	0.099	0	0.16	0.11	0	0.16	0.11	0	0	0	0	0.16	0.16	0.049	0	13	0.42
59	0	0.091	0	0.18	0.11	0	0.18	0.1	0	0	0	0	0.18	0.14	0.042	0	3	0.26
60	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	8	0.029
61	0	0.026	0	0.3	0.03	0.00068	0.3	0.029	0	0	0	0	0.3	5.2e-05	0	0	3	0.26
