k	loglikelihood	observations	parameters	BIC
1	-22750.4	12648	2	45519.8
2	-9580.57	12648	3	19189.5
3	-8640.19	12648	4	17318.2
4	-8419.17	12648	5	16885.6
5	-8199.85	12648	6	16456.4
6	-8152.78	12648	7	16371.7
7	-8087.36	12648	8	16250.3
8	-8121.57	12648	9	16328.2
9	-8121.57	12648	10	16337.6
10	-8084.85	12648	11	16273.6
11	-8063.64	12648	12	16240.6
12	-8063.64	12648	13	16250.1
13	-8063.64	12648	14	16259.5
14	-8077.16	12648	15	16296
15	-8063.64	12648	16	16278.4
16	-8063.64	12648	17	16287.9
17	-8063.64	12648	18	16297.3
18	-8063.64	12648	19	16306.7
19	-8063.05	12648	20	16315
20	-8063.64	12648	21	16325.6
