SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.33	0.14	0.13	0	0	0	0.22	0.11	0.079	0	0.26
1	0.99	0.00015	0.00014	0.014	0	0	0	0.00012	0	0	0.26
2	0.95	0.014	0.013	0	0	0	0.0096	0.012	0.0053	0	0.26
3	0	0	0	0	0.00012	1	0	0	0	5	0
4	0.7	0.083	0.077	0.001	0	0	0.066	0.068	7.6e-05	0	0.26
5	0.88	0.033	0.031	0.015	0	0	0.018	0.027	0.00029	0	0.26
6	0.49	0.16	0.14	0	0	0	0.0016	0.13	0.077	0	0.26
7	0.93	0.014	0.013	0.027	0	0	0.00051	0.012	0	0	0.26
8	0.96	0.0058	0.0054	0	0	0	0.022	0.0047	0.0019	0	0.26
9	0.97	0.0012	0.0011	0.022	0	0	0	0.00098	0	0	0.26
10	0.88	0.041	0.038	0.0022	0	0	0.0014	0.033	0	0	0.26
11	0	0	0	0	0.042	0.96	0	0	0	5	0
12	0.46	0.14	0.13	0	0	0	0.071	0.12	0.077	0	0.26
13	0.34	0.0017	0.0016	0	0	0	0.66	0.0014	6.6e-05	6	0.42
14	0.98	0.00069	0.00064	0.017	0	0	0	0.00056	0	0	0.26
15	0.15	0.09	0.083	0	0	0	0.54	0.073	0.061	6	0.42
16	0	0	0	0.0058	0.99	0	0	0	0	4	0.029
17	0.85	0.045	0.042	0	0	0	0.0028	0.036	0.02	0	0.26
18	0.91	0.029	0.027	0.0095	0	0	0.0028	0.024	0	0	0.26
19	0.84	0.043	0.04	0	0	0	0.019	0.035	0.02	0	0.26
20	0.95	0.015	0.014	0	0	0	0.00038	0.013	0.0054	0	0.26
21	0	0	0	0	2.3e-06	1	0	0	0	5	0
22	0.9	0.036	0.034	0.0013	0	0	0.00032	0.03	0	0	0.26
23	0.7	0.084	0.078	0	0	0	0.028	0.068	0.042	0	0.26
24	0.93	0.023	0.022	0	0	0	0.00049	0.019	0.0089	0	0.26
25	0.75	0.089	0.083	0.00039	0	0	0.0087	0.073	0	0	0.26
26	0.3	0.062	0.057	0	0	0	0.49	0.05	0.041	6	0.42
27	0.87	0.049	0.045	5.5e-05	0	0	6.9e-06	0.04	0	0	0.26
28	0.67	0.096	0.089	0	0	0	0.015	0.078	0.048	0	0.26
29	0	0	0	0	1	0	0	0	0	4	0.029
30	0.19	0.13	0.12	0	0	0	0.36	0.11	0.083	6	0.42
31	0.25	0.22	0.2	0	0	0	0.026	0.18	0.12	0	0.26
