SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
0	0.33	0.079	0.2	0	0	0.17	0.22	0	0	0.26
1	0.99	0	0.00022	0.014	0	0.00019	0	0	0	0.26
2	0.95	0.0053	0.021	0	0	0.018	0.0096	0	0	0.26
3	0	0	0	0	0.00012	0	0	1	7	0
4	0.7	7.6e-05	0.12	0.001	0	0.11	0.066	0	0	0.26
5	0.88	0.00029	0.049	0.015	0	0.042	0.018	0	0	0.26
6	0.49	0.077	0.23	0	0	0.2	0.0016	0	0	0.26
7	0.93	0	0.021	0.027	0	0.018	0.00051	0	0	0.26
8	0.96	0.0019	0.0085	0	0	0.0074	0.022	0	0	0.26
9	0.97	0	0.0018	0.022	0	0.0015	0	0	0	0.26
10	0.88	0	0.06	0.0022	0	0.052	0.0014	0	0	0.26
11	0	0	0	0	0.042	0	0	0.96	7	0
12	0.46	0.077	0.21	0	0	0.18	0.071	0	0	0.26
13	0.34	6.6e-05	0.0026	0	0	0.0022	0.66	0	6	0.42
14	0.98	0	0.001	0.017	0	0.00088	0	0	0	0.26
15	0.15	0.061	0.13	0	0	0.11	0.54	0	6	0.42
16	0	0	0	0.0058	0.99	0	0	0	4	0.029
17	0.85	0.02	0.066	0	0	0.057	0.0028	0	0	0.26
18	0.91	0	0.042	0.0095	0	0.037	0.0028	0	0	0.26
19	0.84	0.02	0.064	0	0	0.055	0.019	0	0	0.26
20	0.95	0.0054	0.023	0	0	0.02	0.00038	0	0	0.26
21	0	0	0	0	2.3e-06	0	0	1	7	0
22	0.9	0	0.053	0.0013	0	0.046	0.00032	0	0	0.26
23	0.7	0.042	0.12	0	0	0.11	0.028	0	0	0.26
24	0.93	0.0089	0.034	0	0	0.03	0.00049	0	0	0.26
25	0.75	0	0.13	0.00039	0	0.11	0.0087	0	0	0.26
26	0.3	0.041	0.091	0	0	0.078	0.49	0	6	0.42
27	0.87	0	0.072	5.5e-05	0	0.062	6.9e-06	0	0	0.26
28	0.67	0.048	0.14	0	0	0.12	0.015	0	0	0.26
29	0	0	0	0	1	0	0	0	4	0.029
30	0.19	0.083	0.19	0	0	0.17	0.36	0	6	0.42
31	0.25	0.12	0.32	0	0	0.28	0.026	0	2	0.31
32	0.12	0.16	0.38	0	0	0.33	0.015	0	2	0.31
33	0.91	0	0.045	0.0053	0	0.039	0.0014	0	0	0.26
34	0.7	0.00053	0.11	0.001	0	0.094	0.099	0	0	0.26
35	0.73	0.032	0.092	0	0	0.08	0.069	0	0	0.26
36	0.99	0	0.0072	0.0013	0	0.0062	0	0	0	0.26
37	0.99	2.5e-05	0.00022	0	0	0.00019	0.005	0	0	0.26
38	0.14	0.092	0.22	0	0	0.19	0.36	0	6	0.42
39	0.46	0.081	0.24	0	0	0.21	0.00067	0	0	0.26
40	0	0	0	0.0015	1	0	0	0	4	0.029
41	0.84	3.1e-05	0.074	0.0046	0	0.064	0.021	0	0	0.26
42	0.75	0	0.13	0.00016	0	0.12	0.0019	0	0	0.26
