SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0.28	0.33	0	0.39	0	0	0	3	0.31
1	0	0.99	0	0.00042	0	0.013	0	1	0.26
2	0.012	0.95	0	0.039	0	0	0	1	0.26
3	0	0	0	0	1	0	9.5e-05	4	0
4	0.083	0.69	0	0.23	0	0.00089	0	1	0.26
5	0.023	0.87	4e-06	0.092	0	0.013	0	1	0.26
6	0.0022	0.53	0	0.47	0	0	0	1	0.26
7	0.00066	0.94	0	0.04	0	0.024	0	1	0.26
8	0.028	0.96	0	0.016	0	0	0	1	0.26
9	0	0.98	0	0.0033	0	0.019	0	1	0.26
10	0.0018	0.88	0	0.11	0	0.0019	0	1	0.26
11	0	0	8.5e-05	0	0.97	0	0.034	4	0
12	0.096	0.49	0	0.42	0	0	0	1	0.26
13	0.71	0.28	0	0.0041	0	0	0	0	0.42
14	0	0.98	0	0.0019	0	0.015	0	1	0.26
15	0.63	0.14	0	0.23	0	0	0	0	0.42
16	0	0	1	0	0	0	8.4e-05	2	0.087
17	0.0037	0.87	0	0.13	0	0	0	1	0.26
18	0.0036	0.91	0	0.08	0	0.0082	0	1	0.26
19	0.025	0.85	0	0.12	0	0	0	1	0.26
20	0.00049	0.96	0	0.043	0	0	0	1	0.26
21	0	0	0	0	1	0	0	4	0
22	0.0004	0.9	0	0.1	0	0.0011	0	1	0.26
23	0.037	0.72	0	0.24	0	0	0	1	0.26
24	0.00063	0.93	0	0.065	0	0	0	1	0.26
25	0.011	0.74	0	0.25	0	0.00034	0	1	0.26
26	0.57	0.28	0	0.16	0	0	0	0	0.42
27	8.8e-06	0.86	0	0.14	0	4.8e-05	0	1	0.26
28	0.02	0.7	0	0.28	0	0	0	1	0.26
29	0	0	0	0	0	0	1	6	0.029
30	0.45	0.19	0	0.36	0	0	0	0	0.42
31	0.038	0.28	0	0.68	0	0	0	3	0.31
32	0.023	0.14	0	0.84	0	0	0	3	0.31
33	0.0018	0.91	0	0.084	0	0.0046	0	1	0.26
34	0.12	0.68	0	0.2	0	0.00086	0	1	0.26
35	0.089	0.74	0	0.18	0	0	0	1	0.26
36	0	0.99	0	0.014	0	0.0011	0	1	0.26
37	0.0064	0.99	0	0.00041	0	0	0	1	0.26
38	0.45	0.14	0	0.41	0	0	0	0	0.42
39	0.00092	0.5	0	0.5	0	0	0	1	0.26
40	0	0	1	0	0	0	0.00021	2	0.087
41	0.026	0.83	0	0.14	0	0.0039	0	1	0.26
42	0.0025	0.74	0	0.25	0	0.00013	0	1	0.26
43	0.4	0.52	0	0.075	0	0	0	1	0.26
44	0.0019	0.96	0	0.037	0	0	0	1	0.26
45	0.11	0.49	0	0.4	0	0	0	1	0.26
46	0.045	0.74	0	0.22	0	0	0	1	0.26
47	6e-05	0.95	0	0.024	0	0.028	0	1	0.26
48	8.6e-05	0.94	0	0.024	0	0.034	0	1	0.26
49	0.14	0.85	0	0.0087	0	0	0	1	0.26
50	0	0.96	0	0.043	0	0.00029	0	1	0.26
51	0.00063	0.57	0	0.43	0	0	0	1	0.26
52	0.032	0.88	0	0.086	0	0	0	1	0.26
53	0.047	0.85	0	0.099	0	0	0	1	0.26
54	0.046	0.81	0	0.15	0	0	0	1	0.26
55	0.18	0.54	0	0.28	0	0	0	1	0.26
56	0.07	0.51	0	0.42	0	0	0	1	0.26
57	0	0	0	0	1	0	0.00086	4	0
58	0.2	0.48	0	0.33	0	0	0	1	0.26
59	0.17	0.53	0	0.3	0	0	0	1	0.26
60	0	0	0	0	0	0	1	6	0.029
61	6.4e-05	0.91	0	0.086	0	0.00068	0	1	0.26
62	0	0.92	0	0.00071	0	0.076	0	1	0.26
63	3.1e-06	0.97	0	0.031	0	0.0025	0	1	0.26
64	0.047	0.93	0	0.025	0	0	0	1	0.26
65	0.0023	0.58	0	0.42	0	0	0	1	0.26
66	1.3e-05	0.81	0	0.19	0	0	0	1	0.26
67	0.018	0.87	0	0.11	0	0.0073	0	1	0.26
68	0.025	0.68	0	0.3	0	0	0	1	0.26
69	0.062	0.84	0	0.1	0	5.5e-06	0	1	0.26
70	0.015	0.97	0	0.011	0	0	0	1	0.26
71	0.0088	0.99	0	0.002	0	0	0	1	0.26
72	0.00017	0.92	0	0.073	0	0.0019	0	1	0.26
73	0	0.56	0.0022	0.00078	0	0.43	0	1	0.26
74	0.00027	0.93	2.1e-05	0.026	0	0.045	0	1	0.26
75	0	0	0	0	1	0	0.00029	4	0
76	0.54	0.13	0	0.33	0	0	0	0	0.42
77	0.087	0.83	0	0.085	0	0	0	1	0.26
78	0	0.93	0	0.0022	0	0.071	0	1	0.26
79	0.038	0.79	0	0.17	0	0	0	1	0.26
80	0.038	0.72	0	0.24	0	0	0	1	0.26
81	0.00016	0.45	0	0.55	0	0	0	3	0.31
82	0	0.96	0	0.0013	0	0.036	0	1	0.26
83	0.00015	0.9	0	0.095	0	0.00078	0	1	0.26
84	2.7e-06	0.97	0	0.021	0	0.0067	0	1	0.26
85	0.0011	0.81	0	0.19	0	0	0	1	0.26
86	0.77	0.069	0	0.16	0	0	0	0	0.42
87	0.13	0.82	0	0.052	0	0	0	1	0.26
88	4.7e-05	0.96	0	0.038	0	0.0064	0	1	0.26
89	1.5e-05	0.96	0	0.039	0	0.003	0	1	0.26
90	0.028	0.93	0	0.045	0	0	0	1	0.26
91	0.074	0.78	0	0.14	0	0.0032	0	1	0.26
92	0.02	0.85	0	0.13	0	0	0	1	0.26
93	0.021	0.9	0	0.075	0	0	0	1	0.26
94	0.029	0.95	0	0.024	0	0	0	1	0.26
95	0	0	0	0	1	0	0.001	4	0
96	0.00018	0.94	2.7e-06	0.026	0	0.037	0	1	0.26
97	0.18	0.79	0	0.035	0	0	0	1	0.26
98	0.0019	0.79	0	0.21	0	0	0	1	0.26
99	0.00023	0.95	0	0.036	0	0.019	0	1	0.26
100	0.11	0.49	0	0.4	0	0	0	1	0.26
101	0.62	0.29	0	0.09	0	0	0	0	0.42
102	0.041	0.3	0	0.66	0	0	0	3	0.31
103	9.8e-05	0.9	0	0.1	0	0	0	1	0.26
104	0	0	3.3e-05	0	0	0	1	6	0.029
105	0.99	0.0074	0	0.00014	0	0	0	0	0.42
106	0	0.79	0	0	0.21	0	0	1	0.26
107	0	1	0	0.00016	0	0	0	1	0.26
108	1.8e-06	1	0	0.00064	0	0	0	1	0.26
109	0.00014	0.77	0	2.6e-06	0	0.23	0	1	0.26
110	0	0	0	0.0023	0	0	1	6	0.029
111	0.008	0.89	0	0.0013	0	0.1	0	1	0.26
112	0.00029	0.97	0	0.015	0	0.013	0	1	0.26
113	1	0.0028	0	0.0014	0	0	0	0	0.42
114	0.0059	0.87	0	0.12	0	0.0032	0	1	0.26
115	0.00028	0.98	0	0.0075	0	0.017	0	1	0.26
116	0	0.79	0	0	0.21	0	1.5e-05	1	0.26
117	0	0	0.00014	0.081	0	0	0.92	6	0.029
118	1.9e-05	0.85	0	0.15	0	6.2e-05	0	1	0.26
119	0.024	0.89	3e-06	0.0098	0	0.072	0	1	0.26
120	0.0003	0.97	0	0.013	0	0.014	0	1	0.26
121	0	0	0	0.0078	0	0	0.99	6	0.029
122	0.99	0.0008	0	0.011	0	0	0	0	0.42
123	0	0	0.00018	0.11	0	0	0.89	6	0.029
124	0	0.99	0	0.0064	0	0	0	1	0.26
125	0.00051	0.88	0	0.11	0	0	0	1	0.26
126	0	0.99	0	0.0085	0	0	0	1	0.26
127	0	0	0	1.4e-05	0	0	1	6	0.029
128	0	0	5.7e-06	0.04	0	0	0.96	6	0.029
129	4.6e-06	0.97	0	0.025	0	0	0	1	0.26
130	0	0	1.7e-05	0.054	0	0	0.95	6	0.029
131	0	0	0	0.014	0	0	0.99	6	0.029
132	0	0	0.00017	0.087	0	0	0.91	6	0.029
133	0	0	0	0.018	0	0	0.98	6	0.029
134	0.0015	0.94	0	0.061	0	0	0	1	0.26
