k	loglikelihood	observations	parameters	BIC
1	-5140.33	1918	4	10310.9
2	-2064.26	1918	6	4173.87
3	-1455.04	1918	8	2970.56
4	-1098.75	1918	10	2273.1
5	-1040.19	1918	12	2171.08
6	-997.341	1918	14	2100.51
7	-976.233	1918	16	2073.41
8	-952.346	1918	18	2040.75
9	-953.37	1918	20	2057.92
10	-934.548	1918	22	2035.4
11	-932.121	1918	24	2045.66
12	-928.093	1918	26	2052.72
13	-925.121	1918	28	2061.89
14	-922.212	1918	30	2071.2
15	-925.025	1918	32	2091.94
16	-923.77	1918	34	2104.55
17	-923.937	1918	36	2120
18	-921.233	1918	38	2129.71
19	-917.078	1918	40	2136.52
20	-921.233	1918	42	2159.95
