SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	0	0	0	0	0.97	0	0	0	0	0	0	0	0	0	0	0	8e-06	0.028	5	0.18	0
1	0	0	0.0046	0	0	0.75	0	0	0	0.0004	0	0	0	0	0	0	7.2e-05	0.0041	0.24	5	0.18	0
2	0	0	0	0.99	2.7e-05	0	0.0065	0	0	0	0	0	0	0	2.2e-06	0	0	0	0	3	0	0.33
3	0	0	0	0.00054	0.64	0	0	0	0	0.00035	0	0	0.36	0	1.9e-05	0	6.3e-05	0	0	4	0	0.19
4	0	0	0	0.073	0.92	0	0.00017	0	0	0	0	0	0.0078	0	4.9e-05	0	0	0	0	4	0	0.19
5	0	0	0.37	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.047	0.51	18	0.12	0
6	0	0	0	4.8e-05	0.91	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	4	0	0.19
7	0	0	0	0.58	0.19	0	0.19	0	0	0	0.0001	0	0.0033	8.7e-06	0.033	0	0	0	0	3	0	0.33
8	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0.0019	2	0.06	0
9	0	0	0	0.088	0.81	0	0.0075	0	0	0	1.1e-06	0	0.089	0	0.0051	0	0	0	0	4	0	0.19
10	0.37	0.45	0	0	0	0	0	0.065	0.002	3e-06	0	0.0014	0	4.2e-06	0	0.12	0	0	0	1	0.27	0.44
11	0	0	0	0.98	4.8e-05	0	0.02	0	0	0	0	0	0	0	5e-05	0	0	0	0	3	0	0.33
12	0	0	0	0.19	0.68	0	0.04	0	0	4.9e-05	5.7e-05	2.6e-06	0.068	2.4e-05	0.016	0	8.8e-06	0	0	4	0	0.19
13	0	0	0	0.011	0	0	0.99	0	0	0	7.4e-05	0	0	0	3.9e-05	0	0	0	0	6	0	0.43
14	0	0	0.89	0	0	0.0007	0	0	0	0.00061	0	0	0	0	0	0	0.00011	0.03	0.083	2	0.06	0
15	0.66	0.0022	0	0	0	0	0	0.12	0.0014	2.3e-06	0.00015	0.0014	0	0.0017	0	0.21	0	0	0	0	0.27	0.57
16	0.67	0.00064	0	0	0	0	0	0.12	8.1e-05	0	0	7e-06	0	9.1e-06	0	0.21	0	0	0	0	0.27	0.57
17	0	0	0	0	0.064	0	0	0	0	0	0	0	0.94	0	0	0	0	0	0	12	0	0.14
18	0	0	0	0.36	0.0016	0	0.62	0	0	0	0.00051	0	2.7e-06	0	0.012	0	0	0	0	6	0	0.43
19	0.67	0.00012	0	0	0	0	0	0.12	1.2e-06	0	0	0	0	3.5e-06	0	0.21	0	0	0	0	0.27	0.57
20	0	0	0	0.016	0.91	0	0.00011	0	0	0	0	0	0.071	0	0.00016	0	0	0	0	4	0	0.19
21	0.67	0	0	0	0	0	0	0.12	0	0.00036	0	0	0	0	0	0.21	6.4e-05	0	0	0	0.27	0.57
22	0	0	0.00034	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0	0.012	0.95	18	0.12	0
23	0.67	0	0	0	0	0	0	0.12	0	0.00078	0	0	0	0	0	0.21	0.00014	0	0	0	0.27	0.57
24	0.64	6.9e-05	0	0	0	0	0	0.11	4.2e-05	0.037	0	0	0	0	0	0.2	0.0066	0	0	0	0.27	0.57
25	0	0	0.73	0	0	0.00045	0	0	0	0	0	0	0	0	0	0	0	0.068	0.2	2	0.06	0
26	0	0	0	0.02	0.97	0	1.5e-05	0	0	0	0	0	0.012	0	2.5e-05	0	0	0	0	4	0	0.19
27	0.67	0.00034	0	0	0	0	0	0.12	6.5e-06	0	0	0	0	0	0	0.21	0	0	0	0	0.27	0.57
28	0.053	0.0046	0	0	0	0	0	0.0093	0.91	0	0	0.007	0	0	0	0.017	0	0	0	8	0.37	0.43
29	0	0	0	0.87	0.1	0	0.02	0	0	0	0	0	0.00011	0	0.00082	0	0	0	0	3	0	0.33
30	0.66	0	0	0	0	0	0	0.12	0	0.005	0	0	0	0	0	0.21	0.00089	0	0	0	0.27	0.57
31	0	0	0	0.01	0.94	0	2.4e-05	0	0	0	0	0.0032	0.047	0	9.2e-06	0	0	0	0	4	0	0.19
32	0.015	0.014	0	0.53	0.003	0	0.27	0.0027	0	0	0	0.16	2.3e-06	0	0.0022	0.0049	0	0	0	3	0	0.33
33	0.4	0.022	0	0	0	0	0	0.07	0.045	0.00052	0	0.33	0	0.011	0	0.13	9.3e-05	0	0	0	0.27	0.57
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0.03	0.33
