SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	0	1	1	0.03	0.19
1	0	1	1	0.03	0.19
2	0	1	1	0.03	0.19
3	0	1	1	0.03	0.19
4	0	1	1	0.03	0.19
5	0	1	1	0.03	0.19
6	0	1	1	0.03	0.19
7	0	1	1	0.03	0.19
8	0	1	1	0.03	0.19
9	0	1	1	0.03	0.19
10	1	0	0	0.27	0.57
11	0	1	1	0.03	0.19
12	0	1	1	0.03	0.19
13	2.5e-06	1	1	0.03	0.19
14	0	1	1	0.03	0.19
15	1	0	0	0.27	0.57
16	1	0	0	0.27	0.57
17	0	1	1	0.03	0.19
18	4.8e-06	1	1	0.03	0.19
19	1	0	0	0.27	0.57
20	0	1	1	0.03	0.19
21	1	0	0	0.27	0.57
22	0	1	1	0.03	0.19
23	1	0	0	0.27	0.57
24	1	0	0	0.27	0.57
25	0	1	1	0.03	0.19
26	0	1	1	0.03	0.19
27	1	0	0	0.27	0.57
28	1	0	0	0.27	0.57
29	0	1	1	0.03	0.19
30	1	0	0	0.27	0.57
31	0	1	1	0.03	0.19
32	0.99	0.006	0	0.27	0.57
33	1	0	0	0.27	0.57
34	0	1	1	0.03	0.19
35	1	0	0	0.27	0.57
36	1	0	0	0.27	0.57
37	0	1	1	0.03	0.19
38	1.4e-06	1	1	0.03	0.19
39	1	0	0	0.27	0.57
40	1	0	0	0.27	0.57
41	1	0	0	0.27	0.57
42	0	1	1	0.03	0.19
43	0	1	1	0.03	0.19
44	1	0	0	0.27	0.57
45	1	0	0	0.27	0.57
46	0	1	1	0.03	0.19
47	1	0	0	0.27	0.57
48	1	0	0	0.27	0.57
49	0	1	1	0.03	0.19
50	1	0	0	0.27	0.57
51	1	0	0	0.27	0.57
52	1	0	0	0.27	0.57
53	1	0	0	0.27	0.57
54	1	0	0	0.27	0.57
55	0	1	1	0.03	0.19
56	0	1	1	0.03	0.19
57	1	0	0	0.27	0.57
58	0	1	1	0.03	0.19
59	1	0	0	0.27	0.57
60	0	1	1	0.03	0.19
61	0	1	1	0.03	0.19
62	1	0	0	0.27	0.57
63	1	0	0	0.27	0.57
64	0	1	1	0.03	0.19
65	0	1	1	0.03	0.19
66	1	0	0	0.27	0.57
67	1	0	0	0.27	0.57
68	1	0	0	0.27	0.57
69	0	1	1	0.03	0.19
70	4.3e-06	1	1	0.03	0.19
71	0	1	1	0.03	0.19
72	1	0	0	0.27	0.57
73	7.8e-05	1	1	0.03	0.19
74	0.94	0.059	0	0.27	0.57
75	1	0	0	0.27	0.57
76	3.8e-05	1	1	0.03	0.19
77	1	0	0	0.27	0.57
78	1	0	0	0.27	0.57
79	1	0	0	0.27	0.57
80	0	1	1	0.03	0.19
81	1	0	0	0.27	0.57
82	1	0	0	0.27	0.57
83	1	0	0	0.27	0.57
84	1	0	0	0.27	0.57
85	1	0	0	0.27	0.57
86	0	1	1	0.03	0.19
87	1	0	0	0.27	0.57
88	0	1	1	0.03	0.19
89	0	1	1	0.03	0.19
90	1	0	0	0.27	0.57
91	1	0	0	0.27	0.57
92	0	1	1	0.03	0.19
93	3.9e-06	1	1	0.03	0.19
94	1	0	0	0.27	0.57
95	1	0	0	0.27	0.57
96	1	0	0	0.27	0.57
97	1	0	0	0.27	0.57
98	0	1	1	0.03	0.19
99	0	1	1	0.03	0.19
100	1	0	0	0.27	0.57
101	1	0	0	0.27	0.57
102	1	0	0	0.27	0.57
103	1	0	0	0.27	0.57
104	0	1	1	0.03	0.19
105	0	1	1	0.03	0.19
106	0.33	0.67	1	0.03	0.19
107	1	0	0	0.27	0.57
108	0	1	1	0.03	0.19
109	1	0	0	0.27	0.57
110	0	1	1	0.03	0.19
111	1	0	0	0.27	0.57
112	1	0	0	0.27	0.57
113	0	1	1	0.03	0.19
114	1	0	0	0.27	0.57
