SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0.045	0.73	0.005	0.001	0.0016	0	0	0	0	0.011	0.16	0	0	0.045	0	1	0.41	0.44
1	0	0	0	0	8.2e-06	0	0	0	0	1	0	0	0	0	0	9	0.23	0.32
2	0.0055	0.012	0.38	0.33	0.054	0	0	0	0	0.098	0.11	0	0	0.0055	0	2	0.23	0.44
3	0	0	9.7e-05	0	0.00039	3.1e-06	0	0	5.3e-06	0.96	0	0	0	0	0.043	9	0.23	0.32
4	0	0.0028	0.0074	0.00013	0.0089	0	0	0	0	0.98	9e-06	0	0	0	0	9	0.23	0.32
5	4.5e-05	4.1e-05	0.032	0.0069	0.023	0	0	0	0	0.93	0.0061	0	0	4.5e-05	0	9	0.23	0.32
6	1.6e-05	8.7e-05	0.11	0.013	0.05	0	0	0	0	0.83	0.0026	0	0	1.6e-05	0	9	0.23	0.32
7	0	0	0.0022	0	0.012	0	0	0	0	0.99	0	0	0	0	0	9	0.23	0.32
8	0	4.9e-05	2.6e-05	0	0.00019	0	0	0	0	1	0	0	0	0	0	9	0.23	0.32
9	7.4e-06	1	0	0	0	0	0	0	0	2.2e-05	0	0	0	7.4e-06	0	1	0.41	0.44
10	3.3e-05	0	0.0027	0.92	3.9e-06	0	0	0	0	1.2e-06	0.074	0	0	3.3e-05	0	3	0.23	0.52
11	0.0005	0.01	0.069	0.014	0.029	0.00037	0	0	0	0.87	0.0048	0	0	0.0005	0	9	0.23	0.32
12	0	0	0.00031	0	0.0011	1.6e-06	0	0	0	1	0	0	0	0	0	9	0.23	0.32
13	0	0	0.0098	3.7e-05	0.015	0	0	0	0	0.98	0	0	0	0	0	9	0.23	0.32
14	0.00019	0.0066	0.095	0.015	0.042	2e-05	0	0	0	0.84	0.0029	0	0	0.00019	0	9	0.23	0.32
15	5.3e-05	0.0031	0.19	0.028	0.072	0	0	0	0	0.71	0.0017	0	0	5.3e-05	0	9	0.23	0.32
16	0.00042	0.0014	0.25	0.23	0.026	0	0	0	0	0.46	0.031	0	0	0.00042	0	9	0.23	0.32
17	0	0	0	0	2.1e-06	0	0.033	0	0	0.0079	0	0	0.23	0	0.72	14	0.2	0.11
18	0	6.1e-05	0.0068	0.00014	0.0073	0	0	0	0	0.99	0	0	0	0	0	9	0.23	0.32
19	0.0076	0.00028	0.0053	2.5e-05	0.0086	0	0	0	0	0.97	0.0015	0	0	0.0076	0	9	0.23	0.32
20	0	0	2.1e-05	0	0.00028	0	0	0	0	1	0	0	0	0	0	9	0.23	0.32
21	0.00042	0.0012	0.099	0.028	0.039	0.013	0	0	0	0.81	0.0093	0	0	0.00042	0	9	0.23	0.32
22	0.03	0.037	0.016	0.0015	0.011	0	0	0	0	0.8	0.069	0	0	0.03	0	9	0.23	0.32
