SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0.085	0.0041	0.18	0.00036	0.0012	0	0.15	0	0.079	0.00036	0	0	0	0	0.0045	0.49	0	0.0045	0	15	0.41	0.44
1	0	0	0	0	7.5e-06	0	0	0.00016	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
2	0.0035	0.4	0.041	0.15	0.052	0	0.079	0.00015	0.013	0.15	0	0	0	0	0.051	0.011	0	0.051	0	1	0.23	0.44
3	0	9.8e-05	0	0	0.00036	5.4e-06	0	0.0024	0	0	0	0	0	0.044	0.48	0	0	0.48	2.1e-06	14	0.23	0.32
4	0	0.0075	0	5.4e-05	0.0082	0	0.00023	3.1e-05	9e-06	5.4e-05	0	0	0	0	0.49	0.0023	0	0.49	0	14	0.23	0.32
5	7.3e-05	0.033	0.0058	0.003	0.021	0	0.00043	5.8e-05	3.3e-05	0.003	0	0	0	0	0.47	3.5e-05	0	0.47	0	14	0.23	0.32
6	4e-05	0.11	0.0036	0.0054	0.046	0	0.00055	8.8e-05	1.2e-05	0.0054	0	0	0	0	0.41	7.3e-05	0	0.41	0	14	0.23	0.32
7	0	0.0023	0	0	0.011	0	0	0	0	0	0	0	0	0	0.49	0	0	0.49	0	14	0.23	0.32
8	0	2.6e-05	0	0	0.00018	0	0	0	0	0	0	0	0	0	0.5	4.1e-05	0	0.5	0	14	0.23	0.32
9	0	0	0	0	0	0	0.00031	0	0.00045	0	0	0	0	0	1.3e-05	1	0	1.3e-05	0	15	0.41	0.44
10	3.1e-05	0.0033	0.04	0.48	4.3e-06	0	0.0046	0	3.7e-05	0.48	0	0	0	0	0	0	0	0	0	3	0.23	0.52
11	0.00026	0.07	0.0015	0.0059	0.026	0	0.0071	0.0028	0.0016	0.0059	0	0	0	0	0.43	0.0088	0	0.43	0.00025	14	0.23	0.32
12	0	0.00032	0	0	0.00098	0	0	0.0017	0	0	0	0	0	0	0.5	0	0	0.5	1.1e-06	14	0.23	0.32
13	0	0.01	0	1.6e-05	0.013	0	0	0.00016	0	1.6e-05	0	0	0	0	0.49	0	0	0.49	0	14	0.23	0.32
14	8.3e-05	0.096	0.00072	0.0066	0.038	0	0.0057	0.0019	0.00071	0.0066	0	0	0	0	0.42	0.0055	0	0.42	1.3e-05	14	0.23	0.32
15	1.6e-05	0.19	0.00031	0.012	0.066	0	0.0055	0.00047	0.00026	0.012	0	0	0	0	0.35	0.0026	0	0.35	0	14	0.23	0.32
16	0.00017	0.25	0.0072	0.1	0.024	0	0.036	2.3e-05	0.0014	0.1	0	0	0	0	0.24	0.0012	0	0.24	0	1	0.23	0.44
17	0	0	0	0	0	0	0	0	0	0	0.033	0.23	0	0.73	0.0039	0	0	0.0039	0	13	0.2	0.11
18	0	0.0069	0	6.1e-05	0.0067	0	1.7e-05	0.0011	0	6.1e-05	0	0	0	0	0.49	5.1e-05	0	0.49	0	14	0.23	0.32
19	0.01	0.0054	0.0012	1.1e-05	0.0079	0	8.1e-05	0	0.0055	1.1e-05	0	0	0	0	0.48	0.00024	0	0.48	0	14	0.23	0.32
20	0	2.1e-05	0	0	0.00025	0	0	2.5e-05	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
21	0.00064	0.099	0.0082	0.012	0.036	0	0.0027	0.019	0.00051	0.012	0	0	0	0	0.4	0.001	0	0.4	0.0083	14	0.23	0.32
22	0.026	0.016	0.036	0.00065	0.01	0	0.029	0	0.051	0.00065	0	0	0	0	0.4	0.031	0	0.4	0	14	0.23	0.32
23	0.00068	0.024	0.015	0.0068	0.016	0	0.0025	0.00073	0.00056	0.0068	0	0	0	0	0.46	0.00024	0	0.46	0	14	0.23	0.32
24	0	0.0019	2.1e-06	2.8e-05	0.0019	5.6e-06	7.5e-05	0.00027	8.4e-06	2.8e-05	0.011	0.064	0	0.24	0.34	0.00053	0	0.34	0	14	0.23	0.32
25	0	0.1	0	3.8e-06	0.21	0	0	0.02	0	3.8e-06	0	0	0	0	0.33	0	0	0.33	0	14	0.23	0.32
26	0	0.0068	0	2.9e-05	0.0079	0	6.3e-06	0.00018	0	2.9e-05	0	0	0	0	0.49	2.2e-05	0	0.49	0	14	0.23	0.32
27	0	0.0011	0	0	0.0028	0	0	0.0002	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
28	0.01	0.57	0.0063	0.026	0.13	0	0.00094	0	3.3e-05	0.026	0	0	0	0	0.12	8.3e-05	0	0.12	0	1	0.23	0.44
29	0.021	0.019	0.017	0.00037	0.013	0	0.0053	0	0.022	0.00037	0	0	0	0	0.45	0.0061	0	0.45	0	14	0.23	0.32
30	0.076	0.0027	0.16	2.7e-06	0.0049	0	0.0052	0	0.033	2.7e-06	0	0	0	0	0.36	1.4e-05	0	0.36	0	14	0.23	0.32
31	0	0.00024	0	0	0.00098	0	0	0.00091	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
32	0	0.013	0	0.00011	0.011	0	4.3e-05	0.00051	0	0.00011	0	0	0	0	0.49	0.00014	0	0.49	0	14	0.23	0.32
33	0.03	0.051	0.08	0.0074	0.02	0	0.038	0	0.038	0.0074	0	0	0	0	0.35	0.024	0	0.35	0	14	0.23	0.32
34	0.037	0.052	0.063	0.0012	0.029	0	0.0019	0	0.0096	0.0012	0	0	0	0	0.4	0.00063	0	0.4	0	14	0.23	0.32
35	0	0.026	0	0.00018	0.021	0	0.00069	0	1e-05	0.00018	0	0	0	0	0.47	0.0038	0	0.47	0	14	0.23	0.32
36	0.035	0.0011	0.0046	0	0.0041	0	2.1e-05	0	0.0062	0	0	0	0	0	0.47	0	0	0.47	0	14	0.23	0.32
37	0	0.001	0	0	0.0029	0	0	0.00011	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
38	0.015	0.0085	0.0014	3.1e-06	0.016	0	0	0	0.00057	3.1e-06	0	0	0	0	0.48	3.3e-06	0	0.48	0	14	0.23	0.32
39	0.076	0.0058	0.32	8.1e-05	0.0065	0	0.015	0	0.035	8.1e-05	0	0	0	0	0.27	6.7e-05	0	0.27	0	2	0.35	0.64
40	0	5.6e-05	0	0	0.00033	0	0	0.001	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
41	0	0.061	0	5.2e-05	0.068	0	1.7e-05	0	0	5.2e-05	0	0	0	0	0.44	5.3e-05	0	0.44	0	14	0.23	0.32
42	0.032	0.016	0.037	0.00016	0.013	0	0.0037	0	0.02	0.00016	0	0	0	0	0.44	0.00051	0	0.44	0	14	0.23	0.32
43	0	0.00038	0	0	0.00098	1.3e-05	0	0.038	0	0	0	0	0	0.00023	0.48	0	0	0.48	0.0027	14	0.23	0.32
44	0.026	0.069	0.05	0.0068	0.026	0	0.023	0	0.025	0.0068	0	0	0	0	0.37	0.022	0	0.37	0	14	0.23	0.32
45	0	0.039	3.5e-06	0.00083	0.023	0	0.00038	0.00091	1.2e-05	0.00083	0	0	0	0	0.47	0.00068	0	0.47	0	14	0.23	0.32
46	0	0	0	0	4.7e-05	0	0	0.00025	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
47	4.9e-06	0.037	0	0.00023	0.029	0	0.00074	0	7.3e-05	0.00023	0	0	0	0	0.45	0.033	0	0.45	0	14	0.23	0.32
48	0.03	0.0037	0.082	0.00023	0.0048	0	0.032	0	0.048	0.00023	0	0	0	0	0.4	0.0021	0	0.4	0	14	0.23	0.32
49	0.0094	0.12	0.023	0.017	0.039	0	0.038	0	0.017	0.017	0	0	0	0	0.34	0.038	0	0.34	0	14	0.23	0.32
50	0	0.01	0	0	0.027	0	0	1.1e-05	0	0	0	0	0	0	0.48	0	0	0.48	0	14	0.23	0.32
51	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0.99	18	0.051	0.32
52	0.0097	0.017	0.0092	0.00046	0.011	0	0.0074	0	0.018	0.00046	0	0	0	0	0.46	0.011	0	0.46	0	14	0.23	0.32
53	0.05	0.22	0.084	0.094	0.028	0	0.13	0	0.16	0.094	0	0	0	0	0.021	0.1	0	0.021	0	1	0.23	0.44
54	0.089	3.7e-05	0.2	0	0.00046	0	0.0022	0	0.037	0	0	0	0	0	0.34	0	0	0.34	0	14	0.23	0.32
55	0	0.00049	0	0	0.0018	0	0	0.0067	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
56	0.012	0.0085	0.0035	6.9e-06	0.014	0	7.2e-06	0	0.0011	6.9e-06	0	0	0	0	0.48	5e-06	0	0.48	0	14	0.23	0.32
57	0	0	0	0	0	0	0	0.0006	0	0	0.00015	0.0086	0	0.00029	0.5	0	0	0.5	0	14	0.23	0.32
58	0.036	0.024	0.15	0.0006	0.016	0	0.008	0	0.015	0.0006	0	0	0	0	0.37	0.0001	0	0.37	0	14	0.23	0.32
59	0.024	0.02	0.069	0.001	0.013	0	0.018	0	0.026	0.001	0	0	0	0	0.41	0.0023	0	0.41	0	14	0.23	0.32
60	0.059	0.00026	0.29	2.7e-05	0.00099	0	0.041	0	0.074	2.7e-05	0	0	0	0	0.27	7.3e-05	0	0.27	0	2	0.35	0.64
61	0.041	0.013	0.43	0.0099	0.0089	0	0.027	0	0.019	0.0099	0	0	0	0	0.22	0.00012	0	0.22	0	2	0.35	0.64
62	0.00047	0.071	1.8e-05	0.00084	0.042	0	0.008	0	0.00048	0.00084	0	0	0	0	0.4	0.076	0	0.4	0	14	0.23	0.32
63	0.018	0.00024	0.012	0	0.00096	0	0.015	0	0.078	0	0	0	0	0	0.44	0.0025	0	0.44	0	14	0.23	0.32
64	0	0	0	0	3.5e-05	0	0	0.00011	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
65	0.011	0.0048	0.0041	8.5e-06	0.0074	0	0.0002	0	0.0059	8.5e-06	0	0	0	0	0.48	3.1e-05	0	0.48	0	14	0.23	0.32
66	0.021	0.023	0.11	0.019	0.0021	0	0.27	0	0.11	0.019	0	0	0	0	0.19	0.036	0	0.19	0	6	0.35	0.52
67	0	0.0075	0	1.3e-05	0.01	0	0.00012	0	0	1.3e-05	0	0	0	0	0.49	0.0033	0	0.49	0	14	0.23	0.32
68	1.3e-05	0.035	0	0.00017	0.03	0	0.00066	0	4.6e-05	0.00017	0	0	0	0	0.45	0.033	0	0.45	0	14	0.23	0.32
69	0.013	0.005	0.0033	4.3e-06	0.009	0	2.8e-05	0	0.0026	4.3e-06	0	0	0	0	0.48	0	0	0.48	0	14	0.23	0.32
70	0.0019	0.3	0.0045	0.036	0.059	0	0.12	0	0.049	0.036	0	0	0	0	0.064	0.26	0	0.064	0	1	0.23	0.44
71	0.0053	0.17	0.0013	0.0038	0.075	0	0.0049	0	0.00031	0.0038	0	0	0	0	0.36	0.0085	0	0.36	0	14	0.23	0.32
72	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	11	0.18	0.036
73	0	0.014	0	1.2e-05	0.02	0	0	8.7e-05	0	1.2e-05	0	0	0	0	0.48	0	0	0.48	0	14	0.23	0.32
74	0	0.0076	0	0	0.022	0	1.7e-05	0	0	0	0	0	0	0	0.47	0.029	0	0.47	0	14	0.23	0.32
75	0.002	0.0069	5.8e-05	1.4e-05	0.0095	0	7.5e-05	0	0.00081	1.4e-05	0	0	0	0	0.49	0.0014	0	0.49	0	14	0.23	0.32
76	0.014	0.043	0.021	0.0025	0.02	0	0.0097	0	0.016	0.0025	0	0	0	0	0.43	0.0075	0	0.43	0	14	0.23	0.32
77	0	0.018	0	0.00016	0.014	0	4.6e-06	0.0089	0	0.00016	0	0	0	0	0.48	4.4e-06	0	0.48	1.8e-05	14	0.23	0.32
78	0.0026	0.18	0.00044	0.0061	0.07	0	0.023	0	0.0014	0.0061	0	0	0	0	0.33	0.042	0	0.33	0	14	0.23	0.32
79	0	0.0027	0	0	0.0066	0	0	0.15	0	0	0	0	0	0	0.42	0	0	0.42	1.1e-05	14	0.23	0.32
80	0	0.0019	0	0	0.0041	0	0	0	0	0	0	0	0	0	0.5	0.00059	0	0.5	0	14	0.23	0.32
81	0	0	0	0	0	0	0	0.019	0	0	0	0.005	0	0	0.49	0	0	0.49	5.3e-05	14	0.23	0.32
82	0	6.2e-05	0	0	0.0004	0	0	8e-06	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
83	0.0024	0.00016	0.0015	1e-05	0.00017	0	0.04	0	0.056	1e-05	0	0	0	0	0.24	0.42	0	0.24	0	15	0.41	0.44
84	0	0	0	0	0	0	0	0.026	0	0	0	0.012	0	9.7e-06	0.48	0	0	0.48	0.0018	14	0.23	0.32
85	0	0	0	0	0	0	0	0.7	0	0	0	1.8e-05	0	0	0.15	0	0	0.15	5.9e-06	7	0.13	0.32
86	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0.0065	0	0	0	0	0	11	0.18	0.036
87	0	0.0013	0	0	0.0054	0	0	0.00014	0	0	0	0	0	0	0.5	0	0	0.5	0	14	0.23	0.32
88	0.02	0	0.019	0	1.2e-05	0	0.14	0	0.47	0	0	0	0	0	0.17	0.0032	0	0.17	0	8	0.41	0.56
89	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0.21
90	0	0.0058	9.9e-06	0.00038	0.0026	9.4e-05	5.3e-05	0.0098	4.7e-06	0.00038	0	0	0.77	1.6e-05	0.079	3.5e-05	0.0076	0.079	0.046	12	0	0.21
91	0.011	0.23	0.028	0.035	0.058	0	0.038	0	0.01	0.035	0	0	0	0	0.27	0.02	0	0.27	0	14	0.23	0.32
92	0.013	0.0088	0.0081	4.7e-05	0.0096	0	0.00097	0	0.01	4.7e-05	0	0	0	0	0.47	0.00019	0	0.47	0	14	0.23	0.32
93	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0.21
94	0.0047	0.052	0.0088	0.0048	0.021	0	0.016	0	0.011	0.0048	0	0	0	0	0.42	0.031	0	0.42	0	14	0.23	0.32
95	0.033	0.12	0.1	0.027	0.032	0	0.074	0	0.052	0.027	0	0	0	0	0.23	0.06	0	0.23	0	14	0.23	0.32
96	0.0015	0.00047	8.9e-05	0	0.0013	0	0.00039	0	0.012	0	0	0	0	0	0.49	0.0068	0	0.49	0	14	0.23	0.32
97	6.3e-06	0.0027	0	0	0.0061	0	7.3e-06	0	0	0	0	0	0	0	0.49	0.0032	0	0.49	0	14	0.23	0.32
98	0.018	0.03	0.045	0.0028	0.015	0	0.026	0	0.027	0.0028	0	0	0	0	0.41	0.014	0	0.41	0	14	0.23	0.32
99	0.023	0.19	0.11	0.053	0.043	0	0.05	0	0.022	0.053	0	0	0	0	0.22	0.017	0	0.22	0	14	0.23	0.32
100	0	0.0014	0	7.5e-06	0.0013	0	0.0017	0	0.00014	7.5e-06	0	0	0	0	0.47	0.065	0	0.47	0	14	0.23	0.32
101	0.00084	0.038	0.00026	0.0012	0.021	0	0.0037	0	0.0013	0.0012	0	0	0	0	0.45	0.023	0	0.45	0	14	0.23	0.32
102	0.0043	0.053	0.0083	0.0048	0.022	0	0.016	0	0.011	0.0048	0	0	0	0	0.42	0.035	0	0.42	0	14	0.23	0.32
103	0	0	0	0	0	0	0	0.67	0	0	0	2.2e-05	0	0	0.00096	0	0	0.00096	0.33	7	0.13	0.32
104	0.0043	0.047	0.00047	0.00024	0.037	0	0.00048	0	0.00026	0.00024	0	0	0	0	0.45	0.0035	0	0.45	0	14	0.23	0.32
105	0	0.0027	0	0	0.0059	0	0	0	0	0	0	0	0	0	0.5	0.00058	0	0.5	0	14	0.23	0.32
106	3e-05	0	0	0	1.4e-05	0	0	0	0.0026	0	0	0	0	0	0.5	0.0006	0	0.5	0	14	0.23	0.32
107	2.3e-05	0	0	0	5.8e-05	0	0	0	8.1e-05	0	0	0	0	0	0.5	7.6e-06	0	0.5	0	14	0.23	0.32
108	0.012	0.037	0.0054	0.00028	0.028	0	0.00014	0	0.0016	0.00028	0	0	0	0	0.46	0.00031	0	0.46	0	14	0.23	0.32
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.051	0.32
110	0.0089	0.015	0.0039	0.00017	0.013	0	0.00081	0	0.0074	0.00017	0	0	0	0	0.47	0.0012	0	0.47	0	14	0.23	0.32
111	0	0.15	0	0.00093	0.084	0	0.0064	0	0.00012	0.00093	0	0	0	0	0.35	0.072	0	0.35	0	14	0.23	0.32
112	2e-05	0.11	1e-05	0.002	0.056	0	0.0062	0	0.00096	0.002	0	0	0	0	0.36	0.092	0	0.36	0	14	0.23	0.32
113	0.0034	0.18	0.0018	0.01	0.061	0	0.032	0	0.0043	0.01	0	0	0	0	0.32	0.054	0	0.32	0	14	0.23	0.32
114	0	0	0	0	0	0	0	0	0	0	2.5e-05	0.98	0	0.021	0	0	0	0	0	11	0.18	0.036
115	0.064	0.0042	0.34	1.3e-05	0.0061	0	0.0056	0	0.018	1.3e-05	0	0	0	0	0.28	3.2e-06	0	0.28	0	2	0.35	0.64
116	0.039	3.2e-05	0.0064	0	0.00054	0	2.8e-05	0	0.011	0	0	0	0	0	0.47	0	0	0.47	0	14	0.23	0.32
117	0.00046	0.021	0.0004	0.00082	0.013	0	0.0032	0	0.0018	0.00082	0	0	0	0	0.47	0.018	0	0.47	0	14	0.23	0.32
118	0	0	0	0	0	0	0	0	0	0	1	0.00023	0	0.0027	0	0	0	0	0	10	0.41	0.076
119	0.0051	0.22	0.002	0.012	0.072	0	0.018	0	0.0014	0.012	0	0	0	0	0.32	0.015	0	0.32	0	14	0.23	0.32
120	0.0029	0.51	0.00031	0.0045	0.18	0	0.00023	0	0	0.0045	0	0	0	0	0.15	6.6e-05	0	0.15	0	1	0.23	0.44
121	0.00014	0.0012	0	0	0.0033	0	3.7e-06	0	0.0001	0	0	0	0	0	0.5	0.0014	0	0.5	0	14	0.23	0.32
122	0.019	0.083	0.11	0.031	0.012	0	0.22	0	0.08	0.031	0	0	0	0	0.18	0.061	0	0.18	0	6	0.35	0.52
