k	loglikelihood	observations	parameters	BIC
1	-12658.6	19184	4	25356.7
2	-10808.1	19184	6	21675.3
3	-9792.87	19184	8	19664.6
4	-9557.41	19184	10	19213.4
5	-9449.49	19184	12	19017.3
6	-9354.17	19184	14	18846.4
7	-9296.24	19184	16	18750.3
8	-9318.25	19184	18	18814
9	-9259	19184	20	18715.2
10	-9246	19184	22	18709
11	-9222.69	19184	24	18682.1
12	-9240.55	19184	26	18737.5
13	-9115.61	19184	28	18507.4
14	-9101.82	19184	30	18499.5
15	-9094.81	19184	32	18505.2
16	-9073.67	19184	34	18482.6
17	-9071.28	19184	36	18497.6
18	-9073.23	19184	38	18521.2
19	-9057.09	19184	40	18508.6
20	-9047.07	19184	42	18508.3
