SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0.15	0	0.16	0.015	0	0.0021	0.0006	0	0.0006	0.67	0	0.0065	0	9	0.35	0.48
1	0	0	0	1	0	8.5e-06	0	0	0	0	0	0	0	3	0.23	0.32
2	0.014	0	0.082	0.096	0	0.055	0.14	0	0.14	0.099	0	0.37	0	11	0.23	0.44
3	0	3e-06	0	0.92	0	0.00039	0	0.076	0	0	0	9.2e-05	3.8e-06	3	0.23	0.32
4	0	0	6.8e-06	0.98	0	0.0091	5.5e-05	0	5.5e-05	0.0021	0	0.0073	0	3	0.23	0.32
5	0.00012	0	0.0046	0.93	0	0.024	0.003	0	0.003	0.00058	0	0.032	0	3	0.23	0.32
6	4.3e-05	0	0.002	0.83	0	0.051	0.0055	0	0.0055	0.0018	0	0.11	0	3	0.23	0.32
7	0	0	0	0.99	0	0.013	0	0	0	2.7e-06	0	0.0022	0	3	0.23	0.32
8	0	0	0	1	0	0.0002	0	1.4e-05	0	3.5e-06	0	2.6e-05	0	3	0.23	0.32
9	0.0039	0	0.00015	0.0046	0	2.7e-06	0	0	0	0.99	0	2.2e-06	0	9	0.35	0.48
10	9.9e-05	0	0.064	1.4e-06	0	4.6e-06	0.47	0	0.47	0.00047	0	0.003	0	6	0.23	0.52
11	0.0013	0.00037	0.0036	0.87	0	0.03	0.006	2.3e-06	0.006	0.018	0	0.068	0	3	0.23	0.32
12	0	1.6e-06	0	1	0	0.0011	0	0	0	0	0	0.00031	0	3	0.23	0.32
13	0	0	0	0.98	0	0.015	1.6e-05	0	1.6e-05	1e-05	0	0.0097	0	3	0.23	0.32
14	0.00049	2e-05	0.0021	0.83	0	0.042	0.0067	0	0.0067	0.016	0	0.093	0	3	0.23	0.32
15	0.00013	0	0.0013	0.7	0	0.073	0.012	0	0.012	0.017	0	0.18	0	3	0.23	0.32
16	0.0011	0	0.023	0.46	0	0.026	0.1	0	0.1	0.049	0	0.24	0	3	0.23	0.32
17	0	0	0	0.0046	0.13	0	0	0.86	0	0	0	0	0	7	0.23	0.11
18	0	0	0	0.99	0	0.0075	6.3e-05	0	6.3e-05	0.00014	0	0.0067	0	3	0.23	0.32
19	0.02	0	0.0012	0.96	0	0.0088	1.1e-05	0	1.1e-05	0.00031	0	0.0052	0	3	0.23	0.32
20	0	0	0	1	0	0.00029	0	0	0	0	0	2e-05	0	3	0.23	0.32
21	0.0011	0.013	0.007	0.81	0	0.04	0.013	0	0.013	0.0053	0	0.097	0	3	0.23	0.32
22	0.077	0	0.052	0.81	0	0.012	0.00066	0	0.00066	0.036	0	0.016	0	3	0.23	0.32
23	0.0014	0	0.015	0.93	0	0.018	0.0069	0	0.0069	0.0019	0	0.023	0	3	0.23	0.32
24	2.9e-06	0	7.8e-06	0.56	0.051	0.0018	2.4e-05	0.38	2.4e-05	0.00035	0	0.0015	3.3e-06	3	0.23	0.32
25	0	0	0	0.67	0	0.24	3.9e-06	0	3.9e-06	0	0	0.097	0	3	0.23	0.32
26	0	0	0	0.98	0	0.0088	3e-05	0	3e-05	7.9e-05	0	0.0066	0	3	0.23	0.32
27	0	0	0	1	0	0.0032	0	0	0	0	0	0.0011	0	3	0.23	0.32
28	0.0017	0	0.00056	0.23	0	0.15	0.027	0	0.027	0.0042	0	0.56	0	11	0.23	0.44
29	0.047	0	0.019	0.89	0	0.015	0.00037	0	0.00037	0.0072	0	0.018	0	3	0.23	0.32
30	0.14	0	0.14	0.71	0	0.0055	2.7e-06	0	2.7e-06	0.00056	0	0.0026	0	3	0.23	0.32
31	0	0	0	1	0	0.0011	0	0	0	0	0	0.00023	0	3	0.23	0.32
32	0	0	0	0.97	0	0.012	0.00011	0	0.00011	0.00037	0	0.012	0	3	0.23	0.32
33	0.068	0	0.091	0.71	0	0.022	0.0076	0	0.0076	0.049	0	0.05	0	3	0.23	0.32
34	0.046	0	0.039	0.83	0	0.033	0.0012	0	0.0012	0.0025	0	0.052	0	3	0.23	0.32
35	0	0	9.6e-06	0.94	0	0.024	0.00018	0	0.00018	0.0071	0	0.025	0	3	0.23	0.32
36	0.049	0	0.0032	0.94	0	0.0045	0	0	0	0	0	0.0011	0	3	0.23	0.32
37	0	0	0	1	0	0.0032	0	0	0	0	0	0.001	0	3	0.23	0.32
38	0.01	0	0.00048	0.96	0	0.018	3.2e-06	0	3.2e-06	1.8e-05	0	0.0083	0	3	0.23	0.32
39	0.14	0	0.29	0.56	0	0.0075	8.5e-05	0	8.5e-05	0.0029	0	0.0058	0	3	0.23	0.32
40	0	0	0	1	0	0.00037	0	0	0	0	0	5.4e-05	0	3	0.23	0.32
41	0	0	0	0.87	0	0.075	5.2e-05	0	5.2e-05	0.00063	0	0.059	0	3	0.23	0.32
42	0.06	0	0.035	0.87	0	0.015	0.00016	0	0.00016	0.0018	0	0.015	0	3	0.23	0.32
43	0	0.0042	0	0.99	0	0.0011	0	0.00015	0	0	0	0.00039	1e-05	3	0.23	0.32
44	0.051	0	0.051	0.75	0	0.029	0.007	0	0.007	0.038	0	0.067	0	3	0.23	0.32
45	3.6e-06	0	2.8e-05	0.93	0	0.025	0.00085	0	0.00085	0.002	0	0.038	0	3	0.23	0.32
46	0	0	0	1	0	5.2e-05	0	0	0	0	0	0	0	3	0.23	0.32
47	1.2e-05	0	7.3e-06	0.92	0	0.033	0.00025	0	0.00025	0.0083	0	0.036	0	3	0.23	0.32
48	0.086	0	0.12	0.77	0	0.0052	0.00023	0	0.00023	0.016	0	0.0035	0	3	0.23	0.32
49	0.022	0	0.037	0.67	0	0.043	0.017	0	0.017	0.074	0	0.12	0	3	0.23	0.32
50	0	0	0	0.96	0	0.03	0	0	0	0	0	0.0099	0	3	0.23	0.32
51	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.051	0.32
52	0.028	0	0.013	0.92	0	0.013	0.00047	0	0.00047	0.011	0	0.016	0	3	0.23	0.32
53	0.2	0	0.17	0.042	0	0.032	0.096	0	0.096	0.15	0	0.21	0	11	0.23	0.44
54	0.19	0	0.21	0.59	0	0.00045	0	0	0	3.2e-05	0	3.2e-05	0	3	0.23	0.32
55	0	0	0	1	0	0.0021	0	0	0	0	0	0.00048	0	3	0.23	0.32
56	0.012	0	0.0016	0.96	0	0.016	7.1e-06	0	7.1e-06	2.2e-05	0	0.0083	0	3	0.23	0.32
57	0	0	0	0.99	0.0084	0	0	0.00081	0	0	0	0	0	3	0.23	0.32
58	0.058	0	0.12	0.77	0	0.019	0.00063	0	0.00063	0.0022	0	0.024	0	3	0.23	0.32
59	0.054	0	0.077	0.82	0	0.015	0.001	0	0.001	0.012	0	0.019	0	3	0.23	0.32
60	0.16	0	0.39	0.44	0	0.00093	2.3e-05	0	2.3e-05	0.0051	0	0.00021	0	3	0.23	0.32
61	0.073	0	0.39	0.48	0	0.011	0.011	0	0.011	0.0079	0	0.014	0	3	0.23	0.32
62	0.00041	0	0.00016	0.81	0	0.048	0.00088	0	0.00088	0.065	0	0.071	0	3	0.23	0.32
63	0.097	0	0.032	0.86	0	0.0011	0	0	0	0.0067	0	0.00023	0	3	0.23	0.32
64	0	0	0	1	0	3.9e-05	0	0	0	0	0	0	0	3	0.23	0.32
65	0.022	0	0.004	0.96	0	0.0083	8.6e-06	0	8.6e-06	8.4e-05	0	0.0046	0	3	0.23	0.32
66	0.1	0	0.27	0.34	0	0.0021	0.017	0	0.017	0.24	0	0.02	0	3	0.23	0.32
67	0	0	0	0.98	0	0.012	1.3e-05	0	1.3e-05	0.0025	0	0.0073	0	3	0.23	0.32
68	1.5e-05	0	4.2e-06	0.92	0	0.034	0.00018	0	0.00018	0.0087	0	0.035	0	3	0.23	0.32
69	0.017	0	0.0022	0.97	0	0.01	4.3e-06	0	4.3e-06	1.1e-05	0	0.0049	0	3	0.23	0.32
70	0.024	0	0.029	0.14	0	0.073	0.04	0	0.04	0.33	0	0.32	0	9	0.35	0.48
71	0.0027	0	0.00049	0.71	0	0.083	0.0038	0	0.0038	0.028	0	0.17	0	3	0.23	0.32
72	0	0	0	0	0.63	0	0	0.37	0	0	0	0	0	4	0.18	0.036
73	0	0	0	0.96	0	0.023	1.3e-05	0	1.3e-05	1.5e-05	0	0.014	0	3	0.23	0.32
74	0	0	0	0.96	0	0.025	0	0	0	0.0026	0	0.0076	0	3	0.23	0.32
75	0.0035	0	4.9e-05	0.98	0	0.011	1.4e-05	0	1.4e-05	0.0014	0	0.0067	0	3	0.23	0.32
76	0.031	0	0.024	0.86	0	0.023	0.0025	0	0.0025	0.014	0	0.041	0	3	0.23	0.32
77	0	2.7e-05	0	0.97	0	0.016	0.00017	0	0.00017	3.9e-05	0	0.017	0	3	0.23	0.32
78	0.0017	0	0.0016	0.64	0	0.075	0.006	0	0.006	0.099	0	0.17	0	3	0.23	0.32
79	0	2e-05	0	0.99	0	0.0087	0	0	0	0	0	0.003	0	3	0.23	0.32
80	0	0	0	0.99	0	0.0046	0	0	0	4.4e-05	0	0.0019	0	3	0.23	0.32
81	0	8e-05	0	1	0.0049	0	0	0	0	0	0	0	0	3	0.23	0.32
82	0	0	0	1	0	0.00045	0	0	0	0	0	6e-05	0	3	0.23	0.32
83	0.042	0	0.013	0.76	0	0.00031	1.7e-05	0	1.7e-05	0.18	0	0.00024	0	3	0.23	0.32
84	0	0.0027	0	0.99	0.012	0	0	1.1e-05	0	0	0	0	0	3	0.23	0.32
85	0	3e-05	0	1	5.8e-05	0	0	0	0	0	0	0	0	3	0.23	0.32
86	0	0	0	0	1	0	0	0.0014	0	0	0	0	0	4	0.18	0.036
87	0	0	0	0.99	0	0.0061	0	0	0	0	0	0.0012	0	3	0.23	0.32
88	0.37	0	0.18	0.4	0	1.5e-05	0	0	0	0.046	0	0	0	3	0.23	0.32
89	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0.21
90	3.8e-06	0.07	2.6e-05	0.16	0	0.003	0.0004	1.7e-05	0.0004	0.00015	0.76	0.0058	7e-05	10	0	0.21
91	0.016	0	0.035	0.53	0	0.064	0.035	0	0.035	0.071	0	0.22	0	3	0.23	0.32
92	0.028	0	0.0087	0.94	0	0.011	4.7e-05	0	4.7e-05	0.00051	0	0.0085	0	3	0.23	0.32
93	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0.21
94	0.014	0	0.014	0.85	0	0.024	0.0049	0	0.0049	0.034	0	0.051	0	3	0.23	0.32
95	0.082	0	0.13	0.47	0	0.036	0.028	0	0.028	0.11	0	0.12	0	3	0.23	0.32
96	0.0098	0	0.0003	0.99	0	0.0015	0	0	0	0.00054	0	0.00046	0	3	0.23	0.32
97	1e-05	0	0	0.99	0	0.0068	0	0	0	0.0003	0	0.0026	0	3	0.23	0.32
98	0.045	0	0.057	0.82	0	0.017	0.0028	0	0.0028	0.03	0	0.029	0	3	0.23	0.32
99	0.043	0	0.11	0.43	0	0.048	0.054	0	0.054	0.067	0	0.19	0	3	0.23	0.32
100	1.6e-05	0	2.3e-05	0.98	0	0.0015	8e-06	0	8e-06	0.02	0	0.0014	0	3	0.23	0.32
101	0.0018	0	0.00066	0.92	0	0.024	0.0012	0	0.0012	0.016	0	0.037	0	3	0.23	0.32
102	0.013	0	0.014	0.85	0	0.025	0.005	0	0.005	0.037	0	0.052	0	3	0.23	0.32
103	0	1	0	0.0039	4.4e-05	0	0	0	0	0	0	0	0	1	0.051	0.32
104	0.003	0	0.00016	0.9	0	0.041	0.00024	0	0.00024	0.006	0	0.045	0	3	0.23	0.32
105	0	0	0	0.99	0	0.0066	0	0	0	5.8e-05	0	0.0026	0	3	0.23	0.32
106	0.00085	0	0	1	0	1.6e-05	0	0	0	0	0	0	0	3	0.23	0.32
107	0.00017	0	0	1	0	6.5e-05	0	0	0	0	0	0	0	3	0.23	0.32
108	0.011	0	0.0027	0.92	0	0.032	0.00028	0	0.00028	0.0011	0	0.036	0	3	0.23	0.32
109	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.051	0.32
110	0.019	0	0.0041	0.95	0	0.014	0.00017	0	0.00017	0.0019	0	0.015	0	3	0.23	0.32
111	5.9e-06	0	2.9e-05	0.69	0	0.093	0.00094	0	0.00094	0.077	0	0.14	0	3	0.23	0.32
112	0.00018	0	0.00019	0.77	0	0.066	0.0021	0	0.0021	0.042	0	0.12	0	3	0.23	0.32
113	0.0039	0	0.0055	0.63	0	0.067	0.0099	0	0.0099	0.11	0	0.17	0	3	0.23	0.32
114	0	0	0	0	0.97	0	0	0.031	0	0	0	0	0	4	0.18	0.036
115	0.1	0	0.27	0.61	0	0.0074	1.5e-05	0	1.5e-05	0.00051	0	0.0045	0	3	0.23	0.32
116	0.081	0	0.0067	0.91	0	0.00058	0	0	0	0	0	3e-05	0	3	0.23	0.32
117	0.0017	0	0.0011	0.95	0	0.015	0.00084	0	0.00084	0.011	0	0.021	0	3	0.23	0.32
118	0	0	0	0	0.00085	0	0	1	0	0	0	0	0	7	0.23	0.11
119	0.0035	0	0.0031	0.62	0	0.079	0.012	0	0.012	0.06	0	0.21	0	3	0.23	0.32
120	0.00027	0	1.5e-05	0.3	0	0.2	0.0046	0	0.0046	0.0026	0	0.49	0	11	0.23	0.44
121	0.00034	0	0	0.99	0	0.0037	0	0	0	0.00017	0	0.0011	0	3	0.23	0.32
122	0.076	0	0.22	0.31	0	0.012	0.028	0	0.028	0.26	0	0.071	0	3	0.23	0.32
123	0.074	0	0.052	0.36	0	0.0019	0.00061	0	0.00061	0.5	0	0.0057	0	9	0.35	0.48
124	0	0.00045	0	5e-06	0	0	0	4.4e-06	0	0	1	0	0.004	10	0	0.21
125	0.083	0	0.12	0.52	0	0.0044	0.0028	0	0.0028	0.25	0	0.013	0	3	0.23	0.32
126	0.039	0	0.056	0.74	0	0.024	0.009	0	0.009	0.06	0	0.06	0	3	0.23	0.32
127	0.08	0	0.095	0.49	0	0.0037	0.0017	0	0.0017	0.32	0	0.011	0	3	0.23	0.32
128	0.028	0	0.082	0.52	0	0.047	0.049	0	0.049	0.049	0	0.18	0	3	0.23	0.32
129	0.032	0	0.036	0.039	0	0.0011	0.00057	0	0.00057	0.89	0	0.0054	0	9	0.35	0.48
130	0.036	0	0.017	0.91	0	0.013	0.00032	0	0.00032	0.0061	0	0.015	0	3	0.23	0.32
131	0.066	0	0.099	0.78	0	0.014	0.00096	0	0.00096	0.02	0	0.019	0	3	0.23	0.32
132	0.024	0	0.014	0.87	0	0.03	0.0022	0	0.0022	0.0052	0	0.053	0	3	0.23	0.32
133	0.018	0	0.026	0.71	0	0.04	0.013	0	0.013	0.075	0	0.1	0	3	0.23	0.32
134	0.14	0	0.83	0.021	0	0	0	0	0	0.0089	0	0	0	2	0.35	0.6
135	0	0	0	0.99	0.0065	0	0	0.0021	0	0	0	0	0	3	0.23	0.32
136	0.12	0	0.043	0.84	0	0.00097	0	0	0	0.00022	0	0.00013	0	3	0.23	0.32
137	0	0	0	1	0	0	0	0	0	7.9e-06	0	0	0	3	0.23	0.32
138	0	0	0	0.99	0	0.0092	0	0	0	9.9e-06	0	0.0028	0	3	0.23	0.32
139	0.023	0	0.0078	0.94	0	0.0089	0.00015	0	0.00015	0.0075	0	0.009	0	3	0.23	0.32
