SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.038	0.42	2.3e-05	0.0041	0	0	0	3e-05	0.0021	0	0	0	0	0.0041	0.00041	0	0.53	16	0.41	0.44
1	0	0	0	0.5	0	0	0	0	0	0.0031	0	0	0	0.5	0	0	0	3	0.23	0.32
2	0.066	0.0032	0.004	0.044	0	0	0.00026	3.4e-06	0.83	9.7e-05	0	0	0	0.044	0	0	0.011	8	0.23	0.52
3	5.6e-06	0	0	0.5	0.0032	0	4.9e-06	0	0	0.0018	0	0	0	0.5	0	0.0024	0	3	0.23	0.32
4	0.0053	0	0	0.5	0	0	1.2e-05	0	0.00035	0.00011	0	0	0	0.5	0	0	0.0028	3	0.23	0.32
5	0.0055	0.00019	0.0026	0.49	0	0	7e-05	4.5e-05	0.02	0.00024	0	0	0	0.49	0	0	4.3e-05	3	0.23	0.32
6	0.016	0.00017	0.0025	0.47	0	0	0.00021	0.00048	0.04	0.00034	0	0	0	0.47	0	0	9.9e-05	3	0.23	0.32
7	0.0011	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	3	0.23	0.32
8	2.5e-05	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	5e-05	3	0.23	0.32
9	3.6e-05	0	0	1.1e-05	0	0	0	0	0	0	0	0	0	1.1e-05	0	0	1	16	0.41	0.44
10	7.3e-05	6.6e-06	0.077	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	8	0.23	0.52
11	0.019	0.00028	7.9e-05	0.46	0	0	0.00018	0	0.04	0.0017	0	0	1e-05	0.46	0	0	0.011	3	0.23	0.32
12	2.2e-05	0	0	0.5	0	0	1e-05	0	0	0.0013	0	0	0	0.5	0	0	0	3	0.23	0.32
13	0.00073	0	0	0.5	0	0	4.8e-05	0	0.0001	0.00047	0	0	0	0.5	0	0	0	3	0.23	0.32
14	0.025	7.6e-05	5.7e-05	0.46	0	0	0.00042	0	0.047	0.0016	0	0	0	0.46	0	0	0.0073	3	0.23	0.32
15	0.047	1.1e-05	5e-05	0.43	0	0	0.00054	0	0.094	0.00078	0	0	0	0.43	0	0	0.0038	3	0.23	0.32
16	0.051	8.4e-05	0.001	0.2	0	0	5.1e-05	0	0.55	7.7e-05	0	0	0	0.2	0	0	0.0013	8	0.23	0.52
17	0	0	0	0.0015	1	0	0	0	0	0	0	0	0	0.0015	0	0.00045	0	4	0.23	0.071
18	0.001	0	0	0.5	0	0	3.6e-05	0	0.0004	0.0011	0	0	0	0.5	0	0	6.3e-05	3	0.23	0.32
19	0.0024	0.016	0	0.49	0	0	0	0	6.9e-05	0	0	0	0	0.49	0.0022	0	0.00029	3	0.23	0.32
20	0	0	0	0.5	0	0	0	0	0	0.00021	0	0	0	0.5	0	0	0	3	0.23	0.32
21	0.012	0.0021	0.0025	0.44	0	0	0.0012	0.00094	0.086	0.0076	0	0	0	0.44	0	0	0.0014	3	0.23	0.32
22	0.0069	0.048	1.7e-05	0.45	0	0	0	0	0.0047	0	0	0	0	0.45	0.0019	0	0.042	3	0.23	0.32
23	0.0045	0.0014	0.0025	0.47	0	0	0.00012	3.1e-05	0.045	0.00098	0	0	0	0.47	0	0	0.0003	3	0.23	0.32
24	0.00065	0	0	0.28	0.43	0	3.9e-06	0	0.00015	0.00026	0	0	0	0.28	0	0.0013	0.00053	4	0.23	0.071
25	8.1e-06	0	0	0.4	0	0	0.12	0	3e-05	0.069	0	0	0	0.4	0	0	0	3	0.23	0.32
26	0.0011	0	0	0.5	0	0	2.2e-05	0	0.00019	0.0004	0	0	0	0.5	0	0	2.7e-05	3	0.23	0.32
27	0.0001	0	0	0.5	0	0	9.7e-06	0	3.7e-06	0.00049	0	0	0	0.5	0	0	0	3	0.23	0.32
28	0.07	0.26	5.8e-06	0.19	0	0	0	0	0.28	0	0	0	0	0.19	0.00014	0	0.00017	8	0.23	0.52
29	0.0077	0.041	0	0.47	0	0	0	0	0.0025	0	0	0	0	0.47	0.0044	0	0.0076	3	0.23	0.32
30	9.5e-05	0.14	0	0.43	0	0	0	0	2.7e-05	0	0	0	0	0.43	5.2e-06	0	1.9e-05	3	0.23	0.32
31	8.8e-06	0	0	0.5	0	0	8.1e-06	0	0	0.0015	0	0	0	0.5	0	0	0	3	0.23	0.32
32	0.0024	0	0	0.5	0	0	4.3e-05	0	0.00074	0.00069	0	0	0	0.5	0	0	0.00018	3	0.23	0.32
33	0.02	0.079	0.00073	0.4	0	0	3e-06	0.00012	0.055	2.7e-06	0	0	0	0.4	0.0028	0	0.033	3	0.23	0.32
34	0.0086	0.12	1.8e-05	0.43	0	0	0	0	0.008	0	0	0	0	0.43	0.00084	0	0.00081	3	0.23	0.32
35	0.023	0	0	0.49	0	0	5.6e-06	0	0.0012	1.5e-05	0	0	0	0.49	0	0	0.0046	3	0.23	0.32
