SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0.011	0	0	0.0099	0.037	3.9e-05	0.0012	0	0.00067	0.006	0	0.012	0.0099	0	0	0	0.28	0	0.63	0.0022	18	0.41	0.48
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0.23	0.32
2	0.096	0	0	0.0063	0.11	3.5e-06	1.6e-05	0	0	3.6e-05	0	4.3e-06	0.0063	0	0	0.00043	0.051	0	0.022	0.71	19	0.23	0.52
3	1	0	0.00019	1.4e-05	0	0	0	0	0	2.9e-05	0	0	1.4e-05	0	2e-06	0.00027	0	0.0034	0	0	0	0.23	0.32
4	0.98	0	0	0.0039	0.0011	0	0	0	0	0.0054	0	0.0011	0.0039	0	0	0.00018	0	0	0.00068	0.00028	0	0.23	0.32
5	0.97	0	0	0.0025	0.0021	4.3e-05	0	0	0	0.00018	0	0	0.0025	0	0	0.00062	0.0081	0	2e-05	0.016	0	0.23	0.32
6	0.94	0	0	0.0048	0.0085	0.00046	0	0	0	0.00012	0	0	0.0048	0	0	0.0012	0.0056	0	6.1e-05	0.032	0	0.23	0.32
7	0.99	0	0	0.0037	1.9e-05	0	0	0	0	0.00027	0	0	0.0037	0	0	2.1e-05	0	0	0	0	0	0.23	0.32
8	0.99	0	0	0.00012	0	0	0	0	0	0.0095	0	0.0025	0.00012	0	0	0	0	0	1.7e-06	0	0	0.23	0.32
9	6.9e-06	0	0	8.6e-06	0	0	0.0013	0	0	0.0015	0	0.95	8.6e-06	0	0	0	0	0	0.052	0	11	0.47	0.32
10	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0.97	19	0.23	0.52
11	0.93	0	0	0.0048	0.012	0	1.5e-05	0	0	0.00096	0	0.00061	0.0048	0	0.00024	0.0011	0.0021	0	0.009	0.032	0	0.23	0.32
12	1	0	0	4.7e-05	0	0	0	0	0	4.8e-05	0	0	4.7e-05	0	0	0.00039	0	0	0	0	0	0.23	0.32
13	1	0	0	0.00068	8.2e-05	0	0	0	0	2.5e-05	0	0	0.00068	0	0	0.00058	0	0	0	8.3e-05	0	0.23	0.32
14	0.92	0	0	0.0067	0.015	0	5.2e-06	0	0	0.001	0	0.00024	0.0067	0	1.3e-05	0.0026	0.0011	0	0.0053	0.037	0	0.23	0.32
15	0.87	0	0	0.011	0.029	0	0	0	0	0.00051	0	1.9e-05	0.011	0	0	0.0025	0.0005	0	0.0029	0.076	0	0.23	0.32
16	0.42	0	0	0.0036	0.094	0	0	0	0	0.0002	0	1e-06	0.0036	0	0	0.0001	0.0087	0	0.0028	0.46	19	0.23	0.52
17	0.0028	0	1.2e-05	0	0	0	0	0	0	5.3e-06	0	0	0	0	0	0	0	1	0	0	17	0.23	0.071
18	1	0	0	0.0007	0.00023	0	0	0	0	0.00023	0	7.8e-06	0.0007	0	0	0.00049	0	0	1.7e-05	0.00032	0	0.23	0.32
19	0.99	0	0	0.0025	0.00029	0	4.1e-06	0	0.0027	0.0019	0	4.2e-05	0.0025	0	0	0	0.0016	0	0.00029	5.5e-05	0	0.23	0.32
20	1	0	0	5.2e-06	0	0	0	0	0	0	0	0	5.2e-06	0	0	6e-05	0	0	0	0	0	0.23	0.32
