k	loglikelihood	observations	parameters	BIC
1	-86856.5	59324	8	173801
2	-44574.2	59324	12	89280.2
3	-37183.2	59324	16	74542.2
4	-34679.6	59324	20	69579.1
5	-29867.4	59324	24	59998.5
6	-29813.4	59324	28	59934.5
7	-27596.4	59324	32	55544.5
8	-26077.4	59324	36	52550.5
9	-27486.6	59324	40	55412.9
10	-25315	59324	44	51113.6
11	-25856.5	59324	48	52240.5
12	-25131	59324	52	50833.5
13	-25724.8	59324	56	52065.1
14	-25072	59324	60	50803.5
15	-25048.8	59324	64	50801
16	-24267	59324	68	49281.4
17	-23969.6	59324	72	48730.6
18	-23949.5	59324	76	48734.3
19	-24415	59324	80	49709.2
20	-24966.1	59324	84	50855.4
