SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	2e-06	0	0	0	0.61	0.07	0	0	0	0	0	0.32	0	0	6	0.096	0.24	0.17	0.18
1	0.00052	0.99	0	0.0064	0	7.1e-06	0	0	0	0	0.0029	0	0	0	0	0	1	0	0	0.12	0
2	0.002	0.99	0	0.0025	0	2.8e-05	0	0	0	0	0.00053	0	0	0	0	0	1	0	0	0.12	0
3	0	0	0	0	0	0	0.01	0.17	0	0	0	0	0	0.82	0	0	13	0.093	0.17	0.073	0.18
4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.22	0.17	0.34	0.25
5	0	0	5.1e-05	0	0.0001	0	0.024	0.3	0	0	0	0.00023	0	0.68	0	0	13	0.093	0.17	0.073	0.18
6	0	0	0	0	0	0	0	0	0.041	0	0	0.96	0	0.00023	0	0	11	0.14	0.094	0.049	0.02
7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.22	0.17	0.34	0.25
8	0	0	0	0	0	0	0	1	0	0	0	0	0	2.4e-06	0	0	7	0.14	0.17	0.073	0.18
9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.031	0.019	0.024	0.18
10	7.2e-05	1	0	0.00038	0	0	0	0	0	0	9.9e-05	0	0	0	0	0	1	0	0	0.12	0
11	0.99	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0
12	0.00093	1	0	0.0012	0	1.3e-05	0	0	0	0	0.0009	0	0	0	0	0	1	0	0	0.12	0
13	0	0	0	0	0	0	2.7e-05	0.00015	0	0	0	1	0	0.0017	0	0	11	0.14	0.094	0.049	0.02
14	0.91	0.093	0	7.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0
15	0.012	0.97	0	0.01	0	0.00016	0	0	0	0	0.0045	0	0	0	0	0	1	0	0	0.12	0
16	1.3e-05	1	0	6.1e-05	0	0	0	0	0	0	2.7e-05	0	0	0	0	0	1	0	0	0.12	0
17	0	0	0	0	0	0	1.5e-05	0.14	0	0	0	0	0	0.86	0	0	13	0.093	0.17	0.073	0.18
18	1e-05	1	0	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.12	0
19	0	0	0.00013	0	0	0	0	0.0027	1	0	0	0	0	0	0	0	8	0.031	0.019	0.024	0.18
20	0	0	0	0	0	0	0	0	0	0	0	7.9e-06	0	0	1	0	14	0	0.094	0	0
21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.22	0.17	0.34	0.25
22	0.011	0.98	0	0.0057	0	4.8e-05	0	0	0	0	0.0013	0	0	0	0	0	1	0	0	0.12	0
23	0	0	0	0	0.99	0	0	0	0	0	0	0	0.0076	0	0	0	4	0.22	0.17	0.34	0.25
24	0	1	0	1.9e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.12	0
