SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	2.3e-05	0	0.026	0	0	0.00013	0	0	0	0	0	0.97	0	0	0	0	0	14	0.14	0.17	0.087	0.25
1	1	0	0	0	0	0	0	0	0	0	0	0	2.8e-06	0	0	0	7.3e-05	0	0	0	0	0	0	0.12	0
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0	0	0.12	0
3	0	0	0.00012	0	0	0.91	0	0.00023	0.0009	0	0	0	0	0	0.089	0	0	0	0	0	5	0.14	0.17	0.098	0.14
4	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.096	0.092	0.28	0.18
5	0	4.3e-05	0.022	0.0015	0	0.85	0	0.083	0.0007	0	0	0	1.7e-06	0	0.042	0.0015	0	0	2.5e-06	0	5	0.14	0.17	0.098	0.14
6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.062	0	0	0
7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.22	0.17	0.41	0.18
8	0	0	0	0	0	0.23	0	0	0.77	0	0	0	0	0	0	0	0	0	0	0	8	0.22	0.24	0.087	0.18
9	0	0	1	0	0	0	0	0	0	0	0	0	0.00078	0	0	0	0	0	0	0	2	0.078	0.17	0.024	0.18
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-05	0	0	0	0	0	0	0.12	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0.17	0.22	0
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0.12	0
13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.14	0.17	0.098	0.14
14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
15	1	0	0	0	0	0	0	0	0	0	0	0	3.5e-05	0	0	0	0.0016	0	0	0	0	0	0	0.12	0
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
17	0	0	0	0	0	0.0063	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	14	0.14	0.17	0.087	0.25
18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
19	0	0	0.0014	0	0	0.91	0	0.044	0.044	0	0	0	6.7e-06	0	0	0	0	0	0	0	5	0.14	0.17	0.098	0.14
20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0.17	0	0
21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.22	0.17	0.41	0.18
22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0.12	0
23	0	0.019	0	0	0	0	0	0	0	0	0	0.89	0	1.4e-05	0	0	0	0	0.088	0	11	0.3	0.24	0.34	0.32
24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
26	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.82	0	0	0	0	0	14	0.14	0.17	0.087	0.25
27	0	0.99	0	0	0	0	0	0	0	0	0	0.0064	0	0.0001	0	0	0	0	0.00063	0	1	0.22	0.17	0.41	0.18
28	0	1	0	0	0	0	0	0	0	0	0	3.6e-05	0	0	0	0	0	0	0	0	1	0.22	0.17	0.41	0.18
29	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.016	0.038	0.073	0.02
30	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0.12	0
31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e-05	0	0	0	0	0	0	0.12	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0.17	0.22	0
33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4e-05	0	0	0	0	0	0	0.12	0
