SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3
0	0.99	0	0	0.011	0	0.11	0.17	0.073	0.18
1	0	1	2e-05	0	1	0	0	0.15	0
2	0	1	0	0	1	0	0	0.15	0
3	1	0	0	9.7e-06	0	0.11	0.17	0.073	0.18
4	0	0	0	1	3	0.14	0.17	0.22	0.25
5	0.97	0	0.002	0.032	0	0.11	0.17	0.073	0.18
6	0	0	1	0	2	0.016	0.17	0.049	0.04
7	0	0	0	1	3	0.14	0.17	0.22	0.25
8	1	0	0	0	0	0.11	0.17	0.073	0.18
9	0	0	1	0	2	0.016	0.17	0.049	0.04
10	0	1	0	0	1	0	0	0.15	0
11	0	1	0	0	1	0	0	0.15	0
12	0	1	0	0	1	0	0	0.15	0
13	0.11	0	0.89	0	2	0.016	0.17	0.049	0.04
14	0	1	0	0	1	0	0	0.15	0
15	0	1	8.2e-05	0	1	0	0	0.15	0
16	0	1	0	0	1	0	0	0.15	0
17	1	0	0	0	0	0.11	0.17	0.073	0.18
18	0	1	0	0	1	0	0	0.15	0
19	0.98	0	0.0051	0.013	0	0.11	0.17	0.073	0.18
20	0	0	1	0	2	0.016	0.17	0.049	0.04
21	0	0	0	1	3	0.14	0.17	0.22	0.25
22	0	1	0	0	1	0	0	0.15	0
23	0	0	0	1	3	0.14	0.17	0.22	0.25
24	0	1	0	0	1	0	0	0.15	0
25	0	1	0	0	1	0	0	0.15	0
26	1	0	0	1.4e-05	0	0.11	0.17	0.073	0.18
27	0	0	0	1	3	0.14	0.17	0.22	0.25
28	0	0	0	1	3	0.14	0.17	0.22	0.25
29	0	0	1	0	2	0.016	0.17	0.049	0.04
30	0	1	0	0	1	0	0	0.15	0
31	0	1	0	0	1	0	0	0.15	0
32	0	1	0	0	1	0	0	0.15	0
33	0	1	0	0	1	0	0	0.15	0
34	0	1	0	0	1	0	0	0.15	0
35	0	1	0	0	1	0	0	0.15	0
36	0	0	0	1	3	0.14	0.17	0.22	0.25
37	0	1	0	0	1	0	0	0.15	0
38	0	1	1e-05	0	1	0	0	0.15	0
39	1	0	0	0	0	0.11	0.17	0.073	0.18
40	1	0	6.5e-05	0.0026	0	0.11	0.17	0.073	0.18
