SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0	0	0.1	0	0.9	9	0.096	0.17	0.087	0.25
1	9.9e-06	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
2	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
3	0	0	0	0	0	0	0	0.9	0	0.1	7	0.14	0.17	0.073	0.18
4	0	0.00013	0	0	1	0	0	0	0	0	4	0.096	0.092	0.28	0.25
5	0	4.4e-05	0.00031	0	0.0012	0	0.00015	0.94	0	0.056	7	0.14	0.17	0.073	0.18
6	0	0	0	0	0	0	1	0	0	0	6	0.031	0.17	0.024	0.02
7	0	0.99	0.0055	0	0.00017	0	0	0	0	0	1	0.096	0.17	0.41	0.25
8	0	0	0	0	0	0	0	1	0	0	7	0.14	0.17	0.073	0.18
9	0.00068	0	0	0	0	0	1	0	0	0	6	0.031	0.17	0.024	0.02
10	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
11	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
12	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
13	0	0	0	0	0	0	0.99	0.012	0	0	6	0.031	0.17	0.024	0.02
14	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
15	5e-05	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
16	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
17	0	0	0	0	0	0	0	0.62	0	0.38	7	0.14	0.17	0.073	0.18
18	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
19	0.0088	0	0	0	0	0	0	0.99	0	0	7	0.14	0.17	0.073	0.18
20	0	0	0	0	0	0	1	0	0	0	6	0.031	0.17	0.024	0.02
21	0	0	1	0	0	0	0	0	0	0	2	0.22	0.24	0.28	0.25
22	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
23	0	0	1	1.9e-05	0	0	0	0	0	0	2	0.22	0.24	0.28	0.25
24	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
25	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
26	0	0	0	0	0	0	0	1	0	0.0001	7	0.14	0.17	0.073	0.18
27	0	3.3e-05	1	0.0042	0	0	0	0	0	0	2	0.22	0.24	0.28	0.25
28	0	0	1	0	0	0	0	0	0	0	2	0.22	0.24	0.28	0.25
29	2.4e-05	0	0	0	0	0	1	0	0	0	6	0.031	0.17	0.024	0.02
30	0	0	0	0	0	1	0	0	0	0	5	0	0	0.15	0
