SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	1	0.14	0.17	0.22	0.18
1	0	0	1	2	0	0	0.12	0
2	0	0	1	2	0	0	0.12	0
3	0	1	0	1	0.14	0.17	0.22	0.18
4	0	1	0	1	0.14	0.17	0.22	0.18
5	0.0058	0.99	0	1	0.14	0.17	0.22	0.18
6	1	0	0	0	0.031	0.057	0.049	0.06
7	0	1	0	1	0.14	0.17	0.22	0.18
8	0	1	0	1	0.14	0.17	0.22	0.18
9	1	0	0	0	0.031	0.057	0.049	0.06
10	0	0	1	2	0	0	0.12	0
11	0	0	1	2	0	0	0.12	0
12	0	0	1	2	0	0	0.12	0
13	0	1	0	1	0.14	0.17	0.22	0.18
14	0	0	1	2	0	0	0.12	0
15	0	0	1	2	0	0	0.12	0
16	0	0	1	2	0	0	0.12	0
17	0	1	0	1	0.14	0.17	0.22	0.18
18	0	0	1	2	0	0	0.12	0
19	1	4.1e-05	0	0	0.031	0.057	0.049	0.06
20	1	0	0	0	0.031	0.057	0.049	0.06
21	0	1	0	1	0.14	0.17	0.22	0.18
22	0	0	1	2	0	0	0.12	0
23	0	1	0	1	0.14	0.17	0.22	0.18
24	0	0	1	2	0	0	0.12	0
25	0	0	1	2	0	0	0.12	0
26	0	1	0	1	0.14	0.17	0.22	0.18
27	0	1	0	1	0.14	0.17	0.22	0.18
28	0	1	0	1	0.14	0.17	0.22	0.18
29	1	0	0	0	0.031	0.057	0.049	0.06
30	0	0	1	2	0	0	0.12	0
31	0	0	1	2	0	0	0.12	0
32	0	0	1	2	0	0	0.12	0
33	0	0	1	2	0	0	0.12	0
34	0	0	1	2	0	0	0.12	0
35	0	0	1	2	0	0	0.12	0
36	0	1	0	1	0.14	0.17	0.22	0.18
37	0	0	1	2	0	0	0.12	0
38	0	0	1	2	0	0	0.12	0
39	0	1	0	1	0.14	0.17	0.22	0.18
40	0.00019	1	0	1	0.14	0.17	0.22	0.18
41	0	1	0	1	0.14	0.17	0.22	0.18
42	0	1	0	1	0.14	0.17	0.22	0.18
43	0	0	1	2	0	0	0.12	0
44	0	0	1	2	0	0	0.12	0
45	1	0	0	0	0.031	0.057	0.049	0.06
46	0	0	1	2	0	0	0.12	0
47	0	1	0	1	0.14	0.17	0.22	0.18
48	0	1	0	1	0.14	0.17	0.22	0.18
49	0	1	0	1	0.14	0.17	0.22	0.18
50	0	1	0	1	0.14	0.17	0.22	0.18
51	0	1	0	1	0.14	0.17	0.22	0.18
52	0	0	1	2	0	0	0.12	0
53	1	0	0	0	0.031	0.057	0.049	0.06
54	0	1	0	1	0.14	0.17	0.22	0.18
55	1	0	0	0	0.031	0.057	0.049	0.06
56	0	1	0	1	0.14	0.17	0.22	0.18
57	0	1	0	1	0.14	0.17	0.22	0.18
58	2e-05	0	1	2	0	0	0.12	0
59	1	0	0	0	0.031	0.057	0.049	0.06
60	0	1	0	1	0.14	0.17	0.22	0.18
61	1	0	0	0	0.031	0.057	0.049	0.06
62	0	1	0	1	0.14	0.17	0.22	0.18
63	0	0	1	2	0	0	0.12	0
64	0	0	1	2	0	0	0.12	0
65	0	0	1	2	0	0	0.12	0
66	0	1	0	1	0.14	0.17	0.22	0.18
67	0	0	1	2	0	0	0.12	0
68	0	1	0	1	0.14	0.17	0.22	0.18
69	0	0	1	2	0	0	0.12	0
70	0	1	0	1	0.14	0.17	0.22	0.18
71	1	0	0	0	0.031	0.057	0.049	0.06
72	1	0	0	0	0.031	0.057	0.049	0.06
73	0	1	0	1	0.14	0.17	0.22	0.18
74	1	0	0	0	0.031	0.057	0.049	0.06
75	1	0	0	0	0.031	0.057	0.049	0.06
76	0	1	0	1	0.14	0.17	0.22	0.18
77	0	1	0	1	0.14	0.17	0.22	0.18
78	1	0	0	0	0.031	0.057	0.049	0.06
79	0	0	1	2	0	0	0.12	0
80	1	0	0	0	0.031	0.057	0.049	0.06
81	5e-06	0	1	2	0	0	0.12	0
82	0	1	0	1	0.14	0.17	0.22	0.18
83	0	0	1	2	0	0	0.12	0
84	0.03	0.97	0	1	0.14	0.17	0.22	0.18
85	1	0	0	0	0.031	0.057	0.049	0.06
86	0	1	0	1	0.14	0.17	0.22	0.18
87	0	1	0	1	0.14	0.17	0.22	0.18
88	0	1	0	1	0.14	0.17	0.22	0.18
89	0	1	0	1	0.14	0.17	0.22	0.18
90	0	1	0	1	0.14	0.17	0.22	0.18
91	0	0	1	2	0	0	0.12	0
92	0	1	0	1	0.14	0.17	0.22	0.18
93	0	1	0	1	0.14	0.17	0.22	0.18
94	0.61	0.39	0	0	0.031	0.057	0.049	0.06
95	1	1.8e-05	0	0	0.031	0.057	0.049	0.06
96	0	0	1	2	0	0	0.12	0
97	0	1	0	1	0.14	0.17	0.22	0.18
98	0	0	1	2	0	0	0.12	0
99	1	0	0	0	0.031	0.057	0.049	0.06
100	0	0	1	2	0	0	0.12	0
101	0	1	0	1	0.14	0.17	0.22	0.18
102	1	0	0	0	0.031	0.057	0.049	0.06
103	0	1	0	1	0.14	0.17	0.22	0.18
104	0	1	0	1	0.14	0.17	0.22	0.18
105	1	0	0	0	0.031	0.057	0.049	0.06
106	0	1	0	1	0.14	0.17	0.22	0.18
107	0	1	0	1	0.14	0.17	0.22	0.18
108	0	1	0	1	0.14	0.17	0.22	0.18
109	1	0	0	0	0.031	0.057	0.049	0.06
110	0	1	0	1	0.14	0.17	0.22	0.18
111	0	0.0097	0.99	2	0	0	0.12	0
112	1	0	0	0	0.031	0.057	0.049	0.06
113	0	0	1	2	0	0	0.12	0
114	0	1	0	1	0.14	0.17	0.22	0.18
115	0	1	0	1	0.14	0.17	0.22	0.18
116	0	1	0	1	0.14	0.17	0.22	0.18
117	0	1	0	1	0.14	0.17	0.22	0.18
118	0	1	0	1	0.14	0.17	0.22	0.18
119	1	0	0	0	0.031	0.057	0.049	0.06
120	0	1	0	1	0.14	0.17	0.22	0.18
121	0	0.037	0.96	2	0	0	0.12	0
122	1	0	0	0	0.031	0.057	0.049	0.06
123	0	1	0	1	0.14	0.17	0.22	0.18
124	0	1	0	1	0.14	0.17	0.22	0.18
125	0	0.23	0.77	2	0	0	0.12	0
126	1	0	0	0	0.031	0.057	0.049	0.06
127	0	0	1	2	0	0	0.12	0
128	1	0	0	0	0.031	0.057	0.049	0.06
129	1	0	0	0	0.031	0.057	0.049	0.06
130	0	1	0	1	0.14	0.17	0.22	0.18
131	0	2.4e-05	1	2	0	0	0.12	0
132	0	0.00097	1	2	0	0	0.12	0
133	1	0	0	0	0.031	0.057	0.049	0.06
134	0	1	0	1	0.14	0.17	0.22	0.18
135	0	1	0	1	0.14	0.17	0.22	0.18
136	0	1	2.4e-05	1	0.14	0.17	0.22	0.18
137	0	0.011	0.99	2	0	0	0.12	0
138	0	0.059	0.94	2	0	0	0.12	0
139	1	0	0	0	0.031	0.057	0.049	0.06
140	0	1	0	1	0.14	0.17	0.22	0.18
141	0	1	0	1	0.14	0.17	0.22	0.18
142	0	1	0	1	0.14	0.17	0.22	0.18
143	0	0	1	2	0	0	0.12	0
144	1	0	0	0	0.031	0.057	0.049	0.06
145	1	0	0	0	0.031	0.057	0.049	0.06
146	0	8.4e-06	1	2	0	0	0.12	0
147	0	0	1	2	0	0	0.12	0
148	0	1	0	1	0.14	0.17	0.22	0.18
149	1	0	0	0	0.031	0.057	0.049	0.06
150	0	1	0	1	0.14	0.17	0.22	0.18
151	0	1	0	1	0.14	0.17	0.22	0.18
152	0.00055	1	0	1	0.14	0.17	0.22	0.18
153	0	0	1	2	0	0	0.12	0
154	0	0	1	2	0	0	0.12	0
155	0	1	0	1	0.14	0.17	0.22	0.18
156	0	1	0	1	0.14	0.17	0.22	0.18
157	1	0	0	0	0.031	0.057	0.049	0.06
158	1	0	0	0	0.031	0.057	0.049	0.06
159	0	1	0	1	0.14	0.17	0.22	0.18
160	0	1	0	1	0.14	0.17	0.22	0.18
161	0	0	1	2	0	0	0.12	0
162	0	1	0	1	0.14	0.17	0.22	0.18
163	0	1	0	1	0.14	0.17	0.22	0.18
164	1	0	0	0	0.031	0.057	0.049	0.06
165	0	1	0	1	0.14	0.17	0.22	0.18
166	0	0	1	2	0	0	0.12	0
167	0	0	1	2	0	0	0.12	0
168	1	0	0	0	0.031	0.057	0.049	0.06
169	0	1	0	1	0.14	0.17	0.22	0.18
170	1	0	0	0	0.031	0.057	0.049	0.06
171	1	0	0	0	0.031	0.057	0.049	0.06
172	0	0	1	2	0	0	0.12	0
173	0.0026	1	0	1	0.14	0.17	0.22	0.18
174	1	0	0	0	0.031	0.057	0.049	0.06
175	1	0	0	0	0.031	0.057	0.049	0.06
176	0	0	1	2	0	0	0.12	0
177	1	0	0	0	0.031	0.057	0.049	0.06
178	0	1	0	1	0.14	0.17	0.22	0.18
179	1	0	0	0	0.031	0.057	0.049	0.06
180	0	1	0	1	0.14	0.17	0.22	0.18
181	0	1	0	1	0.14	0.17	0.22	0.18
182	0	1	0	1	0.14	0.17	0.22	0.18
183	0	1	0	1	0.14	0.17	0.22	0.18
184	1	0	0	0	0.031	0.057	0.049	0.06
185	1	8.2e-05	0	0	0.031	0.057	0.049	0.06
186	1	0.0034	0	0	0.031	0.057	0.049	0.06
187	1	0	0	0	0.031	0.057	0.049	0.06
188	0.98	0.023	0	0	0.031	0.057	0.049	0.06
189	0	1	0	1	0.14	0.17	0.22	0.18
190	1	0	0	0	0.031	0.057	0.049	0.06
191	0	0	1	2	0	0	0.12	0
192	0	0	1	2	0	0	0.12	0
193	0	0.5	0.5	1	0.14	0.17	0.22	0.18
194	0	1	0	1	0.14	0.17	0.22	0.18
195	0	0	1	2	0	0	0.12	0
196	0	1	0	1	0.14	0.17	0.22	0.18
197	1	0	0	0	0.031	0.057	0.049	0.06
198	0.00025	1	0	1	0.14	0.17	0.22	0.18
199	0	0	1	2	0	0	0.12	0
200	1	0	0	0	0.031	0.057	0.049	0.06
201	1	0	0	0	0.031	0.057	0.049	0.06
202	1	0	0	0	0.031	0.057	0.049	0.06
203	1	0	0	0	0.031	0.057	0.049	0.06
204	0	1	0	1	0.14	0.17	0.22	0.18
205	1	0	0	0	0.031	0.057	0.049	0.06
206	0	1	0	1	0.14	0.17	0.22	0.18
207	9.4e-05	1	0	1	0.14	0.17	0.22	0.18
208	1	0	0	0	0.031	0.057	0.049	0.06
209	1	0	0	0	0.031	0.057	0.049	0.06
210	0	0	1	2	0	0	0.12	0
211	0	0	1	2	0	0	0.12	0
212	0	0	1	2	0	0	0.12	0
213	1	0	0	0	0.031	0.057	0.049	0.06
214	1	0	0	0	0.031	0.057	0.049	0.06
215	0	1	0	1	0.14	0.17	0.22	0.18
216	0	1	0	1	0.14	0.17	0.22	0.18
217	0	0	1	2	0	0	0.12	0
218	0.015	0.99	0	1	0.14	0.17	0.22	0.18
219	0	0	1	2	0	0	0.12	0
220	0.99	0.009	0	0	0.031	0.057	0.049	0.06
221	0	1	0	1	0.14	0.17	0.22	0.18
222	2.3e-06	0.014	0.99	2	0	0	0.12	0
223	0	0	1	2	0	0	0.12	0
224	1	0	0	0	0.031	0.057	0.049	0.06
225	1	0	0	0	0.031	0.057	0.049	0.06
226	0	1	0	1	0.14	0.17	0.22	0.18
227	1	0	0	0	0.031	0.057	0.049	0.06
228	1	0	0	0	0.031	0.057	0.049	0.06
229	0	0	1	2	0	0	0.12	0
230	0	1	0	1	0.14	0.17	0.22	0.18
231	0	0	1	2	0	0	0.12	0
232	0	1	0	1	0.14	0.17	0.22	0.18
233	0	0	1	2	0	0	0.12	0
234	0	1	0	1	0.14	0.17	0.22	0.18
235	0	1	0	1	0.14	0.17	0.22	0.18
236	0	0	1	2	0	0	0.12	0
237	1	0	0	0	0.031	0.057	0.049	0.06
238	0	0	1	2	0	0	0.12	0
239	1	0	0	0	0.031	0.057	0.049	0.06
240	1	0	0	0	0.031	0.057	0.049	0.06
241	1	0	0	0	0.031	0.057	0.049	0.06
242	3.9e-05	0	1	2	0	0	0.12	0
243	1	0	0	0	0.031	0.057	0.049	0.06
244	0	0	1	2	0	0	0.12	0
245	0	1	0	1	0.14	0.17	0.22	0.18
246	0	1	0	1	0.14	0.17	0.22	0.18
247	0	1	0	1	0.14	0.17	0.22	0.18
248	0.00014	1	0	1	0.14	0.17	0.22	0.18
249	1	7e-06	0	0	0.031	0.057	0.049	0.06
250	0.99	0.012	0	0	0.031	0.057	0.049	0.06
251	0	0	1	2	0	0	0.12	0
252	0	0	1	2	0	0	0.12	0
253	0	1	0	1	0.14	0.17	0.22	0.18
254	0	1	0	1	0.14	0.17	0.22	0.18
255	1	0	0	0	0.031	0.057	0.049	0.06
256	0	0	1	2	0	0	0.12	0
257	0	1	0	1	0.14	0.17	0.22	0.18
258	0	0	1	2	0	0	0.12	0
259	1	0	0	0	0.031	0.057	0.049	0.06
260	0	1	0	1	0.14	0.17	0.22	0.18
261	0	1	0	1	0.14	0.17	0.22	0.18
262	1	0	0	0	0.031	0.057	0.049	0.06
