k	loglikelihood	observations	parameters	BIC
1	-7689.52	2584	4	15410.5
2	-3785.44	2584	6	7618.03
3	-3122.44	2584	8	6307.74
4	-2641.51	2584	10	5361.59
5	-2558.7	2584	12	5211.68
6	-2406.81	2584	14	4923.61
7	-2385.98	2584	16	4897.67
8	-2173.17	2584	18	4487.77
9	-2183.79	2584	20	4524.71
10	-2238.01	2584	22	4648.88
11	-2217.85	2584	24	4624.27
12	-2232.82	2584	26	4669.92
13	-2208.48	2584	28	4636.96
14	-2070.82	2584	30	4377.36
15	-2054.24	2584	32	4359.9
16	-2200.9	2584	34	4668.94
17	-2051.28	2584	36	4385.41
18	-2063.84	2584	38	4426.24
19	-2046.74	2584	40	4407.76
20	-2046.74	2584	42	4423.48
