SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	1	8.4e-06	0	0	0	0	0	0	0	8	0.21	0.16
1	0.5	0	0.5	0	0	6.2e-05	0	0	0	0	0	0	0	0	0.00023	0	0	0	0.62	0.35
2	0.5	0	0.5	0	0	0	4.4e-05	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
3	0.5	0	0.5	0	0	0.0039	5.7e-06	0	0	0	0	0	0	0	0.00056	0	2.3e-06	0	0.62	0.35
4	0	0	0	0	0	0	0	0.62	0.00078	0.36	0	0	0.005	0	0	0.013	0	7	0	0.16
5	0	0.14	0	0.43	0	0	0	0	0	0	0	0	0	0.43	0	0	0	3	0.084	0
6	0.27	0	0.27	0	0	0.26	3.4e-06	0	0	0	0	0	0	0	0.046	0	0.14	0	0.62	0.35
7	0	0	0	0	0	0	0	1	0	2.7e-06	0	0	0	0	0	0	0	7	0	0.16
8	1.7e-06	0	1.7e-06	0	0	6.1e-06	0	0	0.99	0	0	0	0	0	0.0021	0	0.0092	8	0.21	0.16
9	0.5	0	0.5	0	0	0.00034	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.62	0.35
10	0.014	0	0.014	0	0	0.97	0	0	0	0	0	0	0	0	0	0	0	5	0.62	0.23
11	0	0.014	0	0.49	0	0	0	0	0	0	0	0	0	0.49	0	0	0	3	0.084	0
12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00028	0	9	0.042	0.19
13	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
14	0.43	0	0.43	0	0	0.00016	0	0	0	0	0	0	0	0	0.14	0	2.4e-06	0	0.62	0.35
15	0.5	0	0.5	0	0	1.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
16	0.33	0	0.33	0	0	0.34	0	0	0	0	0	0	0	0	0.00015	0	0	5	0.62	0.23
17	0	0.24	0	0.38	5.8e-05	0	0	0	0	0	0	0	0	0.38	0	0	0	3	0.084	0
18	0	0.016	0	4.4e-05	0.98	0	0	0	0	0	0	0	0	4.4e-05	0	0	0	4	0.25	0
19	0.5	0	0.5	0	0	6.1e-06	0.00031	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
20	0.5	0	0.5	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
21	0.5	0	0.5	0	0	0.00012	0.0049	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.042	0.19
23	0	0.45	0	0.27	0.02	0	0	0	0	0	0	0	0	0.27	0	0	0	1	0.13	0
24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0044	0	9	0.042	0.19
25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0.21	0.16
26	0	0.48	0	0.017	0.49	0	0	0	0	0	0	0	0	0.017	0	0	0	4	0.25	0
27	0	0.53	0	0.23	0.0022	0	0	0	0	0	0	0	0	0.23	0	0	0	1	0.13	0
28	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0.0046	0	0.00069	8	0.21	0.16
29	0.48	0	0.48	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
30	0	0.0077	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	3	0.084	0
