SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4e-06	1	0	0	16	0.21	0.16
1	0.89	0	0	0	0	6.4e-05	0	0	0	0	0.1	0	0.00016	0	0	0	0	0	0	0	0.62	0.35
2	0.98	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	4.9e-05	0	0	0.62	0.35
3	0.9	0	0	0	0	0.004	0	0	0	2.3e-06	0.095	0	0.0004	0	0	0	0	5.9e-06	0	0	0.62	0.35
4	0	0	0	3.8e-06	0	0	0.013	0.005	0	0	0	0	0	0	0.62	0.36	0.00078	0	0	14	0	0.16
5	0	0	0	0	0.11	0	0	0	0.33	0	0	0.029	0	0	0	0	0	0	0.54	18	0.084	0
6	0.49	0	0	0.0002	0	0.27	0	0	0	0.14	0.077	0	0.032	0	0	0	0	3.4e-06	0	0	0.62	0.35
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.7e-06	0	0	0	14	0	0.16
8	3e-06	0	0	0.0015	0	6.2e-06	0	0	0	0.0092	5.3e-06	0	0.0015	0	0	0	0.99	0	0	16	0.21	0.16
9	0.93	0	0	0	0	0.00036	0	0	0	0	0.074	0	0.00018	0	0	0	0	0	0	0	0.62	0.35
10	0.025	0	0	0	0	0.98	0	0	0	0	0.00031	0	0	0	0	0	0	0	0	5	0.62	0.23
11	0	0	0	0	0.011	0	0	0	0.37	0	0	0.0031	0	0	0	0	0	0	0.61	18	0.084	0
12	0	0	0	0	0	0	0.00027	0	0	0	0	0	0	0	0	1	0	0	0	15	0.042	0.19
13	0.99	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0.62	0.35
14	0.56	0	0	3.7e-05	0	0.00012	0	0	0	1.7e-06	0.37	0	0.07	0	0	0	0	0	0	0	0.62	0.35
15	0.99	0	0	0	0	1.8e-05	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0.62	0.35
16	0.63	0	0	0	0	0.37	0	0	0	0	0	0	0.00011	0	0	0	0	0	0	0	0.62	0.35
