SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	0	0	0.8	0	0	0	0	0	0	0.2	0	4	0.21	0.19
1	0	0	0	0.86	0	0	0.14	0.00036	0	0	0	0	5.6e-05	3	0.62	0.35
2	0	0	0	0.98	0	0	0.025	0	0	0	0	0	0	3	0.62	0.35
3	0	0	1.7e-06	0.86	0	0	0.13	0.013	0	0	0	0	0.0035	3	0.62	0.35
4	0	0.0059	0	0	0.0021	0	0	0	0.77	0	0	0.22	0	8	0	0.16
5	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.084	0
6	0	0	0.079	0.35	7.2e-06	0	0.079	0.31	0	0	0	0	0.18	3	0.62	0.35
7	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0.16
8	0	0	0.0098	4.1e-06	0.99	0	1e-05	0.00034	0	0	0	0	7.7e-06	4	0.21	0.19
9	0	0	0	0.9	0	0	0.1	0.00043	0	0	0	0	0.00032	3	0.62	0.35
10	0	0	0	0.027	0	0	0.00047	0.00021	0	0	0	0	0.97	12	0.62	0.23
11	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.084	0
12	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.042	0.16
13	0	0	0	0.99	0	0	0.011	0	0	0	0	0	0	3	0.62	0.35
14	0	0	1.2e-06	0.52	0	0	0.47	0.012	0	0	0	0	9.8e-05	3	0.62	0.35
15	0	0	0	0.99	0	0	0.0073	0	0	0	0	0	1.6e-05	3	0.62	0.35
16	0	0	0	0.65	0	0	0	0	0	0	0	0	0.35	3	0.62	0.35
17	7.5e-05	0	0	0	0	0	0	0	0	1	0	0	0	9	0.084	0
18	1	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	0.25	0
19	0	0	0	1	0	0	4.9e-05	0	0	0	0	0	6.3e-06	3	0.62	0.35
20	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0.62	0.35
21	0	0	0	1	0	0	0.00055	5.4e-06	0	0	0	0	0.00012	3	0.62	0.35
