SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.13	0.12
1	0	1	1	0.62	0.35
2	0	1	1	0.62	0.35
3	0	1	1	0.62	0.35
4	1	0	0	0.13	0.12
5	1	0	0	0.13	0.12
6	0	1	1	0.62	0.35
7	1	0	0	0.13	0.12
8	1	3.4e-05	0	0.13	0.12
9	0	1	1	0.62	0.35
10	0	1	1	0.62	0.35
11	1	0	0	0.13	0.12
12	1	0	0	0.13	0.12
13	0	1	1	0.62	0.35
14	0	1	1	0.62	0.35
15	0	1	1	0.62	0.35
16	0	1	1	0.62	0.35
17	1	0	0	0.13	0.12
18	1	0	0	0.13	0.12
19	0	1	1	0.62	0.35
20	0	1	1	0.62	0.35
21	0	1	1	0.62	0.35
22	1	0	0	0.13	0.12
23	1	0	0	0.13	0.12
24	1	0	0	0.13	0.12
25	1	0	0	0.13	0.12
26	1	0	0	0.13	0.12
27	1	0	0	0.13	0.12
28	1	0	0	0.13	0.12
29	0	1	1	0.62	0.35
30	1	0	0	0.13	0.12
31	0	1	1	0.62	0.35
32	0	1	1	0.62	0.35
33	0	1	1	0.62	0.35
34	0	1	1	0.62	0.35
35	1	0	0	0.13	0.12
36	1	0	0	0.13	0.12
37	1	0	0	0.13	0.12
38	0	1	1	0.62	0.35
39	0	1	1	0.62	0.35
40	0	1	1	0.62	0.35
41	1	0	0	0.13	0.12
42	0	1	1	0.62	0.35
43	0	1	1	0.62	0.35
44	1	0	0	0.13	0.12
45	1	0	0	0.13	0.12
46	0	1	1	0.62	0.35
47	0.0023	1	1	0.62	0.35
48	0	1	1	0.62	0.35
49	1	0	0	0.13	0.12
50	0	1	1	0.62	0.35
51	0	1	1	0.62	0.35
52	0	1	1	0.62	0.35
53	1	0	0	0.13	0.12
54	1	0	0	0.13	0.12
55	0.19	0.81	1	0.62	0.35
56	1	0	0	0.13	0.12
57	0	1	1	0.62	0.35
58	1	0	0	0.13	0.12
59	0	1	1	0.62	0.35
60	0	1	1	0.62	0.35
61	0	1	1	0.62	0.35
62	0	1	1	0.62	0.35
63	1	0	0	0.13	0.12
64	1	0	0	0.13	0.12
65	1	0	0	0.13	0.12
66	1	0	0	0.13	0.12
67	0	1	1	0.62	0.35
68	0	1	1	0.62	0.35
69	0	1	1	0.62	0.35
70	1	0	0	0.13	0.12
71	0	1	1	0.62	0.35
72	1	0	0	0.13	0.12
73	1	0	0	0.13	0.12
74	1	9.7e-06	0	0.13	0.12
75	0.99	0.013	0	0.13	0.12
76	0	1	1	0.62	0.35
77	0	1	1	0.62	0.35
78	0	1	1	0.62	0.35
79	1	0	0	0.13	0.12
80	0	1	1	0.62	0.35
81	0.29	0.71	1	0.62	0.35
82	1	0	0	0.13	0.12
83	0	1	1	0.62	0.35
84	0	1	1	0.62	0.35
85	0	1	1	0.62	0.35
86	0	1	1	0.62	0.35
87	0	1	1	0.62	0.35
88	0	1	1	0.62	0.35
89	0	1	1	0.62	0.35
90	0	1	1	0.62	0.35
91	0	1	1	0.62	0.35
92	1	0	0	0.13	0.12
93	0	1	1	0.62	0.35
94	0.14	0.86	1	0.62	0.35
95	0	1	1	0.62	0.35
96	1	0	0	0.13	0.12
97	0	1	1	0.62	0.35
98	0.0034	1	1	0.62	0.35
99	1	0	0	0.13	0.12
100	1	0	0	0.13	0.12
101	1	0	0	0.13	0.12
102	0	1	1	0.62	0.35
103	1	0	0	0.13	0.12
104	1	0.00078	0	0.13	0.12
105	1	0	0	0.13	0.12
106	0	1	1	0.62	0.35
107	0	1	1	0.62	0.35
108	0.5	0.5	0	0.13	0.12
109	1	0	0	0.13	0.12
110	0	1	1	0.62	0.35
111	1	0	0	0.13	0.12
112	1	0	0	0.13	0.12
113	0	1	1	0.62	0.35
114	1	0	0	0.13	0.12
115	1	0	0	0.13	0.12
116	0.34	0.66	1	0.62	0.35
117	0	1	1	0.62	0.35
118	1	0	0	0.13	0.12
119	1	0	0	0.13	0.12
120	1	0	0	0.13	0.12
121	0	1	1	0.62	0.35
122	1	0	0	0.13	0.12
123	0	1	1	0.62	0.35
124	1	0	0	0.13	0.12
125	0	1	1	0.62	0.35
126	1	0	0	0.13	0.12
127	1	0	0	0.13	0.12
128	1	0	0	0.13	0.12
129	0.00052	1	1	0.62	0.35
130	0	1	1	0.62	0.35
131	1	0	0	0.13	0.12
132	1	0	0	0.13	0.12
133	1	0	0	0.13	0.12
134	0	1	1	0.62	0.35
135	0	1	1	0.62	0.35
136	0	1	1	0.62	0.35
137	1	0	0	0.13	0.12
138	1	0	0	0.13	0.12
139	1	0	0	0.13	0.12
140	1	0	0	0.13	0.12
141	0	1	1	0.62	0.35
142	1	0	0	0.13	0.12
143	8.2e-05	1	1	0.62	0.35
144	1	0	0	0.13	0.12
145	0	1	1	0.62	0.35
146	1	0	0	0.13	0.12
147	0	1	1	0.62	0.35
148	1	0	0	0.13	0.12
149	1	0	0	0.13	0.12
150	1	0	0	0.13	0.12
151	1	0	0	0.13	0.12
152	0	1	1	0.62	0.35
153	1	0	0	0.13	0.12
