SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8.4e-06	0	0	0	0	0	10	0.21	0.16
1	0.89	0	0	0	0	0	0	0.1	0	0	0	0	6.4e-05	0.00016	0	0	0	0	0	0	0	0.62	0.35
2	0.98	0	0	0	0	0	0	0.018	0	0	0	4.9e-05	0	0	0	0	0	0	0	0	0	0.62	0.35
3	0.9	0	0	0	0	0	0	0.095	0	0	0	5.9e-06	0.004	0.0004	0	0	2.3e-06	0	0	0	0	0.62	0.35
4	0	0	0	0	0.62	0	0.005	0	0.013	0	0.00078	0	0	0	0.36	3.8e-06	0	0	0	0	4	0	0.16
5	0	0	0	0.03	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0.54	0	0.33	17	0.084	0
6	0.49	0	0	0	0	0	0	0.077	0	0	0	3.4e-06	0.27	0.032	0	0.0002	0.14	0	0	0	0	0.62	0.35
7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.7e-06	0	0	0	0	0	4	0	0.16
8	3e-06	0	0	0	0	0	0	5.3e-06	0	0	0.99	0	6.2e-06	0.0015	0	0.0015	0.0092	0	0	0	10	0.21	0.16
9	0.93	0	0	0	0	0	0	0.074	0	0	0	0	0.00036	0.00018	0	0	0	0	0	0	0	0.62	0.35
10	0.025	0	0	0	0	0	0	0.00031	0	0	0	0	0.98	0	0	0	0	0	0	0	12	0.62	0.23
11	0	0	0	0.0031	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0.61	0	0.37	17	0.084	0
12	0	0	0	0	0	0	0	0	0.00027	0	0	0	0	0	1	0	0	0	0	0	14	0.042	0.19
13	0.99	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0.35
14	0.56	0	0	0	0	0	0	0.37	0	0	0	0	0.00012	0.07	0	3.7e-05	1.7e-06	0	0	0	0	0.62	0.35
15	0.99	0	0	0	0	0	0	0.0052	0	0	0	0	1.8e-05	0	0	0	0	0	0	0	0	0.62	0.35
16	0.63	0	0	0	0	0	0	0	0	0	0	0	0.37	0.00011	0	0	0	0	0	0	0	0.62	0.35
17	0	0	0	0.052	0	2.9e-05	0	0	0	0.19	0	0	0	0	0	0	0	0.47	2.9e-05	0.29	17	0.084	0
18	0	0	0	0.0034	0	0.49	0	0	0	0.012	0	0	0	0	0	0	0	5.4e-05	0.49	3.3e-05	5	0.25	0
19	1	0	0	0	0	0	0	3.5e-05	0	0	0	0.00036	6.9e-06	0	0	0	0	0	0	0	0	0.62	0.35
20	1	0	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0	0	0	0	0.62	0.35
21	0.99	0	0	0	0	0	0	0.00039	0	0	0	0.0056	0.00013	0	0	0	0	0	0	0	0	0.62	0.35
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.042	0.19
23	0	0	0	0.097	0	0.01	0	0	0	0.35	0	0	0	0	0	0	0	0.33	0.01	0.2	9	0.13	0
24	0	0	0	0	0	0	0	0	0.0042	0	0	0	0	0	1	0	0	0	0	0	14	0.042	0.19
25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.21	0.16
26	0	0	0	0.1	0	0.24	0	0	0	0.37	0	0	0	0	0	0	0	0.021	0.24	0.013	9	0.13	0
27	0	0	0	0.12	0	0.0011	0	0	0	0.42	0	0	0	0	0	0	0	0.29	0.0011	0.18	9	0.13	0
28	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0.0031	0	0.031	0.00068	0	0	0	10	0.21	0.16
29	0.88	0	0	0	0	0	0	0.079	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0.62	0.35
30	0	0	0	0.0017	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0.62	0	0.38	17	0.084	0
31	0.87	0	0	0	0	0	0	0.13	0	0	0	1.1e-06	0.0056	0.00013	0	0	2.6e-06	0	0	0	0	0.62	0.35
32	0.71	0	0	0	0	0	0	0.29	0	0	0	1.3e-06	2.5e-06	0.0018	0	0	0	0	0	0	0	0.62	0.35
33	0.87	0	0	0	0	0	0	0.13	0	0	0	9.5e-05	1.4e-06	0.00035	0	0	0	0	0	0	0	0.62	0.35
34	0.076	0	0	0	0	0	0	0.92	0	0	0	0	0	4.3e-06	0	0	0	0	0	0	7	0.55	0.35
35	0	0	0	0.023	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0.56	0	0.34	17	0.084	0
36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.21	0.16
37	0	0	0	0	0	0	0	0	0.14	0	6.7e-05	0	0	0	0.86	2e-06	0	0	0	0	14	0.042	0.19
38	0.94	0	0	0	0	0	0	0.0066	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0.62	0.35
39	0.89	0	0	0	0	0	0	0.064	0	0	9.9e-06	0.0024	0.016	0.027	0	0.00086	0.0025	0	0	0	0	0.62	0.35
40	0.95	0	0	0	0	0	0	0.019	0	0	0	0.0028	0.032	3.1e-05	0	0	1.5e-05	0	0	0	0	0.62	0.35
41	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.21	0.16
42	0.43	0	0	0	0	0	0	0.57	0	0	0	0	0	0.00022	0	0	0	0	0	0	7	0.55	0.35
43	0.99	0	0	0	0	0	0	0.0063	0	0	0	6.2e-06	8.7e-06	0	0	0	0	0	0	0	0	0.62	0.35
44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.6e-05	0	0	0	0	10	0.21	0.16
45	0	0	2.9e-06	0.083	0	0.21	0	0	0	0.3	0.0025	0	0	0	0	0	1.9e-06	0.12	0.21	0.073	9	0.13	0
46	0.96	0	0	0	0	0	0	0.033	0	0	0	0	0.0066	8.7e-05	0	0	1.6e-06	0	0	0	0	0.62	0.35
47	0.041	0	0	0	0	0	0	0.025	0	0	0.031	0	0.0019	0.65	0	0.23	0.026	0	0	0	13	0.38	0.35
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0.97	0	0	0	0	15	0.3	0.35
49	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00055	0	0.002	0	0	0	0	10	0.21	0.16
