SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0.0062	0	0	0	0	0	9e-05	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
1	0.0071	0	0	0	0	0	0.046	0.95	7	0.17	0.29	0.23	0.34	0.12	0.23
2	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
3	0	0	0	1	0	0	0	0	3	0	0.29	0.18	0.11	0.029	0.17
4	0	1	0	0	0	0	0	0	1	0	0	0	0.15	0	0
5	9.5e-05	0	0	0	0	0	2.3e-06	1	7	0.17	0.29	0.23	0.34	0.12	0.23
6	0.00082	0	0	1	0	0	0	0.00015	3	0	0.29	0.18	0.11	0.029	0.17
7	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
8	0	1	0	0	0	0	0	0	1	0	0	0	0.15	0	0
9	0	1	0	0	0	3.9e-06	0	0	1	0	0	0	0.15	0	0
10	0.24	0	0	0	0	0	0.00034	0.76	7	0.17	0.29	0.23	0.34	0.12	0.23
11	0	0	0	0	0	0	0.97	0.025	6	0.17	0.34	0.29	0.38	0.21	0.31
12	0.0054	0	0	0	0	0	9.6e-05	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
13	0.0061	0	0	0	0	0	1.1e-05	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
14	0	0	0	0	0	1	0	0	5	0	0.032	0.026	0.076	0.029	0.029
15	0.019	0	0	0	0	0	0.11	0.88	7	0.17	0.29	0.23	0.34	0.12	0.23
16	0.005	0	0	0	0	0	0.011	0.98	7	0.17	0.29	0.23	0.34	0.12	0.23
17	0.0042	0	0	0	0	0	0.0011	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
18	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
19	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
20	0.0071	0	0	0	0	0	0.00052	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
21	0.0012	0	0	0	0	0	3.7e-05	1	7	0.17	0.29	0.23	0.34	0.12	0.23
22	0	0	0	0	0	1	0	0	5	0	0.032	0.026	0.076	0.029	0.029
23	0.0012	0	0	0	0	0	0	1	7	0.17	0.29	0.23	0.34	0.12	0.23
24	0.58	0	0	0	0	0	0.0027	0.42	0	0.076	0.29	0.23	0.3	0.13	0.26
25	0	0	0	0	1	0	0	0	4	0.32	0.57	0.47	0.66	0.21	0.47
26	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
27	0	0	0	0	1	0	0	0	4	0.32	0.57	0.47	0.66	0.21	0.47
28	0.00059	0	0	0	0	0	0	1	7	0.17	0.29	0.23	0.34	0.12	0.23
29	5.6e-05	0	0	0	0	0	0	1	7	0.17	0.29	0.23	0.34	0.12	0.23
30	0	0	1	0	0	0	0	0	2	0.17	0.032	0.026	0.038	0.043	0.029
31	0	0	0	1	0	0	0	0	3	0	0.29	0.18	0.11	0.029	0.17
32	0	1	0	0	0	0	0	0	1	0	0	0	0.15	0	0
33	0	0	1	0	0	0	0	0	2	0.17	0.032	0.026	0.038	0.043	0.029
34	0	0	0	0	0	0	1	0	6	0.17	0.34	0.29	0.38	0.21	0.31
35	0	0	0	0	1	0	0	0	4	0.32	0.57	0.47	0.66	0.21	0.47
36	0.011	0	0	0	0	0	0	0.99	7	0.17	0.29	0.23	0.34	0.12	0.23
37	0	0	0	0	0	0	0	1	7	0.17	0.29	0.23	0.34	0.12	0.23
38	0	1	0	0	0	0	0	0	1	0	0	0	0.15	0	0
39	0.56	0	0	0	0	0	0.064	0.38	0	0.076	0.29	0.23	0.3	0.13	0.26
40	0	0	1	0	0	0	0	0	2	0.17	0.032	0.026	0.038	0.043	0.029
41	0	0	0	0	0	1	0	0	5	0	0.032	0.026	0.076	0.029	0.029
42	0.0037	0	0	0	0	0	0.68	0.31	6	0.17	0.34	0.29	0.38	0.21	0.31
43	0	1	0	0	0	0	0	0	1	0	0	0	0.15	0	0
