SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0	0	0.0017	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
1	0	0	0.043	0	0.00025	0	0	0	0	0.96	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
2	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0.022	0	9	0.17	0.29	0.23	0.34	0.13	0.26
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.29	0.18	0	0.014	0.14
4	0	0	0	0	0	0	0	0.027	0	0	0	0	0.00012	0	0	0.97	15	0	0	0	0.19	0	0
5	1.1e-06	0	0.015	0	0	0	0	0	0	0.98	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
6	0.0017	0	0	0	0	0	0	0	0	2.5e-05	0	1	0	0	0	0	11	0	0.26	0.15	0.15	0.043	0.17
7	0	0	0	0	0.085	0	0	0	0	0.91	0	0	0	0	0.0045	0	9	0.17	0.29	0.23	0.34	0.13	0.26
8	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0.22	7	0	0	0	0.15	0	0
9	0	0	0	0	0	0	0	0.66	0	0	0	0	0.00049	0	0	0.34	7	0	0	0	0.15	0	0
10	0.002	0	3.3e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
11	0	0	0.0024	0	0.0017	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
12	0.0001	0	1.4e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
13	0.00023	0	4.7e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.17	0.032	0.026	0.038	0.029	0.029
15	0.00014	0	0.0027	0	0.0006	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
16	0.0013	0	0.0012	0	0.00053	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
17	0.00015	0	9.9e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
18	0	0	0	0	0.11	0	0	0	0	0.89	0	0	0	0	7.5e-05	0	9	0.17	0.29	0.23	0.34	0.13	0.26
19	0	0	0	0	0.061	0	0	0	0	0.94	0	0	0	0	0.00043	0	9	0.17	0.29	0.23	0.34	0.13	0.26
20	3.6e-05	0	8e-06	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
21	2.9e-05	0	0.003	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.038	0.058	0.087
23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
24	0.45	0	1.2e-05	0	1.4e-05	0	0	0	0	0.55	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
25	0	0	0	0	0	0	0.53	0	0	0	0	0	0	0.47	0	0	6	0.39	0.66	0.47	0.78	0.21	0.53
26	0	0	0	0	0.97	0	0	0	0	0.033	0	0	0	0	0	0	4	0.17	0.38	0.35	0.38	0.21	0.31
27	0	0	0	0	0	0	0.00018	0	0	0	0	0	0	1	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
29	0	0	0.00011	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.17	0.032	0.026	0.038	0.029	0.029
31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.29	0.18	0	0.014	0.14
32	0	0	0	0	0	0	0	0.46	0	0	0	0	0	0	0	0.54	15	0	0	0	0.19	0	0
33	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.17	0.032	0.026	0.038	0.029	0.029
34	0	0	0	0	0	0	0	0	0	0.0079	0	0	0	0	0.99	0	14	0.39	0.76	0.74	1	0.32	0.67
35	0	0	0	0	0	0	1	0	0	0	0	0	0	2.7e-05	0	0	6	0.39	0.66	0.47	0.78	0.21	0.53
36	0.012	0	0.00032	0	0	0	0	0	0	0.99	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
37	0	0	0.00046	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
38	0	0	0	0	0	0	0	0.31	0	0	0	0	5.7e-06	0	0	0.69	15	0	0	0	0.19	0	0
39	0.016	0	4.6e-05	0	4.5e-05	0	0	0	0	0.98	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.17	0.032	0.026	0.038	0.029	0.029
41	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0.13	0.051	0	0	0
42	1.6e-05	0	0.0046	0	0.0045	0	0	0	0	0.99	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
43	0	0	0	0	0	0	0	0.82	0	0	0	0	0	0	0	0.18	7	0	0	0	0.15	0	0
44	0	0	0	0	0.0057	0	0	0	0	0.99	0	0	0	0	0.0037	0	9	0.17	0.29	0.23	0.34	0.13	0.26
45	0	0	0	0	1.3e-06	0	0	0	0	0.99	0	0	0	0	0.009	0	9	0.17	0.29	0.23	0.34	0.13	0.26
46	1.4e-06	0	0.00019	0	5.3e-05	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
47	0	0	0.0003	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
48	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0.82	3.1e-05	0	13	0.32	0.57	0.47	0.66	0.21	0.47
49	0.11	0	0	0	0	0	0	0	0	6.5e-05	0	0.89	0	0	0	0	11	0	0.26	0.15	0.15	0.043	0.17
50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.17	0.38	0.35	0.38	0.21	0.31
51	0	0	0	0	0.034	0	0	0	0	0.97	0	0	0	0	0.0002	0	9	0.17	0.29	0.23	0.34	0.13	0.26
52	0.96	0	8.1e-05	0	0	0	0	0	0	0.043	0	0	0	0	0	0	0	0.057	0.29	0.2	0.3	0.12	0.23
53	0	1	0	0	0	0	0	0	0	0	4.2e-05	0	0	0	0	0	1	0	0	0	0.038	0.058	0.087
54	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
55	0	0	0	0	6.3e-06	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
56	1	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0.057	0.29	0.2	0.3	0.12	0.23
57	0	0	0	0	0.00084	0	0	0	0	1	0	0	0	0	0.00011	0	9	0.17	0.29	0.23	0.34	0.13	0.26
58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.8e-06	0	9	0.17	0.29	0.23	0.34	0.13	0.26
59	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	1	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
60	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0.78	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
61	0.99	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0.057	0.29	0.2	0.3	0.12	0.23
62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0.26	0.15	0.15	0.043	0.17
63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.17	0.38	0.35	0.38	0.21	0.31
64	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	1	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
65	0	0	0	0	0	0	0.088	0	0	0	0	0	0	0.91	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
66	0	0	0	0	2.1e-06	0	0	0	0	1	0	0	0	0	1.9e-05	0	9	0.17	0.29	0.23	0.34	0.13	0.26
67	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0.031	0	9	0.17	0.29	0.23	0.34	0.13	0.26
68	0	0	5.2e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
69	0.0019	0	0.0029	0	0.042	0	0	0	0	0.95	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
70	0	0	0	0	0.092	0	0	0	0	0.9	0	0	0	0	0.011	0	9	0.17	0.29	0.23	0.34	0.13	0.26
71	0	0	0	0	0	0	0	0	0	1.8e-06	0	0	0	1	3.8e-06	0	13	0.32	0.57	0.47	0.66	0.21	0.47
72	0	0	0	0	0	0	0	0.37	0	0	0	0	0	0	0	0.63	15	0	0	0	0.19	0	0
73	0.35	0	0.0061	0	0.0057	0	0	0	0	0.64	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
74	0	0	2.8e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
75	0.00023	0	5e-05	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
76	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.85	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
77	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0.66	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
78	6.2e-05	0	2.2e-06	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.17	0.29	0.23	0.34	0.13	0.26
79	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.038	0.058	0.087
80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0.26	0.15	0.15	0.043	0.17
81	0	0	0	0	0	0	2.8e-05	0	0	0	0	0	0	1	0	0	13	0.32	0.57	0.47	0.66	0.21	0.47
82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0.17	0.032	0.026	0.038	0.029	0.029
