k	loglikelihood	observations	parameters	BIC
1	-35054.5	23124	12	70229.6
2	-18565.8	23124	18	37312.4
3	-15870.3	23124	24	31981.8
4	-15488.1	23124	30	31277.6
5	-14801	23124	36	29963.8
6	-13588	23124	42	27598
7	-12926.4	23124	48	26335.2
8	-13217	23124	54	26976.6
9	-12936.4	23124	60	26475.7
10	-12258.4	23124	66	25179.9
11	-12748.2	23124	72	26220
12	-12231.6	23124	78	25247.1
13	-11719.8	23124	84	24283.7
14	-11968	23124	90	24840.4
15	-12033.2	23124	96	25031.1
16	-11455.6	23124	102	23936.1
17	-11602.2	23124	108	24289.7
18	-11617.5	23124	114	24380.5
19	-11330.7	23124	120	23867.3
20	-11712.7	23124	126	24691.5
