SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.47	0	0	0	0	0	0.53	0	0	0	6	0.23	0.21	0.29
1	0.31	0	0	0.0023	0	0	0.69	0.0019	0	0	6	0.23	0.21	0.29
2	1	0	0	0	0	0	1.8e-05	0	0	0	0	0.15	0.13	0.23
3	0.11	0	0	0.041	0	0	0.85	0.0023	0	0	6	0.23	0.21	0.29
4	0.63	0	0	0.014	0	0	0.28	0.084	0	0	0	0.15	0.13	0.23
5	0.95	0	0	0	0	0	0.045	0.0017	0	0	0	0.15	0.13	0.23
6	0.8	0	0	7.4e-05	0	0	0.12	0.071	0	0	0	0.15	0.13	0.23
7	1	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.23
8	0.13	0	0	0.32	0	2.8e-05	0.12	0.43	0	0	7	0.38	0.29	0.29
9	0.83	0	0	0	0	0	0.17	3.5e-05	0	0	0	0.15	0.13	0.23
10	1	0	0	0	0	0	1.2e-05	0	0	0	0	0.15	0.13	0.23
11	0.94	0	0	3.1e-05	0	0	0.054	0.0053	0	0	0	0.15	0.13	0.23
12	1	0	0	0	0	0	3.7e-05	0	0	0	0	0.15	0.13	0.23
13	0.09	0	0	0.0022	0	0	0.16	0.75	0	0	7	0.38	0.29	0.29
14	0.97	0	0	0.00012	2.9e-05	0	0.0044	0	0.025	0	0	0.15	0.13	0.23
15	0.99	0	0	0	0	0	5.4e-06	0	0.014	0	0	0.15	0.13	0.23
16	0	0	0	0	1	0	0	0	0	0	4	0	0	0.077
17	0.84	0	0	0.0053	0	0	0.11	0.037	0	0	0	0.15	0.13	0.23
18	1	0	0	0	0	0	1.6e-05	0	0	0	0	0.15	0.13	0.23
19	0.11	0	0	0.28	0	0	0.24	0.37	0	0	7	0.38	0.29	0.29
20	0.5	0	0	0.016	0	0	0.42	0.064	0	0	0	0.15	0.13	0.23
21	0.87	0	0	1.7e-05	0	0	0.03	0.096	0	0	0	0.15	0.13	0.23
22	0.43	8.6e-06	3.6e-05	0.27	0	0.068	0.23	0.004	0	0	0	0.15	0.13	0.23
23	1	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.23
24	0	0	0	0	1	0	0	0	0	0	4	0	0	0.077
25	0.11	0	0	0.002	0	0	0.88	0.0066	0	0	6	0.23	0.21	0.29
26	1	0	0	0	0	0	3.1e-05	0	0	0	0	0.15	0.13	0.23
27	0	0	0	0	0	0	0	0	0	1	9	0.15	0.21	0
28	0.85	0	0	0.00084	0	0	0.15	0.00027	0	0	0	0.15	0.13	0.23
29	0.99	0	0	0	0	0	0.0034	0.004	0	0	0	0.15	0.13	0.23
30	0.89	0	0	0	0	0	0.11	2.3e-06	0	0	0	0.15	0.13	0.23
31	0	0	0	0	0	0	0	0	0	1	9	0.15	0.21	0
32	1	0	0	0	0	0	0.0013	0	0	0	0	0.15	0.13	0.23
33	0.35	0	0	0.0017	0	0	0.4	0.24	0	0	6	0.23	0.21	0.29
34	1	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.23
35	1	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.23
36	0.96	0	0	2.7e-05	0	0	0.021	0.015	0	0	0	0.15	0.13	0.23
