k	loglikelihood	observations	parameters	BIC
1	-10121.3	17709	6	20301.4
2	-9226.61	17709	9	18541.3
3	-9069.89	17709	12	18257.2
4	-8256.38	17709	15	16659.5
5	-8200.43	17709	18	16576.9
6	-8300.93	17709	21	16807.3
7	-7966.23	17709	24	16167.2
8	-8109.4	17709	27	16482.9
9	-7956.74	17709	30	16206.9
10	-7635.56	17709	33	15593.9
11	-7483.72	17709	36	15319.6
12	-7669.21	17709	39	15719.9
13	-7755.77	17709	42	15922.4
14	-7505.99	17709	45	15452.2
15	-7625.86	17709	48	15721.2
16	-7464.47	17709	51	15427.8
17	-7502.34	17709	54	15532.9
18	-7570.46	17709	57	15698.5
19	-7491.64	17709	60	15570.2
20	-7491.85	17709	63	15600
