SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1	dcf2
0	6e-05	0.31	0	0	0	0	0	0.49	0	0	0	0.2	0	1.3e-05	0.00021	7	0.23	0.13	0.23
1	0.33	0.31	0	0	0	0.00031	0	0.22	0	0	0	0.088	0	0.0052	0.035	0	0.31	0.21	0.35
2	0	0	0	0	0	0	0	0.19	0	0	0	0.019	0.79	0	0	12	0.1	0.072	0.23
3	0.58	0.057	0	0	0	0.0012	0	0.33	0	0	0	0.025	0	0.00089	0.0098	0	0.31	0.21	0.35
4	0.13	0.065	0	0	0	0.0079	0	0.21	0	1e-06	0	0.42	0	0.093	0.075	11	0.15	0.21	0.23
5	0.0023	0.11	0	0	0	4.2e-06	0	0.066	0	0	0	0.76	0	0.022	0.048	11	0.15	0.21	0.23
6	0.038	0.049	0	0	0	0.00015	0	0.14	0	0	0	0.42	0	0.054	0.3	11	0.15	0.21	0.23
7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0.15	0.087	0.026
8	0.83	0.0023	0	0	0	0.069	0	0.013	0	2.4e-05	0	0.035	0	0.019	0.026	0	0.31	0.21	0.35
9	0.00018	0.13	0	0	0	0	0	0.32	0	0	0	0.55	0	0.00068	0.0005	11	0.15	0.21	0.23
10	0	0	0	0	0	0	0	0.91	0	0	0	0.042	0.043	0	0	7	0.23	0.13	0.23
11	0.0019	0.033	0	0	0	2.6e-06	0	0.71	0	0	0	0.22	0	0.027	0.0014	7	0.23	0.13	0.23
12	0	0	0	0	0	0	0	0.13	0	0	0	0.09	0.78	0	0	12	0.1	0.072	0.23
13	0.27	0.0072	0	0	0	0.0025	0	0.014	0	0	0	0.46	0	0.17	0.086	11	0.15	0.21	0.23
14	0.0027	0.0007	0.31	0	0	8.4e-06	0	0.46	0.00022	3.2e-05	0	0.22	0.0024	5.2e-06	2e-05	7	0.23	0.13	0.23
15	0	0	0.83	0	0	0	0	0.12	2.1e-05	0	0	0.058	2e-05	0	0	2	0.017	0	0.23
16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0.077
17	0.038	0.068	0	0	0	0.00066	0	0.48	0	4.9e-06	0	0.31	0	0.092	0.0077	7	0.23	0.13	0.23
18	0	0	0	0	0	0	0	0.13	0	0	0	0.22	0.66	0	0	12	0.1	0.072	0.23
19	0.92	0.0035	0	0	0	0.01	0	0.011	0	0	0	0.0013	0	0.0022	0.049	0	0.31	0.21	0.35
20	0.33	0.087	0	0	0	0.0071	0	0.16	0	0	0	0.25	0	0.051	0.11	0	0.31	0.21	0.35
21	0.003	0.022	0	0	0	9.8e-06	0	0.12	0	0	0	0.55	0	0.29	0.0093	11	0.15	0.21	0.23
22	0.34	0.011	0	9.8e-06	2.9e-06	0.022	0.00052	0.22	0	0.25	0	0.15	0.0093	0.0016	0.0049	0	0.31	0.21	0.35
23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0.15	0.087	0.026
24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0.077
25	0.52	0.0056	0	0	0	0.0019	0	0.00089	0	0	0	0.013	0	0.00018	0.46	0	0.31	0.21	0.35
26	0	0	0	0	0	0	0	0.61	0	0	0	0.31	0.08	0	0	7	0.23	0.13	0.23
27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0.15	0.087	0.026
28	0.0041	0.012	0	0	0	0	0	0.98	0	0	0	0.0048	0.00014	9.4e-05	8.1e-05	7	0.23	0.13	0.23
29	1.3e-06	0.0049	0	0	0	0	0	0.13	0	0	0	0.7	0	0.17	8.3e-05	11	0.15	0.21	0.23
