SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0.56	8.5e-05	0	0.011	0.43	0	0	0	0	0	0	0	0	0.23	0.21	0.29
1	0.71	0.0025	0	0.0018	0.28	0	0	0	0.0022	0	0	0	0	0.23	0.21	0.29
2	2.1e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
3	0.86	0.002	0	0.0004	0.098	0	0	0	0.038	0	0	0	0	0.23	0.21	0.29
4	0.32	0.011	0	0.0071	0.64	0	0	0.00017	0.015	0	0	0	4	0.15	0.13	0.23
5	0.051	0.00061	0	0.0025	0.95	0	0	0	0	0	0	0	4	0.15	0.13	0.23
6	0.15	0.002	0	4.4e-05	0.85	0	0	0	8e-05	0	0	0	4	0.15	0.13	0.23
7	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
8	0.23	0.01	0	0	0.21	0	0	0.0074	0.54	0	0	6.2e-05	8	0.31	0.21	0.41
9	0.15	0.0012	0	0.19	0.66	0	0	0	0	0	0	0	4	0.15	0.13	0.23
10	1.3e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
11	0.058	0.018	0	0.017	0.89	0	0	0.02	3e-05	0	0	0	4	0.15	0.13	0.23
12	4.2e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
13	0.62	0.036	0	2e-06	0.32	0	0	0.016	0.008	0	0	0	0	0.23	0.21	0.29
14	0.005	5.1e-06	3e-05	2.1e-05	0.96	0	0.0067	0	0.00012	0.025	0	0	4	0.15	0.13	0.23
15	6.2e-06	0	0	0	0.99	0	0.00072	0	0	0.014	0	0	4	0.15	0.13	0.23
16	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0.077
17	0.12	0.041	0	0.051	0.76	0	0	0.029	0.0049	0	0	0	4	0.15	0.13	0.23
18	1.9e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
19	0.4	0.0064	0	2.1e-06	0.16	0	0	0	0.43	0	0	0	8	0.31	0.21	0.41
20	0.47	0.0078	0	0.0014	0.5	0	0	1.4e-05	0.016	0	0	0	4	0.15	0.13	0.23
21	0.034	0.036	0	0.00092	0.9	0	0	0.031	1.8e-05	0	0	0	4	0.15	0.13	0.23
22	0.25	0.0013	0	0.00073	0.41	0.0005	0	5.7e-06	0.26	0	0	0.085	4	0.15	0.13	0.23
23	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
24	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0.077
25	0.9	1.2e-05	0	0	0.097	0	0	0	0.0018	0	0	0	0	0.23	0.21	0.29
26	3.5e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
27	0	0	0	0	0	0	0	0	0	0	1	0	10	0.1	0.087	0
28	0.16	0.0062	0	0.011	0.82	0	0	0	0.00084	0	0	0	4	0.15	0.13	0.23
29	0.0037	0.027	0	0.0069	0.94	0	0	0.023	0	0	0	0	4	0.15	0.13	0.23
30	0.12	9.5e-05	0	0.0018	0.87	0	0	0	0	0	0	0	4	0.15	0.13	0.23
31	0	0	0	0	0	0	0	0	0	0	1	0	10	0.1	0.087	0
32	0.0014	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
33	0.56	0.015	0	0.00093	0.43	0	0	0.00014	0.0021	0	0	0	0	0.23	0.21	0.29
34	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
35	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
36	0.011	0.07	0	0.47	0.45	0	0	0.0011	1.3e-05	0	0	0	3	0.31	0.21	0.17
37	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
38	0	0	0	0	1	0	0	0	0	0.0005	0	0	4	0.15	0.13	0.23
39	0.0035	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
40	1.3e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
41	0	0	0	0	0.99	0	0.00019	0	0	0.0081	0	0	4	0.15	0.13	0.23
42	0	0	0	0	0	0	0.2	0	0	0.8	0	0	9	0.017	0	0.23
43	0.42	0.023	0	0.011	0.35	2.8e-05	0	0.0029	0.19	0	0	0.0031	0	0.23	0.21	0.29
44	9.2e-06	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
45	0.08	0.037	0	0.4	0.48	0	0	0	0.00011	0	0	0	4	0.15	0.13	0.23
46	0	0	0	0	0	0	0	0	0	0	1	0	10	0.1	0.087	0
47	0.12	0.0078	0	0.0039	0.87	0	0	0	5.7e-05	0	0	0	4	0.15	0.13	0.23
48	0	0	1	0	0	0	0	0	0	0.0003	0	0	2	0	0	0.077
49	2.5e-05	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
50	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
51	0	0	0	0	1	0	0	0	0	0.0021	0	0	4	0.15	0.13	0.23
52	0.0072	2.4e-05	0	0.00086	0.99	0	0	0	4.5e-06	0	0	0	4	0.15	0.13	0.23
53	0.15	0.0066	0	0.081	0.76	0	0	0	0.00037	0	0	0	4	0.15	0.13	0.23
54	0	0	0	0	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
55	0	0	0	0	0	0	0	0	0	1	0	0	9	0.017	0	0.23
56	0.54	0.0015	0	1.5e-05	0.012	0	0	0.0052	0.44	0	0	0.00088	0	0.23	0.21	0.29
57	0.046	0.02	0	0.0059	0.9	0	0	0.025	0	0	0	0	4	0.15	0.13	0.23
58	0.085	7.9e-05	0	0.00013	0.91	0	0	0	0.0087	0	0	9.9e-05	4	0.15	0.13	0.23
59	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0.077
60	0.049	0.0037	0	0.034	0.91	0	0	0	5.4e-06	0	0	0	4	0.15	0.13	0.23
61	0	0	0.015	0	0	0	0.0006	0	0	0.98	0	0	9	0.017	0	0.23
62	0.0063	0.011	0	0.34	0.65	0	0	0	0	0	0	0	4	0.15	0.13	0.23
63	0.017	0.065	0	0.38	0.54	0	0	1e-06	0	0	0	0	4	0.15	0.13	0.23
64	0.43	1.7e-05	0	0	0.047	0	0	0	0.52	0	0	0.0025	8	0.31	0.21	0.41
65	0	0	0	0	0	0	0	0	0	0	1	0	10	0.1	0.087	0
66	2.7e-05	0.0011	0	0.14	0.86	0	0	0	0	0	0	0	4	0.15	0.13	0.23
67	0.96	2e-06	0	0	0.0028	0	0	0	0.033	0	0	0	0	0.23	0.21	0.29
68	0.0017	4e-05	0	0.0025	1	0	0	0	0	0	0	0	4	0.15	0.13	0.23
