SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	2.2e-05	0	0	0.15	0.13	0.23
1	0.99	0.0051	0	0	0.15	0.13	0.23
2	1	0	0	0	0.15	0.13	0.23
3	0.99	0.0062	0	0	0.15	0.13	0.23
4	0.88	0.12	0	0	0.15	0.13	0.23
5	0.99	0.0084	0	0	0.15	0.13	0.23
6	0.96	0.04	0	0	0.15	0.13	0.23
7	1	0	0	0	0.15	0.13	0.23
8	0.87	0.13	0	0	0.15	0.13	0.23
9	1	0.0012	0	0	0.15	0.13	0.23
10	1	0	0	0	0.15	0.13	0.23
11	0.97	0.031	0	0	0.15	0.13	0.23
12	1	0	0	0	0.15	0.13	0.23
13	0.63	0.37	0	0	0.15	0.13	0.23
14	1	0	0.00033	0	0.15	0.13	0.23
15	1	0	4.1e-05	0	0.15	0.13	0.23
16	0	0	1	2	0	0	0.1
17	0.9	0.1	0	0	0.15	0.13	0.23
18	1	0	0	0	0.15	0.13	0.23
19	0.92	0.083	0	0	0.15	0.13	0.23
20	0.94	0.064	0	0	0.15	0.13	0.23
21	0.8	0.2	0	0	0.15	0.13	0.23
22	1	0.0031	0	0	0.15	0.13	0.23
23	1	0	0	0	0.15	0.13	0.23
24	0	0	1	2	0	0	0.1
25	1	0.0012	0	0	0.15	0.13	0.23
26	1	0	0	0	0.15	0.13	0.23
27	1	0.00046	0	0	0.15	0.13	0.23
28	1	0.00067	0	0	0.15	0.13	0.23
29	0.85	0.15	0	0	0.15	0.13	0.23
30	1	1.3e-05	0	0	0.15	0.13	0.23
31	1	0	0	0	0.15	0.13	0.23
32	1	0	0	0	0.15	0.13	0.23
33	0.66	0.34	0	0	0.15	0.13	0.23
34	1	0	0	0	0.15	0.13	0.23
35	1	0	0	0	0.15	0.13	0.23
36	0.77	0.23	0	0	0.15	0.13	0.23
37	1	0	0	0	0.15	0.13	0.23
38	1	0	0	0	0.15	0.13	0.23
39	1	0	0	0	0.15	0.13	0.23
40	1	0	0	0	0.15	0.13	0.23
41	1	0	0	0	0.15	0.13	0.23
42	1.5e-05	0	1	2	0	0	0.1
43	0.81	0.19	0	0	0.15	0.13	0.23
44	1	0	0	0	0.15	0.13	0.23
45	0.98	0.018	0	0	0.15	0.13	0.23
46	1	0	0	0	0.15	0.13	0.23
47	0.98	0.021	0	0	0.15	0.13	0.23
48	0	0	1	2	0	0	0.1
49	1	0	0	0	0.15	0.13	0.23
50	1	0	0	0	0.15	0.13	0.23
51	1	0	0	0	0.15	0.13	0.23
52	1	6e-06	0	0	0.15	0.13	0.23
53	0.99	0.0069	0	0	0.15	0.13	0.23
54	1	0	0	0	0.15	0.13	0.23
55	1	0	0	0	0.15	0.13	0.23
56	0.6	0.4	0	0	0.15	0.13	0.23
57	0.89	0.11	0	0	0.15	0.13	0.23
58	1	2.3e-05	0	0	0.15	0.13	0.23
59	0	0	1	2	0	0	0.1
60	1	0.00043	0	0	0.15	0.13	0.23
61	0	0	1	2	0	0	0.1
62	0.99	0.0054	0	0	0.15	0.13	0.23
63	0.95	0.046	0	0	0.15	0.13	0.23
64	1	7.3e-05	0	0	0.15	0.13	0.23
65	1	0	0	0	0.15	0.13	0.23
66	1	2.4e-06	0	0	0.15	0.13	0.23
67	1	4.4e-06	0	0	0.15	0.13	0.23
68	1	0	0	0	0.15	0.13	0.23
69	1	3e-05	0	0	0.15	0.13	0.23
70	1	5.8e-05	0	0	0.15	0.13	0.23
71	1	0	0	0	0.15	0.13	0.23
72	0.99	0.015	0	0	0.15	0.13	0.23
73	0.97	0.029	0	0	0.15	0.13	0.23
74	1	0	0	0	0.15	0.13	0.23
75	1	0	0	0	0.15	0.13	0.23
76	1	0.0003	0	0	0.15	0.13	0.23
77	0.99	0.0098	0	0	0.15	0.13	0.23
78	1	1.7e-05	0	0	0.15	0.13	0.23
79	1	0	0	0	0.15	0.13	0.23
80	1	4.8e-06	0	0	0.15	0.13	0.23
81	1	0.00061	0	0	0.15	0.13	0.23
82	1	0.00014	0	0	0.15	0.13	0.23
83	1	0.00052	0	0	0.15	0.13	0.23
84	0.99	0.0068	0	0	0.15	0.13	0.23
85	0.99	0.006	0	0	0.15	0.13	0.23
86	1	0	0	0	0.15	0.13	0.23
87	1	1.5e-06	0	0	0.15	0.13	0.23
88	0.98	0.021	0	0	0.15	0.13	0.23
89	1	6e-05	0	0	0.15	0.13	0.23
90	0.67	0.33	0	0	0.15	0.13	0.23
91	0.88	0.12	0	0	0.15	0.13	0.23
92	1	0.00014	0	0	0.15	0.13	0.23
93	1	9.7e-06	0	0	0.15	0.13	0.23
94	0	0	1	2	0	0	0.1
95	0.99	0.0059	0	0	0.15	0.13	0.23
96	1	0.00011	0	0	0.15	0.13	0.23
97	1	0.0033	0	0	0.15	0.13	0.23
98	1	0.0025	0	0	0.15	0.13	0.23
99	0.96	0.037	0	0	0.15	0.13	0.23
100	1	0.0039	0	0	0.15	0.13	0.23
101	1	0.0019	0	0	0.15	0.13	0.23
102	0.99	0.0052	0	0	0.15	0.13	0.23
103	1	5.3e-05	0	0	0.15	0.13	0.23
104	1	0.0017	0	0	0.15	0.13	0.23
105	1	6.7e-06	0	0	0.15	0.13	0.23
106	0.98	0.018	0	0	0.15	0.13	0.23
107	1	1.5e-06	0	0	0.15	0.13	0.23
108	1	0.0026	0	0	0.15	0.13	0.23
109	0.99	0.0082	0	0	0.15	0.13	0.23
110	0.99	0.0071	0	0	0.15	0.13	0.23
111	0.78	0.22	0	0	0.15	0.13	0.23
112	1	0	0	0	0.15	0.13	0.23
113	1	0	0	0	0.15	0.13	0.23
114	1	0.00079	0	0	0.15	0.13	0.23
115	1	0.00098	0	0	0.15	0.13	0.23
116	0.99	0.0071	0	0	0.15	0.13	0.23
117	0.96	0.042	0	0	0.15	0.13	0.23
118	1	0	0	0	0.15	0.13	0.23
119	1	0	0	0	0.15	0.13	0.23
120	1	6.5e-06	0	0	0.15	0.13	0.23
121	1	0	0	0	0.15	0.13	0.23
122	0.94	0.056	0	0	0.15	0.13	0.23
123	1	0	0	0	0.15	0.13	0.23
124	1	0	0	0	0.15	0.13	0.23
125	0.96	0.04	0	0	0.15	0.13	0.23
126	1	0.0025	0	0	0.15	0.13	0.23
127	1	0.0011	0	0	0.15	0.13	0.23
128	0.97	0.029	0	0	0.15	0.13	0.23
129	0.99	0.012	0	0	0.15	0.13	0.23
130	1	3.2e-05	0	0	0.15	0.13	0.23
131	1	0.0017	0	0	0.15	0.13	0.23
132	1	0	0	0	0.15	0.13	0.23
133	0.9	0.097	0	0	0.15	0.13	0.23
134	0.99	0.0076	0	0	0.15	0.13	0.23
135	1	1.8e-06	0	0	0.15	0.13	0.23
136	1	0.0031	0	0	0.15	0.13	0.23
137	1	1.8e-06	0	0	0.15	0.13	0.23
138	1	0	0	0	0.15	0.13	0.23
139	0.9	0.095	0	0	0.15	0.13	0.23
140	1	0	0	0	0.15	0.13	0.23
141	0	0	1	2	0	0	0.1
142	0.97	0.026	0	0	0.15	0.13	0.23
143	0.91	0.091	0	0	0.15	0.13	0.23
144	0	0	1	2	0	0	0.1
145	1	3.4e-05	0	0	0.15	0.13	0.23
146	1	0.002	0	0	0.15	0.13	0.23
147	0	0	1	2	0	0	0.1
148	1	0	0	0	0.15	0.13	0.23
149	1	0	0	0	0.15	0.13	0.23
150	0.98	0.025	0	0	0.15	0.13	0.23
151	1	0.00053	0	0	0.15	0.13	0.23
152	1	0.0025	0	0	0.15	0.13	0.23
153	1	7.5e-05	0	0	0.15	0.13	0.23
154	1	4.4e-06	0	0	0.15	0.13	0.23
155	0.99	0.01	0	0	0.15	0.13	0.23
156	1	2.1e-06	0	0	0.15	0.13	0.23
157	1	0.00068	0	0	0.15	0.13	0.23
158	0.96	0.042	0	0	0.15	0.13	0.23
159	1	7.3e-05	0	0	0.15	0.13	0.23
160	0.98	0.015	0	0	0.15	0.13	0.23
161	1	0.00085	0	0	0.15	0.13	0.23
162	1	0.0014	0	0	0.15	0.13	0.23
163	1	0	0	0	0.15	0.13	0.23
164	0.49	0.51	0	1	0.38	0.29	0.23
165	3.1e-06	0	1	2	0	0	0.1
166	1	0	0	0	0.15	0.13	0.23
167	0.94	0.059	0	0	0.15	0.13	0.23
168	0.16	0.84	0	1	0.38	0.29	0.23
169	0.3	0.7	0	1	0.38	0.29	0.23
170	1	0	0	0	0.15	0.13	0.23
171	1	0	0	0	0.15	0.13	0.23
172	1	0	0	0	0.15	0.13	0.23
173	0	0	1	2	0	0	0.1
174	0.0052	0.99	0	1	0.38	0.29	0.23
175	1	0	0	0	0.15	0.13	0.23
176	1	0.0043	0	0	0.15	0.13	0.23
177	1	0	0	0	0.15	0.13	0.23
178	0	0	1	2	0	0	0.1
179	1	0.0029	0	0	0.15	0.13	0.23
180	1	2.9e-06	0	0	0.15	0.13	0.23
181	1	0	0	0	0.15	0.13	0.23
182	1	0.00036	0	0	0.15	0.13	0.23
183	1	0	0	0	0.15	0.13	0.23
184	1	0	0	0	0.15	0.13	0.23
185	0.08	0.92	0	1	0.38	0.29	0.23
186	1	0.00074	0	0	0.15	0.13	0.23
187	0.0026	1	0	1	0.38	0.29	0.23
188	1	0.0039	0	0	0.15	0.13	0.23
189	0.95	0.053	0	0	0.15	0.13	0.23
190	0.79	0.21	0	0	0.15	0.13	0.23
191	0.86	0.14	0	0	0.15	0.13	0.23
192	1	0.0031	0	0	0.15	0.13	0.23
193	0.99	0.0079	0	0	0.15	0.13	0.23
194	0.98	0.02	0	0	0.15	0.13	0.23
195	0	0	1	2	0	0	0.1
196	1	0.00026	0	0	0.15	0.13	0.23
197	0.17	0.83	0	1	0.38	0.29	0.23
198	1	0	0	0	0.15	0.13	0.23
199	1	0.0033	0	0	0.15	0.13	0.23
200	0.94	0.059	0	0	0.15	0.13	0.23
201	0	0	1	2	0	0	0.1
202	1	0	0	0	0.15	0.13	0.23
203	1	0.00083	0	0	0.15	0.13	0.23
204	0	0	1	2	0	0	0.1
205	0.98	0.025	0	0	0.15	0.13	0.23
206	0.67	0.33	0	0	0.15	0.13	0.23
207	1	8.5e-05	0	0	0.15	0.13	0.23
208	0.99	0.013	0	0	0.15	0.13	0.23
209	0.98	0.025	0	0	0.15	0.13	0.23
210	0.99	0.01	0	0	0.15	0.13	0.23
211	1	0.0026	0	0	0.15	0.13	0.23
212	1	0	0	0	0.15	0.13	0.23
213	0.94	0.056	0	0	0.15	0.13	0.23
214	1	0	0	0	0.15	0.13	0.23
215	0.98	0.017	0	0	0.15	0.13	0.23
216	1	0.00022	0	0	0.15	0.13	0.23
217	0.97	0.027	0	0	0.15	0.13	0.23
218	1	0.0031	0	0	0.15	0.13	0.23
219	1	0	0	0	0.15	0.13	0.23
220	2.3e-05	1	0	1	0.38	0.29	0.23
221	0.92	0.084	0	0	0.15	0.13	0.23
222	0.82	0.18	0	0	0.15	0.13	0.23
