SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0.27	0.19	0.27	0.0035	0	0	0.27	0	4	0.26	0.69	0.66	0.45
1	0.006	0	0.32	0.002	0.32	0.041	0	0.0018	0.32	0	4	0.26	0.69	0.66	0.45
2	0.0019	0	0.31	0.051	0.31	0.0058	0	0.00082	0.31	0	4	0.26	0.69	0.66	0.45
3	0.0096	0	0.33	0	0.33	4.3e-05	0	0.0019	0.33	0	4	0.26	0.69	0.66	0.45
4	0	0	0.024	0.93	0.024	7.6e-05	0	0	0.024	0	3	0.14	0.69	0.66	0.45
5	1.8e-05	0	0.32	0.032	0.32	0.011	0	5.3e-06	0.32	0	4	0.26	0.69	0.66	0.45
6	0.00052	0	0.33	0.00051	0.33	0.0011	0	4.6e-06	0.33	0	4	0.26	0.69	0.66	0.45
7	0.00024	0	0.28	0	0.28	0.00033	0	0.17	0.28	0	4	0.26	0.69	0.66	0.45
8	0	0	0	0	0	0	1	0	0	0	6	0.029	0.034	0.19	0
9	0.053	0	0.21	0	0.21	0.32	0	0.0019	0.21	0	5	0.26	0.86	0.66	0.45
10	0.062	0	0.26	0	0.26	0.14	0	0.0079	0.26	0	4	0.26	0.69	0.66	0.45
11	6.8e-06	0	0.33	0	0.33	0	0	0	0.33	0	4	0.26	0.69	0.66	0.45
12	0	0	0	0	0	0	1	0	0	0	6	0.029	0.034	0.19	0
13	0	0	0.33	0	0.33	0	0	0	0.33	0	4	0.26	0.69	0.66	0.45
14	0	0	0	0	0	0	0	0	0	1	9	0.058	0.17	0	0
15	0	0	0	1.4e-05	0	0	0	0	0	1	9	0.058	0.17	0	0
16	0.0042	0	0.33	0	0.33	0.011	0	0.0058	0.33	0	4	0.26	0.69	0.66	0.45
17	0	0	0	0	0	0	1	0	0	0	6	0.029	0.034	0.19	0
18	4.8e-05	0	0.33	0	0.33	0.0011	0	0	0.33	0	4	0.26	0.69	0.66	0.45
19	0.0036	0	0.33	0.014	0.33	0.0015	0	0.0017	0.33	0	4	0.26	0.69	0.66	0.45
20	0.011	0	0.29	0.014	0.29	0.093	0	0.01	0.29	0	4	0.26	0.69	0.66	0.45
21	0.047	0	0.28	0	0.28	0.091	0	0.017	0.28	0	4	0.26	0.69	0.66	0.45
22	0.013	0	0.31	2.8e-06	0.31	0.0015	0	0.057	0.31	0	4	0.26	0.69	0.66	0.45
23	0.012	0	0.33	0.0064	0.33	0.0021	0	0.0016	0.33	0	4	0.26	0.69	0.66	0.45
24	0.008	0	0.11	0	0.11	0.081	0	0.59	0.11	0	7	0.37	0.76	0.74	0.45
25	0	0	0.028	0.92	0.028	0	0	0	0.028	0	3	0.14	0.69	0.66	0.45
26	0	0	0.33	0	0.33	0.00044	0	0	0.33	0	4	0.26	0.69	0.66	0.45
27	0	0	0	0	0	1	0	8.8e-06	0	0	5	0.26	0.86	0.66	0.45
28	0	1	0	0	0	0	0	0	0	0	1	0.029	0.069	0.038	0.1
29	0.0022	0	0.00096	0	0.00096	0.0018	0	0.99	0.00096	0	7	0.37	0.76	0.74	0.45
30	0.043	0	0.034	8.6e-06	0.034	0.03	0	0.82	0.034	0	7	0.37	0.76	0.74	0.45
31	0.00015	0	0.019	0	0.019	1e-05	0	0.94	0.019	0	7	0.37	0.76	0.74	0.45
32	0	0	0	0	0	0	0	1	0	0	7	0.37	0.76	0.74	0.45
33	0.0024	0	0.32	0.031	0.32	0.0048	0	0.00073	0.32	0	4	0.26	0.69	0.66	0.45
34	7e-05	0	0	0	0	3.5e-06	0	1	0	0	7	0.37	0.76	0.74	0.45
35	0.046	0	0.31	0	0.31	0.0013	0	0.0082	0.31	0	4	0.26	0.69	0.66	0.45
36	0	0	0.33	0	0.33	0	0	0	0.33	0	4	0.26	0.69	0.66	0.45
37	0.06	0	0.031	3e-06	0.031	0.021	0	0.83	0.031	0	7	0.37	0.76	0.74	0.45
38	0.0027	0	0.31	0	0.31	0.062	0	9.8e-05	0.31	0	4	0.26	0.69	0.66	0.45
39	0.00021	0	0.33	0.00011	0.33	0.00015	0	8.2e-06	0.33	0	4	0.26	0.69	0.66	0.45
40	0.011	0	0.0055	0	0.0055	1.4e-05	0	0.97	0.0055	0	7	0.37	0.76	0.74	0.45
41	0.0011	0	0.33	0	0.33	0.0051	0	2e-05	0.33	0	4	0.26	0.69	0.66	0.45
42	0.0014	0	0.3	0.00033	0.3	1.2e-05	0	0.1	0.3	0	4	0.26	0.69	0.66	0.45
43	0.0075	0	0.24	0	0.24	0.24	0	0.044	0.24	0	5	0.26	0.86	0.66	0.45
44	0.00015	0	0.0024	0	0.0024	0	0	0.99	0.0024	0	7	0.37	0.76	0.74	0.45
45	0.0061	0	0.28	1.5e-05	0.28	0.17	0	0.00082	0.28	0	4	0.26	0.69	0.66	0.45
