k	loglikelihood	observations	parameters	BIC
1	-52405	26596	8	104891
2	-18933.7	26596	12	37989.7
3	-17814.3	26596	16	35791.6
4	-17068.7	26596	20	34341.2
5	-16445.7	26596	24	33135.9
6	-16368.2	26596	28	33021.6
7	-15883.6	26596	32	32093.1
8	-15862	26596	36	32090.9
9	-15442.6	26596	40	31292.7
10	-16105.5	26596	44	32659.2
11	-14793.4	26596	48	30075.8
12	-15428.9	26596	52	31387.6
13	-15787.9	26596	56	32146.4
14	-15145.3	26596	60	30901.8
15	-15414.9	26596	64	31481.9
16	-14814.3	26596	68	30321.4
17	-14770.3	26596	72	30274.2
18	-14931.4	26596	76	30637.1
19	-14813.9	26596	80	30442.8
20	-14753.8	26596	84	30363.5
