SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.83	0.14	0.021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
1	0.81	0.14	0.053	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
2	0.85	0.15	0.00038	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
3	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
4	0.85	0.15	0.0051	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
5	0.85	0.15	0.0031	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
6	0.83	0.14	0.021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
7	0.85	0.15	1e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
8	0.85	0.15	0.00036	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
9	0.64	0.11	0.25	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
10	0.85	0.15	0.0053	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
11	0.81	0.14	0.047	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
12	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
13	0.84	0.15	0.018	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
14	0.82	0.14	0.038	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
15	0.85	0.15	0.0019	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
16	0.85	0.15	0.00082	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
17	0.85	0.15	0.00052	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
18	0.85	0.15	0.0014	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
19	0.81	0.14	0.05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
20	0.85	0.15	4.5e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
21	0.85	0.15	0.00091	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
22	0.85	0.15	0.00032	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
23	0.78	0.14	0.085	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
24	0.85	0.15	0.0013	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
25	0.69	0.12	0.19	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
26	0.59	0.1	0.3	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
27	0.85	0.15	3.3e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
28	0.85	0.15	0.00049	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
29	0.83	0.14	0.021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
30	0.85	0.15	0.00028	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
31	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
32	0.85	0.15	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
33	0.85	0.15	0.0031	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
34	0.79	0.14	0.068	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
35	0.85	0.15	1.9e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
36	0.85	0.15	3.3e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
37	0.85	0.15	7.9e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
38	0.85	0.15	0.00025	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
39	0.85	0.15	0.0042	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
40	0.85	0.15	1.7e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
41	0.85	0.15	9.5e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
42	0.85	0.15	9.9e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
43	0.85	0.15	5.1e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
44	0	0	0	0	0	0	0	1	7	0.21	0.56	0.4	0.2	0.17
45	0.85	0.15	0.00044	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
46	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
47	0.81	0.14	0.045	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
48	0.83	0.14	0.025	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
49	0.84	0.15	0.011	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
50	0.85	0.15	0.00097	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
51	0.82	0.14	0.033	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
52	0.85	0.15	0.0039	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
53	0.85	0.15	1.4e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
54	0.85	0.15	0.00072	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
55	0.85	0.15	0.00052	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
56	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
57	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
58	0.85	0.15	0.00021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
59	0.85	0.15	0.0054	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
60	0.85	0.15	0.00099	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
61	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
62	0.83	0.14	0.03	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
63	0	0	0	0	0	0	0	1	7	0.21	0.56	0.4	0.2	0.17
64	0.85	0.15	0.0085	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
65	0.85	0.15	1.5e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
66	0.77	0.13	0.093	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
67	0.16	0.027	0.82	0	0	0	0	0	2	0.62	0.76	0.45	0.44	0.51
68	0.85	0.15	0.0085	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
69	0.85	0.15	5.4e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
70	0.85	0.15	0.00054	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
71	0.85	0.15	0.0064	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
72	0	0	0	0	0	0	1	0	6	0.21	0	0	0	0
73	0.85	0.15	0.0029	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
74	0.85	0.15	0.0085	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
75	0.84	0.15	0.0087	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
76	0.85	0.15	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
77	0	0	0	0	2.3e-05	0	0	1	7	0.21	0.56	0.4	0.2	0.17
78	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
79	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
80	0.85	0.15	0.0071	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
81	0	0	0	0	0	1	0	0	5	0.084	0	0.1	0	0
82	0.85	0.15	0.0075	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
83	0.84	0.15	0.017	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
84	0.85	0.15	6.1e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
85	0.85	0.15	0.0011	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
86	0.85	0.15	0.00098	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
87	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
88	0.85	0.15	0.0002	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
89	0.85	0.15	0.0016	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
90	0.85	0.15	5.6e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
91	0.85	0.15	0.00098	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
92	0.83	0.14	0.026	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
93	0.85	0.15	0.00041	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
94	0.85	0.15	0.0023	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
95	0.85	0.15	0.0076	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
96	0	0	0	0	0	0	0	1	7	0.21	0.56	0.4	0.2	0.17
97	0.84	0.15	0.0098	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
98	0.85	0.15	0.00066	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
99	0.85	0.15	6e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
100	0.45	0.078	0.47	0	0	0	0	0	2	0.62	0.76	0.45	0.44	0.51
101	0.53	0.092	0.38	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
102	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
103	0.85	0.15	0.00023	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
104	0.85	0.15	0.0032	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
105	0	0	0	0	0	0	1	0	6	0.21	0	0	0	0
106	0.23	0.04	0.73	0	0	0	0	0	2	0.62	0.76	0.45	0.44	0.51
107	0.85	0.15	0.00086	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
108	0.75	0.13	0.12	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
109	0	0	0	0	0	0	1	0	6	0.21	0	0	0	0
110	0.85	0.15	0.0041	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
111	0.85	0.15	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
112	0.85	0.15	0.0066	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
113	0.85	0.15	0.00057	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
114	0.83	0.14	0.023	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
115	0.79	0.14	0.073	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
116	0.84	0.15	0.0093	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
117	0	0	0	0	0	0	0	1	7	0.21	0.56	0.4	0.2	0.17
118	0.85	0.15	0.00027	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
119	0.85	0.15	4.6e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
120	0.84	0.15	0.011	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
121	0	0	0	0	0	0	1	0	6	0.21	0	0	0	0
122	0.85	0.15	2.2e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
123	0.85	0.15	0.0054	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
124	0.85	0.15	0.00017	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
125	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
126	0.78	0.13	0.09	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
127	0	0	0	0	1	0	0	0	4	0.042	0.049	0.05	0.049	0.054
128	0.82	0.14	0.034	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
129	0.85	0.15	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
130	0	0	0	0	0	0	1	0	6	0.21	0	0	0	0
131	0.85	0.15	0.00092	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
132	0.84	0.15	0.017	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
133	0.85	0.15	0.0065	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
134	0.85	0.15	0.00072	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
135	0.84	0.15	0.0091	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
136	0.85	0.15	0.00032	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
137	0.85	0.15	2.7e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
138	0.85	0.15	0.0057	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
139	0.65	0.11	0.24	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
140	0.78	0.14	0.082	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
141	0.85	0.15	1.5e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
142	0.8	0.14	0.065	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
143	0.85	0.15	1.1e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
144	0.74	0.13	0.13	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
145	0	0	0	1	0	0	0	0	3	0	0	0	0.098	0.054
146	0.85	0.15	3.9e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
147	0.85	0.15	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
