SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.27	0.0091	0.03	0	0.14	2.6e-06	0	0.27	0.005	0	0	0.14	0	0.0052	0	0	0.0004	0	0.14	0.0012	7	0.62	0.56	0.45	0.44	0.51
1	0.26	0.023	0.03	0	0.13	1.4e-06	0	0.26	1.2e-05	0	0	0.14	0	0.015	0	0	0.0029	0	0.13	0.0026	7	0.62	0.56	0.45	0.44	0.51
2	0.27	0.00016	0.031	0	0.14	1.5e-06	0	0.27	0	0	0	0.14	0	2.4e-05	0	0	0.00016	0	0.14	7.4e-05	7	0.62	0.56	0.45	0.44	0.51
3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0.098	0.054
4	0.27	0.0022	0.031	0	0.14	3.1e-06	0	0.27	0.00016	0	0	0.14	0	0.00049	0	0	0.00025	0	0.14	0.00061	7	0.62	0.56	0.45	0.44	0.51
5	0.27	0.0013	0.031	0	0.14	1.6e-06	0	0.27	1.3e-06	0	0	0.14	0	0.00038	0	0	0.0015	0	0.14	0.00033	7	0.62	0.56	0.45	0.44	0.51
6	0.24	0.0077	0.026	0	0.12	0	0	0.24	1.4e-06	0	0	0.12	0	0.0033	0	0	0.13	0	0.12	0.0012	7	0.62	0.56	0.45	0.44	0.51
7	0.27	4.4e-06	0.031	0	0.14	0	0	0.27	0	0	0	0.14	0	0	0	0	1.2e-06	0	0.14	6.3e-06	7	0.62	0.56	0.45	0.44	0.51
8	0.27	0.00015	0.031	0	0.14	1.9e-06	0	0.27	0	0	0	0.14	0	1.5e-05	0	0	0.001	0	0.14	9e-05	7	0.62	0.56	0.45	0.44	0.51
9	0.2	0.1	0.022	0	0.1	2.2e-06	0	0.2	0.01	0	0	0.1	0	0.13	0	0	0.038	0	0.1	0.0067	7	0.62	0.56	0.45	0.44	0.51
10	0.25	0.0021	0.028	0	0.13	0	0	0.25	0	0	0	0.13	0	0.00068	0	0	0.083	0	0.13	0.00045	7	0.62	0.56	0.45	0.44	0.51
11	0.25	0.019	0.028	0	0.13	6.8e-06	0	0.25	0.043	0	0	0.13	0	0.013	0	0	0.013	0	0.13	0.0022	7	0.62	0.56	0.45	0.44	0.51
12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.13	0.049	0.05	0.049	0.11
13	0.23	0.0065	0.026	0	0.12	2.3e-06	0	0.23	0	0	0	0.12	0	0.0019	0	0	0.16	0	0.12	0.0014	7	0.62	0.56	0.45	0.44	0.51
14	0.27	0.016	0.03	0	0.14	1.1e-06	0	0.27	0.00012	0	0	0.14	0	0.01	0	0	0.0011	0	0.14	0.002	7	0.62	0.56	0.45	0.44	0.51
15	0.27	0.00079	0.031	0	0.14	3.1e-06	0	0.27	0.00013	0	0	0.14	0	0.00019	0	0	0.0037	0	0.14	0.00023	7	0.62	0.56	0.45	0.44	0.51
16	0.27	0.00035	0.031	0	0.14	3.9e-06	0	0.27	0	0	0	0.14	0	6.4e-05	0	0	1.3e-06	0	0.14	0.00013	7	0.62	0.56	0.45	0.44	0.51
17	0.27	0.00022	0.031	0	0.14	0	0	0.27	0	0	0	0.14	0	4.1e-05	0	0	5.2e-05	0	0.14	8.5e-05	7	0.62	0.56	0.45	0.44	0.51
18	0.27	0.0006	0.03	0	0.14	1.1e-06	0	0.27	3e-06	0	0	0.14	0	0.00018	0	0	0.013	0	0.14	0.00015	7	0.62	0.56	0.45	0.44	0.51
