k	loglikelihood	observations	parameters	BIC
1	-15534.9	8835	10	31160.7
2	-6256.56	8835	15	12649.4
3	-5887.78	8835	20	11957.3
4	-5547.17	8835	25	11321.5
5	-5725.34	8835	30	11723.3
6	-5660.81	8835	35	11639.6
7	-5476.98	8835	40	11317.4
8	-5316.83	8835	45	11042.5
9	-5492.34	8835	50	11439
10	-5242.82	8835	55	10985.4
11	-5109.69	8835	60	10764.6
12	-5109.69	8835	65	10810
13	-5077.53	8835	70	10791.1
14	-5109.69	8835	75	10900.9
15	-5115.96	8835	80	10958.8
16	-5109.42	8835	85	10991.2
17	-5109.42	8835	90	11036.6
18	-5109.44	8835	95	11082.1
19	-5109.44	8835	100	11127.5
20	-5109.44	8835	105	11173
