SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
1	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
2	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
3	0	1	0	0	1	0.042	0	0.05	0.049	0.054
4	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
5	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
6	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
7	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
8	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
9	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
10	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
11	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
12	0	0	1	0	2	0.17	0.049	0.05	0.049	0.054
13	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
14	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
15	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
16	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
17	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
18	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
19	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
20	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
21	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
22	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
23	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
24	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
25	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
26	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
27	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
28	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
29	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
30	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
31	0	1	0	0	1	0.042	0	0.05	0.049	0.054
32	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
33	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
34	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
35	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
36	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
37	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
38	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
39	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
40	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
41	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
42	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
43	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
44	0	0	0	1	3	0.069	0.56	0.45	0.24	0.11
45	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
46	0	0	1	0	2	0.17	0.049	0.05	0.049	0.054
47	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
48	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
49	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
50	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
51	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
52	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
53	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
54	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
55	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
56	0	1	0	0	1	0.042	0	0.05	0.049	0.054
57	0	1	0	0	1	0.042	0	0.05	0.049	0.054
58	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
59	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
60	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
61	0	1	0	0	1	0.042	0	0.05	0.049	0.054
62	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
63	0	0	0	1	3	0.069	0.56	0.45	0.24	0.11
64	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
65	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
66	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
67	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
68	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
69	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
70	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
71	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
72	0	0	1	0	2	0.17	0.049	0.05	0.049	0.054
73	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
74	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
75	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
76	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
77	0	0	1	0	2	0.17	0.049	0.05	0.049	0.054
78	0	1	0	0	1	0.042	0	0.05	0.049	0.054
79	0	1	0	0	1	0.042	0	0.05	0.049	0.054
80	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
81	0	1	0	0	1	0.042	0	0.05	0.049	0.054
82	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
83	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
84	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
85	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
86	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
87	0	0	1	0	2	0.17	0.049	0.05	0.049	0.054
88	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
89	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
90	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
91	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
92	1	0	0	0	0	0.62	0.56	0.45	0.44	0.51
