SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.97	0	0.005	0.021	0	0.00041	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
1	0.94	0	1.2e-05	0.052	0	0.0029	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
2	1	0	0	0.00038	0	0.00016	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
3	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0.098	0.054
4	0.99	0	0.00016	0.0051	0	0.00025	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
5	1	0	1.3e-06	0.0031	0	0.0015	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
6	0.85	0	1.4e-06	0.018	0	0.13	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
7	1	0	0	1e-05	0	1.3e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
8	1	0	0	0.00035	0	0.001	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
9	0.71	0	0.01	0.24	0	0.039	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
10	0.91	0	0	0.0048	0	0.085	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
11	0.9	0	0.042	0.045	0	0.013	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
12	0	0	0	0	0	0	0	0	0	1	0	9	0.13	0.049	0.05	0.049	0.11
13	0.82	0	0	0.015	0	0.16	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
14	0.96	0	0.00012	0.038	0	0.0011	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
15	0.99	0	0.00013	0.0018	0	0.0038	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
16	1	0	0	0.00082	0	1.3e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
17	1	0	0	0.00052	0	5.3e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
18	0.99	0	3e-06	0.0014	0	0.014	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
19	0.94	0	2.8e-05	0.05	0	0.009	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
20	1	0	0	4.5e-05	0	8.8e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
21	1	0	0	0.0009	0	0.0013	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
22	1	0	0	0.00031	0	0.0029	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
23	0.9	0	0.016	0.083	0	0.0021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
24	1	0	0	0.0013	0	0.00015	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
25	0.81	0	0.00072	0.19	0	0.00079	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
26	0.7	0	3.1e-05	0.3	0	0.0043	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
27	1	0	0	3.3e-05	0	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
28	1	0	0	0.00049	0	0.00039	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
29	0.98	0	8.3e-06	0.02	0	0.0015	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
30	1	0	0	0.00028	0	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
31	0	0	0	0	1	0	0	0	0	0	0	4	0.042	0	0.1	0.049	0.054
32	1	0	0	0	0	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
33	0.99	0	2.7e-05	0.0031	0	0.0029	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
34	0.93	0	0	0.067	0	0.00078	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
35	1	0	0	1.9e-05	0	6.5e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
36	1	0	0	3.3e-05	0	5e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
37	1	0	1.1e-06	7.9e-05	0	1.8e-06	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
38	0.99	0	0	0.00025	0	0.0065	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
39	1	0	0	0.0042	0	0.00049	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
40	1	0	0	1.7e-05	0	0.0037	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
41	1	0	0	9.5e-06	0	0	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
42	1	0	0	9.8e-05	0	0.0012	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
43	1	0	0	5.1e-05	0	8.3e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
44	0	0	0	0	0	0	0	1	0	0	0	7	0.069	0.56	0.45	0.29	0.11
45	1	0	0	0.00044	0	0.002	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
46	0	0	0	0	0	0	1	0	0	0	0	6	0	0.44	0	0	0
47	0.95	0	0.0001	0.045	0	0.0002	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
48	0.97	0	0.00014	0.025	0	0.0023	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
49	0.99	0	0	0.011	0	0.0021	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
50	0.84	0	0	0.00081	0	0.16	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
51	0.97	0	6.4e-06	0.033	0	0.0012	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
52	1	0	0	0.0039	0	1.5e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
53	1	0	0	1.4e-05	0	1e-05	0	0	0	0	0	0	0.62	0.56	0.45	0.44	0.51
