SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0	0	0	0	0	0	1.3e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
1	0	0	0	0	0	1	0	0	0	8.8e-06	5	0.57	0.46	0.054	0	0	0
2	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
3	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
4	7.4e-05	0.037	0	0	0	0	0	0.96	0	0	7	0	0.034	0.054	0	0	0
5	0.0018	0.052	1.9e-05	0	0	0	0	0.95	0	0	7	0	0.034	0.054	0	0	0
6	0	0	0	0	0	0	9.3e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
7	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
8	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
10	0	0	0	0	0	0	0.059	0	0.94	0	8	0.73	0.69	0.49	0.56	0.58	0.66
11	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
12	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
13	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
14	0	0	1	3.9e-05	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
15	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
16	0.00063	0.093	0	0	0	0	0	0.91	0	0	7	0	0.034	0.054	0	0	0
17	0	0	0	0	0	0	0.0029	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
18	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
19	0	0	0	0	0	0	2.9e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
20	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
21	0	0	0	0	0	0	0.095	0	0.91	0	8	0.73	0.69	0.49	0.56	0.58	0.66
22	0	0	0	0	0	0	0.0063	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
23	0	0	0	0	0	0	0.00029	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
24	0	0	0	0	0	0	1.6e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
25	0	0	0	0	0	0	0.59	0	0.41	0	6	0.73	0.69	0.49	0.67	0.58	0.66
26	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
27	0	0	0	0	0	0	2.4e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
28	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
29	0	0.012	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
30	0	0	0	0	0	0	1.1e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
31	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
32	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
33	0	0	6.3e-05	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
34	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
35	0	0.006	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
36	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
37	0	0	0	0	0	0	0.0015	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
38	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
39	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
40	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
41	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
42	0	0.00094	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
43	0	1	0	0	0	0	0	0	0	0	1	0.03	0	0.054	0	0	0.038
44	0	0	0	0	0	0	0.048	0	0.95	0	8	0.73	0.69	0.49	0.56	0.58	0.66
45	0	0.00063	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
46	0	0	0	0	0	0	0.00055	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
47	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
48	0	0	0	0	0	0	7.6e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
49	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
50	1.5e-06	0.013	0	0	0	0	0	0.99	0	0	7	0	0.034	0.054	0	0	0
51	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
52	0	0	0	0	0	0	0.058	0	0.94	0	8	0.73	0.69	0.49	0.56	0.58	0.66
53	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
54	0	0	0	0	0	0	0	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
55	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
56	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
57	0	0	0	0	0	0	3.3e-06	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
58	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
59	1	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0.14	0
60	0	0	0	1	0	0	0	0	0	0	3	0.03	0.034	0.11	0.11	0.23	0.15
61	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
62	0	0	0	0	0	0	0.056	0	0.94	0	8	0.73	0.69	0.49	0.56	0.58	0.66
63	0	0	0	0	0	0	1e-05	0	1	0	8	0.73	0.69	0.49	0.56	0.58	0.66
64	0	0	1	0	0	0	0	0	0	0	2	0.03	0	0.054	0.054	0.047	0.11
65	0	0	0	0	0	0	0.014	0	0.99	0	8	0.73	0.69	0.49	0.56	0.58	0.66
66	0	0	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
67	0	0.0032	0	0	0	0	0	1	0	0	7	0	0.034	0.054	0	0	0
