k	loglikelihood	observations	parameters	BIC
1	-376392	57600	12	752916
2	-123993	57600	18	248183
3	-115939	57600	24	232141
4	-109774	57600	30	219878
5	-107730	57600	36	215854
6	-99270.8	57600	42	199002
7	-85463.6	57600	48	171453
8	-81968	57600	54	164528
9	-80394.8	57600	60	161447
10	-71506.7	57600	66	143737
11	-73590.7	57600	72	147971
12	-73033.5	57600	78	146922
13	-64377.1	57600	84	129675
14	-73626.8	57600	90	148240
15	-68845.6	57600	96	138744
16	-63179	57600	102	127476
17	-60177.1	57600	108	121538
18	-62867.5	57600	114	126985
19	-61910.6	57600	120	125136
20	-63239.9	57600	126	127861
