SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0.018	0	0	0	0	0.98	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
1	0	0	0	0	0	0	1	0	6	0.73	0.69	0.054	0	0	0
2	0.009	0	0	0	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
3	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
4	0	0	0	0.013	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
5	0	0	1.4e-05	0.055	0	0.94	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
6	0.55	0	0	0	0	0.45	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
7	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
8	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
9	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
10	0.69	0	0	0	0	0.31	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
11	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
12	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
13	0	0	0	0	0.78	0	0	0.22	4	0.03	0.034	0.054	0.054	0.14	0.11
14	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
15	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
16	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
17	0.33	0	0	0	0	0.67	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
18	0	1	0	0	0	0	0	0	1	0.03	0.14	0	0	0	0
19	0.0087	0	0	0	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
20	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
21	0.79	0	0	0	0	0.21	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
22	0.15	0	0	0	0	0.85	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
23	0.38	0	0	0	0	0.62	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
24	0.0058	0	0	0	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
25	0.99	0	0	0	0	0.0074	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
26	0.89	0	0	0	0	0.11	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
27	0.008	0	0	0	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
28	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
29	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
30	0.01	0	0	0	0	0.99	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
31	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
32	0	0	7.7e-06	1	0	0	0	0	3	0	0	0.054	0	0.047	0
33	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
34	7.8e-05	0	0	0	0	1	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
35	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
36	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
37	1	0	0	0	0	3e-05	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
38	0	1	0	0	0	0	0	0	1	0.03	0.14	0	0	0	0
39	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
40	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
41	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
42	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
43	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
44	0.69	0	0	0	0	0.31	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
45	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
46	0.11	0	0	0	0	0.89	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
47	2.9e-06	0	0	0	0	1	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
48	0.93	0	0	0	0	0.072	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
49	0.0022	0	0	0	0	1	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
50	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
51	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
52	0.89	0	0	0	0	0.11	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
53	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
54	0.034	0	0	0	0	0.97	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
55	0	0	0.0035	1	0	0	0	0	3	0	0	0.054	0	0.047	0
56	0	1	0	0	0	0	0	0	1	0.03	0.14	0	0	0	0
57	0.029	0	0	0	0	0.97	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
58	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
59	0	0	0.0046	1	0	0	0	0	3	0	0	0.054	0	0.047	0
60	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
61	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
62	0.98	0	0	0	0	0.021	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
63	0.42	0	0	0	0	0.58	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
64	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
65	0.99	0	0	0	0	0.0052	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
66	0	1	0	0	0	0	0	0	1	0.03	0.14	0	0	0	0
67	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
68	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
69	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
70	0.34	0	0	0	0	0.66	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
71	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
72	0.87	0	0	0	0	0.13	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
73	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
74	0.11	0	0	0	0	0.89	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
75	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
76	0.87	0	0	0	0	0.13	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
77	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
78	0	0	0	1	0	0	0	0	3	0	0	0.054	0	0.047	0
79	0.87	0	0	0	0	0.13	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
80	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
81	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
82	0.091	0	0	0	0	0.91	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
83	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
84	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
85	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
86	0.96	0	0	0	0	0.04	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
87	0	0	1	0	0	0	0	0	2	0	0	0.054	0.11	0.093	0
88	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
89	0.97	0	0	0	0	0.033	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
90	0.4	0	0	0	0.2	0.4	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
91	0.85	0	0	0	0	0.15	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
92	0.19	0	0	0	0	0.81	0	0	5	0.73	0.69	0.55	0.51	0.58	0.66
93	0.8	0	0	0	0	0.2	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
94	0	0	1	0	2e-06	0	0	0	2	0	0	0.054	0.11	0.093	0
95	0	0	0	0	1	0	0	0	4	0.03	0.034	0.054	0.054	0.14	0.11
96	0	0	0	0	0	0	0	1	7	0	0	0.054	0.16	0.14	0.34
97	0.56	0	0	0	0	0.44	0	0	0	0.76	0.69	0.49	0.56	0.58	0.7
