SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1	0	1	0.26	0.49	0.25	0.22
1	0	1	0	1	0.26	0.49	0.25	0.22
2	1	0	0	0	0.087	0.054	0.06	0.049
3	0	1	0	1	0.26	0.49	0.25	0.22
4	0	1	0	1	0.26	0.49	0.25	0.22
5	0	1	0	1	0.26	0.49	0.25	0.22
6	1	0	0	0	0.087	0.054	0.06	0.049
7	0	1	0	1	0.26	0.49	0.25	0.22
8	0	1	0	1	0.26	0.49	0.25	0.22
9	0	1	0	1	0.26	0.49	0.25	0.22
10	1	0	0	0	0.087	0.054	0.06	0.049
11	0	0	1	2	0	0.27	0	0
12	1	0	0	0	0.087	0.054	0.06	0.049
13	0	1	0	1	0.26	0.49	0.25	0.22
14	0	1	0	1	0.26	0.49	0.25	0.22
15	1	0	0	0	0.087	0.054	0.06	0.049
16	0	1	0	1	0.26	0.49	0.25	0.22
17	0	1	0	1	0.26	0.49	0.25	0.22
18	0	1	0	1	0.26	0.49	0.25	0.22
19	0.25	0.75	0	1	0.26	0.49	0.25	0.22
20	0	1	0	1	0.26	0.49	0.25	0.22
21	0	1	0	1	0.26	0.49	0.25	0.22
22	1	0	0	0	0.087	0.054	0.06	0.049
23	1	0	0	0	0.087	0.054	0.06	0.049
24	0	1	0	1	0.26	0.49	0.25	0.22
25	0	1	0	1	0.26	0.49	0.25	0.22
26	0	1	0	1	0.26	0.49	0.25	0.22
27	1	0	0	0	0.087	0.054	0.06	0.049
28	1	0	0	0	0.087	0.054	0.06	0.049
29	0	1	0	1	0.26	0.49	0.25	0.22
30	0	1	0	1	0.26	0.49	0.25	0.22
31	0	1	0	1	0.26	0.49	0.25	0.22
32	0	0	1	2	0	0.27	0	0
33	0	1	0	1	0.26	0.49	0.25	0.22
34	0	1	0	1	0.26	0.49	0.25	0.22
35	1	0	0	0	0.087	0.054	0.06	0.049
36	0	1	0	1	0.26	0.49	0.25	0.22
37	0	0	1	2	0	0.27	0	0
38	0	1	0	1	0.26	0.49	0.25	0.22
39	0	1	0	1	0.26	0.49	0.25	0.22
40	1	0	0	0	0.087	0.054	0.06	0.049
41	0	1	0	1	0.26	0.49	0.25	0.22
42	0	0	1	2	0	0.27	0	0
43	0	1	0	1	0.26	0.49	0.25	0.22
44	0	1	0	1	0.26	0.49	0.25	0.22
45	0	0	1	2	0	0.27	0	0
46	0	0	1	2	0	0.27	0	0
47	1	0	0	0	0.087	0.054	0.06	0.049
48	0	0	1	2	0	0.27	0	0
49	0	1	0	1	0.26	0.49	0.25	0.22
50	0	1	0	1	0.26	0.49	0.25	0.22
51	0	1	0	1	0.26	0.49	0.25	0.22
52	0	1	0	1	0.26	0.49	0.25	0.22
53	0	1	0	1	0.26	0.49	0.25	0.22
54	1	0	0	0	0.087	0.054	0.06	0.049
55	0	1	0	1	0.26	0.49	0.25	0.22
56	0	1	0	1	0.26	0.49	0.25	0.22
57	0	1	0	1	0.26	0.49	0.25	0.22
58	0	1	0	1	0.26	0.49	0.25	0.22
59	0	1	0	1	0.26	0.49	0.25	0.22
60	0	1	0	1	0.26	0.49	0.25	0.22
61	0	1	0	1	0.26	0.49	0.25	0.22
62	0	1	0	1	0.26	0.49	0.25	0.22
63	0	1	0	1	0.26	0.49	0.25	0.22
64	1	0	0	0	0.087	0.054	0.06	0.049
65	0	1	0	1	0.26	0.49	0.25	0.22
66	0	1	0	1	0.26	0.49	0.25	0.22
67	0	0	1	2	0	0.27	0	0
68	5e-05	1	0	1	0.26	0.49	0.25	0.22
69	0	0	1	2	0	0.27	0	0
70	1	0	0	0	0.087	0.054	0.06	0.049
71	0	1	0	1	0.26	0.49	0.25	0.22
72	1	0	0	0	0.087	0.054	0.06	0.049
73	0	1	0	1	0.26	0.49	0.25	0.22
74	0	1	0	1	0.26	0.49	0.25	0.22
75	0	1	0	1	0.26	0.49	0.25	0.22
76	0	0	1	2	0	0.27	0	0
77	0	1	0	1	0.26	0.49	0.25	0.22
78	0	1	0	1	0.26	0.49	0.25	0.22
79	1	0	0	0	0.087	0.054	0.06	0.049
80	0	1	0	1	0.26	0.49	0.25	0.22
81	2.6e-06	1	0	1	0.26	0.49	0.25	0.22
82	0	1	0	1	0.26	0.49	0.25	0.22
83	0	1	0	1	0.26	0.49	0.25	0.22
84	1	0	0	0	0.087	0.054	0.06	0.049
85	0	1	0	1	0.26	0.49	0.25	0.22
86	0	1	0	1	0.26	0.49	0.25	0.22
87	0	1	0	1	0.26	0.49	0.25	0.22
88	0	1	0	1	0.26	0.49	0.25	0.22
89	0	1	0	1	0.26	0.49	0.25	0.22
90	0	0	1	2	0	0.27	0	0
91	0	1	0	1	0.26	0.49	0.25	0.22
92	0	1	0	1	0.26	0.49	0.25	0.22
93	1	0	0	0	0.087	0.054	0.06	0.049
94	0	1	0	1	0.26	0.49	0.25	0.22
95	0	1	0	1	0.26	0.49	0.25	0.22
96	0	1	0	1	0.26	0.49	0.25	0.22
97	0	1	0	1	0.26	0.49	0.25	0.22
98	1	0	0	0	0.087	0.054	0.06	0.049
99	0	1	0	1	0.26	0.49	0.25	0.22
100	1	0	0	0	0.087	0.054	0.06	0.049
101	0	1	0	1	0.26	0.49	0.25	0.22
102	0	1	0	1	0.26	0.49	0.25	0.22
103	0	0	1	2	0	0.27	0	0
104	0	1	0	1	0.26	0.49	0.25	0.22
105	1	0	0	0	0.087	0.054	0.06	0.049
106	0	0	1	2	0	0.27	0	0
107	0	0	1	2	0	0.27	0	0
108	1	0	0	0	0.087	0.054	0.06	0.049
109	0	1	0	1	0.26	0.49	0.25	0.22
110	0	1	0	1	0.26	0.49	0.25	0.22
111	0	1	0	1	0.26	0.49	0.25	0.22
112	0	1	0	1	0.26	0.49	0.25	0.22
113	1	0	0	0	0.087	0.054	0.06	0.049
114	0	1	0	1	0.26	0.49	0.25	0.22
115	0	1	0	1	0.26	0.49	0.25	0.22
116	1	0	0	0	0.087	0.054	0.06	0.049
117	0	1	0	1	0.26	0.49	0.25	0.22
118	0	1	0	1	0.26	0.49	0.25	0.22
119	0	1	0	1	0.26	0.49	0.25	0.22
120	0	1	0	1	0.26	0.49	0.25	0.22
121	0	1	0	1	0.26	0.49	0.25	0.22
122	0	1	0	1	0.26	0.49	0.25	0.22
123	0	1	0	1	0.26	0.49	0.25	0.22
124	0	1	0	1	0.26	0.49	0.25	0.22
125	1	0	0	0	0.087	0.054	0.06	0.049
126	1	0	0	0	0.087	0.054	0.06	0.049
127	0	0	1	2	0	0.27	0	0
128	0	1	0	1	0.26	0.49	0.25	0.22
129	0	1	0	1	0.26	0.49	0.25	0.22
130	0	1	0	1	0.26	0.49	0.25	0.22
131	0	1	0	1	0.26	0.49	0.25	0.22
132	0	1	0	1	0.26	0.49	0.25	0.22
133	0	1	0	1	0.26	0.49	0.25	0.22
134	1	0	0	0	0.087	0.054	0.06	0.049
135	1	0	0	0	0.087	0.054	0.06	0.049
136	0	1	0	1	0.26	0.49	0.25	0.22
137	0	1	0	1	0.26	0.49	0.25	0.22
138	1	0	0	0	0.087	0.054	0.06	0.049
139	0	1	0	1	0.26	0.49	0.25	0.22
140	1	0	0	0	0.087	0.054	0.06	0.049
141	1	0	0	0	0.087	0.054	0.06	0.049
142	1	0	0	0	0.087	0.054	0.06	0.049
143	1	0.00047	0	0	0.087	0.054	0.06	0.049
144	0	1	0	1	0.26	0.49	0.25	0.22
145	1	0	0	0	0.087	0.054	0.06	0.049
146	0	1	0	1	0.26	0.49	0.25	0.22
147	0	0	1	2	0	0.27	0	0
