SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.49	0.18	0.073
1	0.049	4e-05	0	0.95	0	0	0	0	0	0	7.2e-06	0	0	0	0	0	0	0	0.0041	0	3	0.53	0.49	0.25	0.22
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0.49	0.18	0.073
3	0.0028	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	18	0.26	0.49	0.32	0.34
4	0.79	0.00048	0	1.5e-05	0	0	0	0	0	0	2.5e-05	0	0	0	0	0	0	0	0.21	0	0	0.26	0.49	0.18	0.22
5	0.59	5.9e-05	0	0.00011	0	0	0	0	0.36	0	0.049	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.18	0.22
7	0.0045	0	0	0.99	0	0	0	0	0	0	1.3e-05	0	0	0	0	0	0	0	0.00055	0	3	0.53	0.49	0.25	0.22
8	0.0011	0	0	0	0	0	0	0	0.99	0	0.00032	0	0	0	0.0037	0	0	0	8.2e-06	0	8	0.26	0.94	0.18	0.22
9	0	0	0	0	0	0	0	0	0.91	0	0.093	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.029	0.16	0.18	0.22
11	2.3e-06	0	0	0	0.00031	0.0014	0	0	0.38	0	0.0054	0	0	4e-06	0	0	0	0	0	0.61	19	0	0.49	0	0
12	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0	17	0	0	0	0.17
13	0.73	0.0033	0	0	0	0	0	0	0.029	0	0.19	0	5.6e-05	0	0.0011	0	0	0	0.048	0	0	0.26	0.49	0.18	0.22
14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	6	0.14	0	0	0
16	0.00031	0	0	0	0	0	0	0	0.99	0	0.0093	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
17	3e-05	0	0	0	0	0	0	0	1	0	0.0019	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
18	0.47	0.00058	0	0	0	0	0	0	0.52	0	0.0049	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
19	0.61	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
20	0	0	0	0	0	0	0	0	0.94	0	0.057	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
21	0.00017	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	3	0.53	0.49	0.25	0.22
22	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	17	0	0	0	0.17
23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.18	0.22
24	0	0	0	0	0	0	0	0	0.99	0	0.009	0	0	0	0	0	0	0	0	0	8	0.26	0.94	0.18	0.22
25	0.98	0.002	0	0	0	0	0	0	5.6e-06	0	0.0066	0	0	0	0	0	0	0	0.0085	0	0	0.26	0.49	0.18	0.22
26	1	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
27	0.52	0	0	0	0	0	4.4e-05	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0.26	0.49	0.18	0.22
28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0.14	0	0	0
29	0.72	0.00034	0	0.013	0	0	0	0	0.22	0	0.046	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
30	0.84	0.00046	0	0.0041	0	0	0	0	0.16	0	4.9e-06	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
31	1	9.3e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7e-05	0	0	0.26	0.49	0.18	0.22
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0.49	0	0
33	0.39	0.0012	0	0.018	0	0	0	0	0.53	0	0.059	0	0	0	0.0011	0	0	0	0.0017	0	8	0.26	0.94	0.18	0.22
34	0.73	0.00036	0	0	0	0	0	0	0	0	1.7e-05	0	0	0	0	0	0	0	0.27	0	0	0.26	0.49	0.18	0.22
35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.26	0.054	0.02	0
36	0.93	0.00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068	0	0	0.26	0.49	0.18	0.22
37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.11	0	0
38	0.76	0.00036	0	0.0039	0	0	0	0	0.22	0	0.023	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
39	0.56	0.00047	0	0.0047	0	0	0	0	0.14	0	0.0088	0	0	0	0.064	0	0	0	0.22	0	0	0.26	0.49	0.18	0.22
40	0.52	0	0	0	0	0	0.0015	0	0	0	0	6.4e-05	0	0	0	0.48	0	0	0	0	0	0.26	0.49	0.18	0.22
41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.029	0.16	0.18	0.22
42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.11	0	0
43	0.89	0.00097	0	4.5e-05	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
44	1	8.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
45	0	0	0	0	0	0	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0.53	19	0	0.49	0	0
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0.49	0	0
47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.029	0.16	0.18	0.22
48	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.11	0	0
49	0.99	0.00052	0	0	0	0	0	0	0	0	8.9e-05	0	0	0	0	0	0	0	0.0076	0	0	0.26	0.49	0.18	0.22
50	0.33	0.00095	0	0	0	0	0	0	5.7e-05	0	0.0053	0	0	0	5.5e-05	0	0	0	0.67	0	18	0.26	0.49	0.32	0.34
51	0.17	0.0028	0	0	0	0	0	0	0.07	0	0.71	0	0	0	0.0072	0	0	0	0.037	0	10	0.26	0.72	0.18	0.22
52	0.8	0.0061	0	0	0	0	0	0	0.0018	0	0.19	0	0	0	2.4e-06	0	0	0	0.0027	0	0	0.26	0.49	0.18	0.22
53	1	0.00078	0	3.1e-05	0	0	0	0	0	0	0.00023	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
54	0.85	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
55	0.94	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0.26	0.49	0.18	0.22
56	0.86	0.00095	0	0.034	0	0	0	0	0.011	0	0.011	0	0	0	0.00092	0	0	0	0.078	0	0	0.26	0.49	0.18	0.22
57	1	2.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
58	1	0.00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
59	0.74	0.00082	0	0.00032	0	0	0	0	2.5e-05	0	0.001	0	0	0	4.2e-06	0	0	0	0.25	0	0	0.26	0.49	0.18	0.22
60	0.19	0.00042	0	0	0	0	0	0	2.4e-06	0	0.001	0	0	0	5e-06	0	0	0	0.81	0	18	0.26	0.49	0.32	0.34
61	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	18	0.26	0.49	0.32	0.34
62	1	7.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
63	0.015	0.00011	0	6.1e-05	0	0	0	0	0.92	0	0.03	0	0	0	0.038	0	0	0	0.0013	0	8	0.26	0.94	0.18	0.22
64	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.18	0.22
65	0.92	0.00092	0	0.0006	0	0	0	0	0	0	0.00037	0	0	0	0	0	0	0	0.081	0	0	0.26	0.49	0.18	0.22
66	0.53	0.00071	0	0.47	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0.0016	0	0	0.26	0.49	0.18	0.22
67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.11	0	0
68	1	0	0	0	0	2.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
69	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.11	0	0
70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0.1	0
71	0.01	1.4e-05	0	0	0	0	0	0	0	0	5.6e-06	0	0	0	0	0	0	0	0.99	0	18	0.26	0.49	0.32	0.34
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0.17
73	1	0.00016	0	0	0	0	0	0	0	0	1.9e-06	0	0	0	0	0	0	0	6.9e-06	0	0	0.26	0.49	0.18	0.22
74	1	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
75	1	0.00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0.26	0.49	0.18	0.22
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0.49	0	0
77	1	0.0015	0	1.4e-06	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	1.9e-05	0	0	0.26	0.49	0.18	0.22
78	1	0.00063	0	0	0	0	0	0	3.3e-05	0	0.0016	0	0	0	0	0	0	0	0.00064	0	0	0.26	0.49	0.18	0.22
79	0	0	0	0	0	0	5.7e-05	0	0	0	0	6.2e-06	0	0	0	1	0	0	0	0	15	0.26	0	0	0
80	1	0.00034	0	0	0	0	0	0	0	0	4.8e-05	0	0	0	0	0	0	0	3e-05	0	0	0.26	0.49	0.18	0.22
81	1	0.0002	0	1.6e-05	0	0	0	0	0	0	4.1e-05	0	0	0	0	0	0	0	2.5e-05	0	0	0.26	0.49	0.18	0.22
82	1	0.00034	0	6.8e-06	0	0	0	0	0	0	4.7e-06	0	0	0	0	0	0	0	0.00011	0	0	0.26	0.49	0.18	0.22
83	1	0.0003	0	0	0	0	0	0	0	0	1.2e-06	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
84	0	0	0	0	0	0	0.0011	0	0	0	0	0.015	0	0	0	0.98	0	0	0	0	15	0.26	0	0	0
85	1	0.00078	0	0	0	0	0	0	4.9e-06	0	0.0016	0	0	0	0	0	0	0	0.001	0	0	0.26	0.49	0.18	0.22
86	1	3.8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
87	0.9	0.004	0	1e-06	0	0	0	0	0.0066	0	0.092	0	0	0	1.4e-05	0	0	0	0.0017	0	0	0.26	0.49	0.18	0.22
88	0.18	5.4e-05	0	0.034	0	0	0	0	3.6e-05	0	0	0	0	0	8.2e-05	0	0	0	0.79	0	18	0.26	0.49	0.32	0.34
89	1	0.00065	0	0	0	0	0	0	0	0	7.4e-06	0	0	0	0	0	0	0	0	0	0	0.26	0.49	0.18	0.22
90	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	4	0	0.11	0	0
91	0.98	0.0017	0	9.7e-06	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0.012	0	0	0.26	0.49	0.18	0.22
