k	loglikelihood	observations	parameters	BIC
1	-55668.8	26164	8	111419
2	-31960.9	26164	12	64044
3	-28741.7	26164	16	57646.2
4	-25952.4	26164	20	52108.3
5	-25093.5	26164	24	50431.2
6	-21668.2	26164	28	43621.3
7	-21354.2	26164	32	43033.9
8	-21312.5	26164	36	42991.2
9	-22288.2	26164	40	44983.3
10	-17997.5	26164	44	36442.6
11	-18394.6	26164	48	37277.5
12	-17688.1	26164	52	35905.1
13	-16951	26164	56	34471.6
14	-19724.9	26164	60	40060.1
15	-17478.1	26164	64	35607.2
16	-18046.1	26164	68	36784
17	-17303.8	26164	72	35339.9
18	-15432.1	26164	76	31637.3
19	-17269.3	26164	80	35352.4
20	-16196.9	26164	84	33248.3
