SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0.018	0	0	0.98	0	0	3	0.4	0.49
1	0.12	0.00073	0	0.87	0.0053	0	3	0.4	0.49
2	0.92	0	0	0.029	0.052	0	0	0.44	0.55
3	0.32	0	0	0.68	2.3e-05	0	3	0.4	0.49
4	0.00048	0.87	0	0.13	0	0	1	0.31	0.38
5	0.38	0.00013	0	0.6	0.022	0	3	0.4	0.49
6	0.0019	0	0	1	0	0	3	0.4	0.49
7	0	0	1	0	0	0	2	0.044	0.11
8	0.078	1.9e-05	0	0.92	4.1e-05	0	3	0.4	0.49
9	0.16	0	0	0.84	0.00017	0	3	0.4	0.49
10	0.0097	0.00048	0	0.99	0	0	3	0.4	0.49
11	0.0034	0.095	0	0.9	0	0	3	0.4	0.49
12	3.1e-05	0.75	0	0.25	0	0	1	0.31	0.38
13	0.0021	0.089	0	0.91	0	0	3	0.4	0.49
14	0.053	0.017	0	0.93	0.0015	0	3	0.4	0.49
15	0.27	1.9e-05	0	0.68	0.049	0	3	0.4	0.49
16	0.0093	0.013	0	0.98	0	0	3	0.4	0.49
17	0.14	0	0	0.86	0.0012	0	3	0.4	0.49
18	0.0025	0.24	0	0.75	0	0	3	0.4	0.49
19	0.65	0	0	0.31	0.035	0	0	0.44	0.55
20	0.0036	3.7e-05	0	1	0	0	3	0.4	0.49
21	0.14	0	0	0.85	0.0066	0	3	0.4	0.49
22	0.38	0	0	0.54	0.079	0	3	0.4	0.49
23	0	0	0	0	0	1	5	0.089	0
24	0.089	0.00036	0	0.91	9.7e-06	0	3	0.4	0.49
25	4.4e-05	0.8	0	0.2	0	0	1	0.31	0.38
26	0.097	0.014	0	0.86	0.028	0	3	0.4	0.49
27	0.35	0	0	0.63	0.015	0	3	0.4	0.49
28	0.58	0	0	0.4	0.015	0	0	0.44	0.55
29	0.91	0	0	0.071	0.018	0	0	0.44	0.55
30	0	1	0	1.4e-05	0	0	1	0.31	0.38
31	0.0047	0.68	0	0.32	0	0	1	0.31	0.38
32	0.17	0	0	0.83	0.00023	0	3	0.4	0.49
33	0.034	0.00074	0	0.97	1.3e-05	0	3	0.4	0.49
34	0.28	8.3e-06	0	0.69	0.03	0	3	0.4	0.49
