SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0.052	0.056	0	0	0	0.056	0.36	0	0.36	0	0	0	0	0	0.056	0.056	0	0	6	0.42	0.55
1	0.084	0.062	0.00027	0.005	0	0.062	0.33	0	0.33	0	0	0	4.4e-06	0	0.062	0.062	0.005	0.00021	6	0.42	0.55
2	0	3.5e-05	0	0.041	0	3.5e-05	0.46	0.00022	0.46	0	0	0	1.2e-06	0.00022	3.5e-05	3.5e-05	0.041	3.1e-06	6	0.42	0.55
3	0.002	0.0066	0	7.8e-05	0	0.0066	0.48	0.0039	0.48	0	0	0	0	0.00032	0.0066	0.0066	7.8e-05	0	6	0.42	0.55
4	0.78	0.034	0.07	0	0.012	0.034	0.0017	0.00051	0.0017	0	0	0	0	3.5e-06	0.034	0.034	0	0	0	0.36	0.44
5	0.016	0.027	7e-06	0.012	0	0.027	0.42	0.0044	0.42	0	0	0	5.6e-05	0.001	0.027	0.027	0.012	0.00022	6	0.42	0.55
6	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	1.3e-05	6	0.42	0.55
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0.044	0.11
8	0.04	0.026	0	0.00032	0	0.026	0.43	0	0.43	0	0	0	0	0	0.026	0.026	0.00032	0	6	0.42	0.55
9	0	0	0	0.0011	0	0	0.5	0	0.5	0	0	0	0.0004	0	0	0	0.0011	0	6	0.42	0.55
10	0.34	0.12	0.00015	0	0	0.12	0.083	0	0.083	0	0	0	0	0	0.12	0.12	0	0	0	0.36	0.44
11	0.72	0.062	0.014	0	8.2e-06	0.062	0.0095	0	0.0095	0	0	0	0	0	0.062	0.062	0	0	0	0.36	0.44
12	0.98	0.0046	0.00083	0	1.6e-05	0.0046	0.00013	0	0.00013	0	0	0	0	0	0.0046	0.0046	0	0	0	0.36	0.44
13	0.81	0.044	0.0022	0	4.5e-06	0.044	0.0067	0	0.0067	0	0	0	0	0	0.044	0.044	0	0	0	0.36	0.44
14	0.33	0.053	0.003	0.0029	0.00013	0.053	0.22	0	0.22	0	0	0	0.00016	0	0.053	0.053	0.0029	7.2e-05	0	0.36	0.44
15	0.0077	0.0077	0	0.042	0	0.0077	0.44	0	0.44	0	0	0	0.00099	0	0.0077	0.0077	0.042	0.0011	6	0.42	0.55
16	0.62	0.068	0.00044	1.9e-06	0	0.068	0.053	0	0.053	0	0	0	0	0	0.068	0.068	1.9e-06	0	0	0.36	0.44
17	0	0	0	0.0024	0	0	0.5	0	0.5	0	0	0	1.5e-05	0	0	0	0.0024	1.1e-05	6	0.42	0.55
18	0.89	0.021	0.0016	0	0.00058	0.021	0.01	0	0.01	0	0	0	0	0	0.021	0.021	0	0	0	0.36	0.44
19	6.4e-05	0.00062	0	0.026	0	0.00062	0.47	0	0.47	0	0	0	7.2e-06	0	0.00062	0.00062	0.026	1.8e-05	6	0.42	0.55
20	0.36	0.13	0	0	0	0.13	0.053	0.0018	0.053	0	0	0	0	2.8e-06	0.13	0.13	0	0	0	0.36	0.44
21	0	0	0	0.0051	0	0	0.49	0	0.49	0	0	0	3.8e-06	0	0	0	0.0051	0.0013	6	0.42	0.55
22	0	0	0	0.031	0	0	0.47	0	0.47	0	0	0	8e-05	0	0	0	0.031	0.0042	6	0.42	0.55
23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0.089	0
24	0.1	0.1	1.3e-05	2.6e-05	0	0.1	0.24	0.0035	0.24	0	0	0	0	0.00011	0.1	0.1	2.6e-05	0	6	0.42	0.55
25	0.69	0.027	0.21	0	2.3e-05	0.027	6.8e-05	0	6.8e-05	0	0	0	0	0	0.027	0.027	0	0	0	0.36	0.44
