SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0.074	0.017	0.73	0	0	0	0	0	0.017	0.017	0.074	0	0	0.074	0	0	0	0	0	0	2	0.42	0.55
1	0.082	0.028	0.66	0.005	0	0	0.005	0.00021	0.028	0.028	0.082	0	0	0.082	0	0.00014	4.4e-06	0	0.00014	0	2	0.42	0.55
2	4.7e-05	0	0.92	0.041	0	0.00022	0.041	3.1e-06	0	0	4.7e-05	0	0.00022	4.7e-05	0	0	1.2e-06	0	0	0	2	0.42	0.55
3	0.0088	0.00066	0.97	7.8e-05	0	0.00032	7.8e-05	0	0.00066	0.00066	0.0088	0	0.0039	0.0088	0	0	0	0	0	0	2	0.42	0.55
4	0.046	0.26	0.0033	0	0.012	3.5e-06	0	0	0.26	0.26	0.046	0	0.00051	0.046	0	0.035	0	0	0.035	0	1	0.36	0.44
5	0.036	0.0054	0.85	0.012	0	0.001	0.012	0.00022	0.0054	0.0054	0.036	0	0.0044	0.036	0	3.5e-06	5.6e-05	0	3.5e-06	0	2	0.42	0.55
6	0	0	1	0	0	0	0	1.3e-05	0	0	0	0	0	0	0	0	0	0	0	0	2	0.42	0.55
7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.044	0.11
8	0.035	0.013	0.86	0.00032	0	0	0.00032	0	0.013	0.013	0.035	0	0	0.035	0	0	0	0	0	0	2	0.42	0.55
9	0	0	1	0.0011	0	0	0.0011	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	2	0.42	0.55
10	0.16	0.11	0.17	0	0	0	0	0	0.11	0.11	0.16	0	0	0.16	0	7.6e-05	0	0	7.6e-05	0	2	0.42	0.55
11	0.082	0.24	0.019	0	8.2e-06	0	0	0	0.24	0.24	0.082	0	0	0.082	0	0.007	0	0	0.007	0	1	0.36	0.44
12	0.0061	0.33	0.00026	0	1.6e-05	0	0	0	0.33	0.33	0.0061	0	0	0.0061	0	0.00041	0	0	0.00041	0	1	0.36	0.44
13	0.059	0.27	0.013	0	4.5e-06	0	0	0	0.27	0.27	0.059	0	0	0.059	0	0.0011	0	0	0.0011	0	1	0.36	0.44
