k	loglikelihood	observations	parameters	BIC
1	-30509	12640	4	61055.8
2	-11624.5	12640	6	23305.7
3	-10696.6	12640	8	21468.7
4	-10088.2	12640	10	20270.8
5	-10013.3	12640	12	20139.9
6	-9773.19	12640	14	19678.6
7	-9836.4	12640	16	19823.9
8	-9687.4	12640	18	19544.8
9	-9687.4	12640	20	19563.7
10	-9713.71	12640	22	19635.2
11	-9584.34	12640	24	19395.4
12	-9714.57	12640	26	19674.7
13	-9754.79	12640	28	19774
14	-9532.84	12640	30	19349
15	-9520.33	12640	32	19342.9
16	-9526.87	12640	34	19374.9
17	-9526.54	12640	36	19393.1
18	-9703.4	12640	38	19765.7
19	-9750.36	12640	40	19878.5
20	-9703.4	12640	42	19803.5
