SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0.0064	0.039	0.95	0	0.0041	0	0	2	0.4	0.49
1	0.028	0.22	0.72	2.1e-06	0.028	0	0	2	0.4	0.49
2	0	0.99	0.014	0	5.1e-05	0	0	1	0.44	0.55
3	0.0018	0.51	0.48	0	0.0047	0	0	1	0.44	0.55
4	0.69	0.0011	0.14	0.15	0.016	0	0	0	0.36	0.44
5	0.012	0.56	0.4	0	0.024	0	0	1	0.44	0.55
6	0	0.0042	1	0	0	0	0	2	0.4	0.49
7	0	0	0	0	0	1	0	5	0.044	0.11
8	0.012	0.16	0.83	0	0.0063	0	0	2	0.4	0.49
9	0	0.29	0.71	0	0	0	0	2	0.4	0.49
10	0.077	0.019	0.88	0	0.019	0	0	2	0.4	0.49
11	0.39	0.005	0.59	0.00055	0.022	0	0	2	0.4	0.49
12	0.87	3.6e-05	0.13	0.0021	0.00087	0	0	0	0.36	0.44
13	0.43	0.0029	0.56	0.00023	0.013	0	0	2	0.4	0.49
14	0.11	0.099	0.77	0.00052	0.016	0	0	2	0.4	0.49
15	0.0049	0.47	0.52	0	0.0056	0	0	2	0.4	0.49
16	0.19	0.016	0.78	2.5e-05	0.014	0	0	2	0.4	0.49
17	0	0.27	0.73	0	0	0	0	2	0.4	0.49
18	0.49	0.0037	0.5	0.0043	0.005	0	0	2	0.4	0.49
19	5.6e-05	0.82	0.18	0	0.00073	0	0	1	0.44	0.55
20	0.096	0.0072	0.88	0	0.012	0	0	2	0.4	0.49
21	0	0.27	0.73	0	0	0	0	2	0.4	0.49
22	0	0.61	0.39	0	0	0	0	1	0.44	0.55
23	0	0	0	0	0	0	1	6	0.089	0
24	0.051	0.16	0.74	0	0.046	0	0	2	0.4	0.49
25	0.83	7e-05	0.14	0.0091	0.018	0	0	0	0.36	0.44
26	0.079	0.18	0.73	0.00086	0.0083	0	0	2	0.4	0.49
27	0	0.55	0.45	0	0	0	0	1	0.44	0.55
28	0	0.76	0.24	0	0	0	0	1	0.44	0.55
29	0	0.97	0.034	0	5.6e-05	0	0	1	0.44	0.55
30	0.00045	0	0	1	0	0	0	3	0.27	0.33
31	0.52	0.0084	0.26	0.14	0.069	0	0	0	0.36	0.44
32	0.0032	0.31	0.68	0	0.00098	0	0	2	0.4	0.49
33	0.056	0.067	0.87	0	0.0064	0	0	2	0.4	0.49
34	0.0035	0.46	0.5	0	0.033	0	0	2	0.4	0.49
35	0.00078	0.83	0.13	0	0.036	0	0	1	0.44	0.55
36	0.0041	0	0.00016	1	4.7e-06	0	0	3	0.27	0.33
37	0.018	0.35	0.62	0	0.015	0	0	2	0.4	0.49
38	0.1	0.05	0.85	6.7e-06	0.0027	0	0	2	0.4	0.49
39	0.13	0.032	0.81	1.6e-05	0.025	0	0	2	0.4	0.49
40	0	0	0	0	0	1	0	5	0.044	0.11
41	0.011	0	0.00051	0.99	2.6e-05	0	0	3	0.27	0.33
42	0.68	8.2e-06	0.038	0.28	0.005	0	0	0	0.36	0.44
43	0.82	1.7e-06	0.025	0.15	0.00019	0	0	0	0.36	0.44
44	0	0.37	0.63	0	0	0	0	2	0.4	0.49
45	0	0.92	0.076	0	0	0	0	1	0.44	0.55
