SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0.22	0.017	0	0.017	0	0.017	0.36	0	0	0	0.36	0	0	4.8e-05	0	0	0	4.8e-05	0	6	0.42	0.55
1	0.24	0.027	0	0.027	4.4e-06	0.027	0.33	0.00021	0.005	4.3e-06	0.33	0	0	0.0021	0.005	0	0	0.0021	0	6	0.42	0.55
2	0.00014	0	0.00023	0	1.2e-06	0	0.46	3.1e-06	0.041	0	0.46	0	0.00022	0	0.041	0	0	0	0	6	0.42	0.55
3	0.026	0.00064	0.004	0.00064	0	0.00064	0.48	0	7.9e-05	0	0.48	0	0.00031	3.4e-06	7.9e-05	0	0	3.4e-06	0	6	0.42	0.55
4	0.13	0.24	0.00051	0.24	0	0.24	0.0016	0	0	0.11	0.0016	0	3.3e-06	0.017	0	0	0	0.017	0	1	0.36	0.44
5	0.11	0.0052	0.0046	0.0052	5.6e-05	0.0052	0.42	0.00022	0.012	0	0.42	0	0.001	0.00038	0.012	0	0	0.00038	0	6	0.42	0.55
6	0	0	0	0	0	0	0.5	1.3e-05	0	0	0.5	0	0	0	0	0	0	0	0	6	0.42	0.55
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0.044	0.11
8	0.1	0.013	0	0.013	0	0.013	0.43	0	0.00032	0	0.43	0	0	0.00013	0.00032	0	0	0.00013	0	6	0.42	0.55
9	0	0	0	0	0.0004	0	0.5	0	0.0011	0	0.5	0	0	0	0.0011	0	0	0	0	6	0.42	0.55
10	0.49	0.11	0	0.11	0	0.11	0.084	0	0	0	0.084	0	0	0.0042	0	0	0	0.0042	0	0	0.42	0.45
11	0.25	0.24	0	0.24	0	0.24	0.0096	0	0	0.0007	0.0096	0	0	0.012	0	0	0	0.012	0	0	0.42	0.45
12	0.019	0.33	0	0.33	0	0.33	0.00013	0	0	0.0016	0.00013	0	0	0.00095	0	0	0	0.00095	0	1	0.36	0.44
13	0.18	0.27	0	0.27	0	0.27	0.0068	0	0	0.0003	0.0068	0	0	0.0054	0	0	0	0.0054	0	1	0.36	0.44
14	0.21	0.11	0	0.11	0.00016	0.11	0.22	7.3e-05	0.0029	0.0011	0.22	0	0	0.0035	0.0029	0	0	0.0035	0	6	0.42	0.55
15	0.031	0.0025	0	0.0025	0.00098	0.0025	0.44	0.0011	0.042	0	0.44	0	0	4.5e-05	0.042	0	0	4.5e-05	0	6	0.42	0.55
16	0.27	0.2	0	0.2	0	0.2	0.054	0	1.9e-06	5.6e-05	0.054	0	0	0.0034	1.9e-06	0	0	0.0034	0	0	0.42	0.45
17	0	0	0	0	1.5e-05	0	0.5	1.1e-05	0.0024	0	0.5	0	0	0	0.0024	0	0	0	0	6	0.42	0.55
18	0.083	0.3	0	0.3	0	0.3	0.01	0	0	0.0054	0.01	0	0	0.002	0	0	0	0.002	0	1	0.36	0.44
19	0.0025	2.1e-05	0	2.1e-05	7.2e-06	2.1e-05	0.47	1.8e-05	0.026	0	0.47	0	0	0	0.026	0	0	0	0	6	0.42	0.55
20	0.54	0.12	0.0019	0.12	0	0.12	0.054	0	0	0	0.054	0	2.8e-06	0.00066	0	0	0	0.00066	0	0	0.42	0.45
