k	loglikelihood	observations	parameters	BIC
1	-6194.01	5082	6	12439.2
2	-4007.18	5082	9	8091.16
3	-3738.02	5082	12	7578.44
4	-3728.74	5082	15	7585.48
5	-3552.76	5082	18	7259.12
6	-3487.59	5082	21	7154.39
7	-3505.39	5082	24	7215.58
8	-3465.14	5082	27	7160.68
9	-3448.91	5082	30	7153.82
10	-3448.91	5082	33	7179.42
11	-3448.91	5082	36	7205.02
12	-3478.2	5082	39	7289.21
13	-3298.93	5082	42	6956.27
14	-3357.51	5082	45	7099.03
15	-3357.51	5082	48	7124.63
16	-3296.14	5082	51	7027.48
17	-3290.82	5082	54	7042.45
18	-3306.01	5082	57	7098.43
19	-3306.01	5082	60	7124.03
20	-3296.14	5082	63	7129.88
