SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
0	0.79	0.089	0.092	0.03	2e-05	0	0	0	0.094	0.2	0.11
1	0	0.0016	0	1	0	0	0	3	0.17	0.2	0.17
2	0	0	0	0	0	0.99	0.012	5	0	0.11	0
3	0.91	0.039	0.033	0.022	0.0013	0	0	0	0.094	0.2	0.11
4	0.43	0.017	0.54	0.015	0	0	0	2	0.094	0.11	0.11
5	0	0	0	1	0	0	0	3	0.17	0.2	0.17
6	0.95	0.042	0.0018	0.005	0.0049	0	0	0	0.094	0.2	0.11
7	0.98	0.016	0.00026	2.1e-05	0	0	0	0	0.094	0.2	0.11
8	0.69	0.1	0.17	0.038	0	0	0	0	0.094	0.2	0.11
9	1	0.0034	2.7e-05	0.00012	0	0	0	0	0.094	0.2	0.11
10	0	0	0	0	0	0	1	6	0.057	0.044	0.038
11	0.16	0.48	0.033	0.33	0	0	0	1	0.094	0.2	0.17
12	0.12	0.049	0.81	0.00052	0.03	0	0	2	0.094	0.11	0.11
13	0	0	0	0	0	0	1	6	0.057	0.044	0.038
14	0	9.4e-06	0	1	0	0	0	3	0.17	0.2	0.17
15	0.6	0.0018	0.4	8.5e-06	0	0	0	0	0.094	0.2	0.11
16	0.77	0.094	0.0018	0.13	0.00051	0	0	0	0.094	0.2	0.11
17	0.0026	0.00053	0.00014	1	0	0	0	3	0.17	0.2	0.17
18	0.41	0.31	0.013	0.27	0.0013	0	0	0	0.094	0.2	0.11
19	0.073	0.034	0.019	0.87	0	0	0	3	0.17	0.2	0.17
20	0.00027	0.0094	0	0.99	0	0	0	3	0.17	0.2	0.17
21	1	0.0025	4e-05	1.1e-05	0.00022	0	0	0	0.094	0.2	0.11
22	0.63	0.21	0	0.00042	0.15	0	0	0	0.094	0.2	0.11
23	0.81	0.0014	0.19	4.5e-06	0	0	0	0	0.094	0.2	0.11
24	2.6e-06	0.0014	0	1	0	0	0	3	0.17	0.2	0.17
25	0.00071	0.16	0	0.84	0	0	0	3	0.17	0.2	0.17
26	0.68	0.0046	0.32	0.00028	0	0	0	0	0.094	0.2	0.11
27	0	0	0	0	0	0	1	6	0.057	0.044	0.038
28	0.94	0.0054	0.043	0.0091	7e-06	0	0	0	0.094	0.2	0.11
29	0	1.4e-05	0	1	0	0	0	3	0.17	0.2	0.17
30	0.87	0.099	0.015	0.013	9.9e-05	0	0	0	0.094	0.2	0.11
31	0.00011	0.044	0	0.96	0	0	0	3	0.17	0.2	0.17
32	0.025	0.00095	0.067	0.91	1.7e-06	0	0	3	0.17	0.2	0.17
33	0	0	1	0	0	0	0	2	0.094	0.11	0.11
34	1.4e-06	9.1e-05	0	1	0	0	0	3	0.17	0.2	0.17
35	0	0	0.99	0	0.0056	0	9.3e-05	2	0.094	0.11	0.11
36	0	0	0.056	0	3.9e-05	0	0.94	6	0.057	0.044	0.038
37	0	0	0	1	0	0	0	3	0.17	0.2	0.17
38	0	0	0	1	0	0	0	3	0.17	0.2	0.17
39	0	0	0	0	0	0	1	6	0.057	0.044	0.038
40	0	0	0	0	0	0	1	6	0.057	0.044	0.038
41	0	0	0	0	0	0	1	6	0.057	0.044	0.038
42	0.94	0.058	0	5.3e-05	0	0	0	0	0.094	0.2	0.11
43	9.9e-05	3e-06	0.98	0.00011	0.015	0	0.00019	2	0.094	0.11	0.11
44	0	0	0.85	0	0.0007	0	0.15	2	0.094	0.11	0.11
45	0.41	0.54	0.00064	0.052	1.9e-06	0	0	1	0.094	0.2	0.17
46	2.5e-05	0.0026	3.1e-06	1	0	0	0	3	0.17	0.2	0.17
47	0.00037	0.00057	0	1	0	0	0	3	0.17	0.2	0.17
48	0	0	0	1	0	0	0	3	0.17	0.2	0.17
49	0.57	0.37	0.041	0.023	0.00022	0	0	0	0.094	0.2	0.11
50	0.97	0.021	0	0.011	6.7e-06	0	0	0	0.094	0.2	0.11
51	0	0	0	0	0	0	1	6	0.057	0.044	0.038
52	3.3e-05	0.0073	0	0.99	0	0	0	3	0.17	0.2	0.17
53	0.0026	0	0.027	0	0.97	0	0	4	0.092	0.33	0.092
54	0	0	0	1	0	0	0	3	0.17	0.2	0.17
55	0	0	0	1	0	0	0	3	0.17	0.2	0.17
56	0	0	0	1	0	0	0	3	0.17	0.2	0.17
57	0	0	0	1	0	0	0	3	0.17	0.2	0.17
58	0	0	0	1	0	0	0	3	0.17	0.2	0.17
59	0	0.014	0	0.99	0	0	0	3	0.17	0.2	0.17
60	0	0	0	1	0	0	0	3	0.17	0.2	0.17
61	0	3.6e-06	0	1	0	0	0	3	0.17	0.2	0.17
62	0.042	0.0045	0.027	0.93	0	0	0	3	0.17	0.2	0.17
63	0	0	0	0	0	0	1	6	0.057	0.044	0.038
64	0.0048	0.002	0.0012	0.99	1.9e-06	0	0	3	0.17	0.2	0.17
65	0.0049	0.022	0.00027	0.97	0	0	0	3	0.17	0.2	0.17
66	0.35	0.025	0.17	0.46	3.3e-05	0	0	3	0.17	0.2	0.17
67	0	0	0	1	0	0	0	3	0.17	0.2	0.17
68	0.0082	0.062	2.4e-06	0.93	0	0	0	3	0.17	0.2	0.17
69	0.58	0.012	0	0.41	0	0	0	0	0.094	0.2	0.11
70	0	0	0	0	0	0	1	6	0.057	0.044	0.038
71	0	0	0	1	0	0	0	3	0.17	0.2	0.17
72	0.13	0.019	0.011	0.84	1.2e-05	0	0	3	0.17	0.2	0.17
73	0.0012	0.00088	8.7e-05	1	0	0	0	3	0.17	0.2	0.17
74	0.0024	0.00066	1	0.00061	0	0	0	2	0.094	0.11	0.11
75	0.00018	0.0036	2.6e-05	1	0	0	0	3	0.17	0.2	0.17
76	0.85	0.0035	0.15	8.2e-06	0	0	0	0	0.094	0.2	0.11
77	0.34	0.096	0.27	0.3	0.0021	0	0.00041	0	0.094	0.2	0.11
78	2.6e-05	0.18	0	0.82	0	0	0	3	0.17	0.2	0.17
79	0.0014	0.016	0.0044	0.98	0	0	0	3	0.17	0.2	0.17
80	0.0047	0.52	0.001	0.47	0	0	0	1	0.094	0.2	0.17
81	1.7e-05	0	1	0	0	0	0	2	0.094	0.11	0.11
82	0.47	0.055	0.36	0.12	9.7e-05	0	0	0	0.094	0.2	0.11
83	0	0	0	0	0	1	0	5	0	0.11	0
84	0.062	0.26	0.036	0.65	1e-06	0	0	3	0.17	0.2	0.17
85	2.5e-05	0	1	0	0	0	0	2	0.094	0.11	0.11
86	0.00045	0.01	6.8e-05	0.99	0	0	0	3	0.17	0.2	0.17
87	0	0	7.2e-06	0	0	0	1	6	0.057	0.044	0.038
88	0.022	0.08	0.0076	0.89	0	0	0	3	0.17	0.2	0.17
89	0.0043	0.011	0.00028	0.98	0	0	0	3	0.17	0.2	0.17
90	0.61	0.0011	0	0.39	0.0019	0	0	0	0.094	0.2	0.11
91	0.0031	0.00044	3.7e-06	1	4.9e-06	0	0	3	0.17	0.2	0.17
92	0.00097	0.019	0	0.98	3.2e-06	0	0	3	0.17	0.2	0.17
93	3e-06	0.061	0	0.94	0	0	0	3	0.17	0.2	0.17
