SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	9.5e-06	5.2e-06	0.017	0.00023	0	0.98	1.1e-05	0	0	0	5	0.094	0.2	0.13
1	0	0.001	0.96	0.042	0	0.00016	0	0	0	0	2	0.17	0.2	0.17
2	2.8e-05	0	0	0	0	0	0	0	0	1	9	0	0.044	0.019
3	3.6e-05	7.9e-06	0.018	0.001	0	0.98	0.0011	0	0	0	5	0.094	0.2	0.13
4	0.0019	2.5e-06	0.023	6.9e-05	0	0.98	1.4e-06	0	0	0	5	0.094	0.2	0.13
5	0	0.18	0.33	0.49	1.2e-05	0	0	0	0	0	3	0.17	0.27	0.17
6	0	1.5e-06	0.0038	0.00057	0	0.99	0.0038	0	0	0	5	0.094	0.2	0.13
7	0	0	9.8e-06	0	0	1	0	0	0	0	5	0.094	0.2	0.13
8	3.3e-06	6.4e-06	0.021	4.9e-05	0	0.98	0	0	0	0	5	0.094	0.2	0.13
9	0	0	6.1e-05	0	0	1	0	0	0	0	5	0.094	0.2	0.13
10	0.0023	0	0	0	0	0	0	0	1	0	8	0.11	0	0.11
11	0	0.0017	0.21	0.0027	0	0.78	0	0	0	0	5	0.094	0.2	0.13
12	0	0	0.00067	0	0	0.96	0.039	0	0	0	5	0.094	0.2	0.13
13	0.0019	0	0	0	0	0	0	0	1	0	8	0.11	0	0.11
14	0	0.017	0.61	0.38	0	0	0	0	0	0	2	0.17	0.2	0.17
15	0	0	1.3e-05	0	0	1	0	0	0	0	5	0.094	0.2	0.13
16	0	2.9e-05	0.071	0.0063	0	0.92	0.00028	0	0	0	5	0.094	0.2	0.13
17	0	0.0024	0.95	0.041	1.7e-06	0.0058	0	0	0	0	2	0.17	0.2	0.17
18	2.6e-06	0.0022	0.15	0.02	0	0.82	0.00074	0	0	0	5	0.094	0.2	0.13
19	0	0.00051	0.75	0.00097	0	0.25	0	0	0	0	2	0.17	0.2	0.17
20	0	3e-05	0.98	0.0081	0	0.012	0	0	0	0	2	0.17	0.2	0.17
21	0	0	1.6e-05	0	0	1	0.00035	0	0	0	5	0.094	0.2	0.13
22	0	0	0.00017	0.00082	0	0.93	0.065	0	0	0	5	0.094	0.2	0.13
23	4.6e-05	0	9.2e-06	0	0	1	0	0	0	0	5	0.094	0.2	0.13
24	0	0.11	0.88	0.0082	0	0.00015	0	0	0	0	2	0.17	0.2	0.17
25	0	0.03	0.81	0.13	0	0.033	0	0	0	0	2	0.17	0.2	0.17
26	0.00074	0	0.00051	0	0	1	1.5e-06	0	0	0	5	0.094	0.2	0.13
27	0.11	0	0	0	0	0	0	0	0.89	0	8	0.11	0	0.11
28	7.7e-06	0	0.012	7.4e-05	0	0.99	9.5e-06	0	0	0	5	0.094	0.2	0.13
29	0	0.37	0.63	0.00023	0	0	0	0	0	0	2	0.17	0.2	0.17
30	0	3e-06	0.0067	0.00021	0	0.99	5.4e-05	0	0	0	5	0.094	0.2	0.13
31	0	0.0021	0.98	0.0067	0	0.0098	0	0	0	0	2	0.17	0.2	0.17
32	0.013	0.00092	0.95	0.0088	1.7e-06	0.03	1.9e-06	0	0	0	2	0.17	0.2	0.17
33	0.9	0	0	0	0	0.1	0	0	0	0	0	0.094	0.067	0.076
34	0	0.0001	1	8.6e-06	0	7.3e-05	0	0	0	0	2	0.17	0.2	0.17
35	1	0	0	0.00016	0	0	0.00015	0	0	0	0	0.094	0.067	0.076
36	1	0	0	0	0	0	0	0	0	0	0	0.094	0.067	0.076
37	0	1.1e-05	0.85	0.15	0	0	0	0	0	0	2	0.17	0.2	0.17
38	0	1.6e-05	1	0.0001	0	0	0	0	0	0	2	0.17	0.2	0.17
39	0	0	0	0	0	0	0	0	0	1	9	0	0.044	0.019
40	1	0	0	0	0	0	0	0	0	0	0	0.094	0.067	0.076
41	1	0	0	0	0	0	0	0	0	0	0	0.094	0.067	0.076
42	0	0	1.7e-05	0	0	1	0	0	0	0	5	0.094	0.2	0.13
43	0.75	0	9.7e-06	0.25	0	1.2e-05	0.0014	0	0	0	0	0.094	0.067	0.076
44	1	0	0	0	0	0	0	0	0	0	0	0.094	0.067	0.076
45	0	4.9e-05	0.021	0.00046	0	0.98	0	0	0	0	5	0.094	0.2	0.13
46	0	0.095	0.9	0.003	0	0.00069	0	0	0	0	2	0.17	0.2	0.17
47	0	2e-06	0.99	2.8e-05	0	0.005	0	0	0	0	2	0.17	0.2	0.17
48	0	0.028	0.97	3.3e-06	6e-05	0	0	0	0	0	2	0.17	0.2	0.17
49	7e-06	0.00011	0.011	0.00054	0	0.99	0.00011	0	0	0	5	0.094	0.2	0.13
50	0	0	0.0059	0.00048	0	0.99	3.8e-06	0	0	0	5	0.094	0.2	0.13
51	0	0	0	0	0	0	0	0	0	1	9	0	0.044	0.019
52	0	0.062	0.9	0.037	0	0.00098	0	0	0	0	2	0.17	0.2	0.17
53	2.3e-05	0	0	0	0	3.3e-05	1	0	0	0	6	0.092	0.33	0.092
54	0	0	0.11	0.89	0	0	0	0	0	0	3	0.17	0.27	0.17
55	0	0.00016	0.33	0.67	0	0	0	0	0	0	3	0.17	0.27	0.17
56	0	0.0003	0.59	0.41	0	0	0	0	0	0	2	0.17	0.2	0.17
57	0	0.00018	0.92	0.082	0	0	0	0	0	0	2	0.17	0.2	0.17
58	0	0.0018	1	2.4e-05	0	0	0	0	0	0	2	0.17	0.2	0.17
59	0	0.08	0.92	1.7e-05	0	2.5e-05	0	0	0	0	2	0.17	0.2	0.17
60	0	4.4e-05	1	0.00085	0	0	0	0	0	0	2	0.17	0.2	0.17
61	0	0.0018	1	0.0005	0	3.3e-06	0	0	0	0	2	0.17	0.2	0.17
62	7.7e-05	0.00055	0.91	0.0094	0	0.083	0	0	0	0	2	0.17	0.2	0.17
63	1	0	0	0	0	0	0	0	0	0	0	0.094	0.067	0.076
64	3.4e-06	0.0061	0.94	0.04	2.3e-06	0.013	1.8e-06	0	0	0	2	0.17	0.2	0.17
65	0	0.018	0.92	0.023	0	0.038	0	0	0	0	2	0.17	0.2	0.17
66	0.0016	0.00048	0.46	0.007	0	0.53	3.4e-05	0	0	0	5	0.094	0.2	0.13
67	0	3.3e-05	1	0.0012	3.1e-06	0	0	0	0	0	2	0.17	0.2	0.17
68	0	0.0036	0.87	0.037	0	0.091	0	0	0	0	2	0.17	0.2	0.17
69	0	0	0.2	0.002	0	0.8	0	0	0	0	5	0.094	0.2	0.13
70	0	0	0	0	0	0	0	0	0	1	9	0	0.044	0.019
71	0	0.0046	0.99	0.0058	0	0	0	0	0	0	2	0.17	0.2	0.17
