SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0.0033	0	0	0.0079	0	0	0.84	0	0.023	0.0033	0	0	0	0	0	0	0	0	0	0.12	6	0.11	0.2	0.13
1	0	0	0	0.25	0	0	0.0023	0	0.75	0	0	0	0.00021	0.0001	0	1.7e-06	0.0001	0.0001	0	0	8	0.17	0.2	0.17
2	0	0	0	0	0.00024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.044	0.019
3	0.054	0	0	0.0081	0	0	0.8	0	0.024	0.054	0	0	3.6e-06	1.4e-06	0	2.2e-05	1.4e-06	1.4e-06	0	0.059	6	0.11	0.2	0.13
4	0.00055	0	0	0.0035	0	0	0.36	0	0.011	0.00055	0	0	0	0	0	0	0	0	0	0.62	19	0.094	0.11	0.11
5	0	0	0	0.027	0	0	0	0.17	0.081	0	0.17	0.17	0.37	0.0056	0.0004	0.00024	0.0056	0.0056	0.00032	0	12	0.17	0.27	0.24
6	0.15	0	0	0.002	0	0	0.69	0	0.0059	0.15	0	0	2e-06	0	0	2e-05	0	0	0	0.0034	6	0.11	0.2	0.13
7	7.3e-06	0	0	7.3e-06	0	0	1	0	2.2e-05	7.3e-06	0	0	0	0	0	0	0	0	0	0.00045	6	0.11	0.2	0.13
8	0.00031	0	0	0.0082	0	0	0.79	0	0.024	0.00031	0	0	0	0	0	0	0	0	0	0.18	6	0.11	0.2	0.13
9	1.2e-06	0	0	1.7e-05	0	0	1	0	5e-05	1.2e-06	0	0	0	0	0	0	0	0	0	1.8e-05	6	0.11	0.2	0.13
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
11	0.00013	0	0	0.082	0	0	0.63	2.1e-06	0.24	0.00013	2.1e-06	2.1e-06	0.00014	0.00024	0	9.3e-06	0.00024	0.00024	0	0.041	6	0.11	0.2	0.13
12	0	0	0	0.0001	0	0	0.22	0	0.0003	0	0	0	0	0	0	0.0012	0	0	0	0.77	19	0.094	0.11	0.11
13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.11	0	0
14	0	0	0	0.23	0	0	3.3e-06	2.1e-06	0.69	0	2.1e-06	2.1e-06	0.071	0.0025	0	1.9e-05	0.0025	0.0025	0	0	8	0.17	0.2	0.17
15	0	0	0	3e-06	0	0	0.29	0	9e-06	0	0	0	0	0	0	0	0	0	0	0.71	19	0.094	0.11	0.11
16	0.015	0	0	0.025	0	0	0.87	0	0.076	0.015	0	0	1.6e-05	3.9e-06	0	7.8e-05	3.9e-06	3.9e-06	0	0.0017	6	0.11	0.2	0.13
17	2.7e-05	0	0	0.24	0	0	0.034	0.00034	0.72	2.7e-05	0.00034	0.00034	0.00046	0.00023	0	0.00036	0.00023	0.00023	0	0.00016	8	0.17	0.2	0.17
18	0.011	0	0	0.067	0	0	0.69	1e-05	0.2	0.011	1e-05	1e-05	0.0022	0.00037	0	0.0013	0.00037	0.00037	0	0.015	6	0.11	0.2	0.13
19	6.6e-06	0	0	0.15	0	0	0.38	1.2e-06	0.45	6.6e-06	1.2e-06	1.2e-06	2.3e-06	3.9e-05	0	0	3.9e-05	3.9e-05	0	0.017	8	0.17	0.2	0.17
20	0	0	0	0.23	0	0	0.1	0	0.67	0	0	0	0	2.6e-06	0	0	2.6e-06	2.6e-06	0	0	8	0.17	0.2	0.17
21	0.26	0	0	1e-05	0	0	0.47	0	3.1e-05	0.26	0	0	0	0	0	0	0	0	0	0.00019	6	0.11	0.2	0.13
22	0.39	0	0	8.6e-05	0	0	0.22	0	0.00026	0.39	0	0	3e-06	0	0	0.00017	0	0	0	0	0	0.092	0.27	0.092
23	0.0027	0	0	3.6e-06	0	0	0.24	0	1.1e-05	0.0027	0	0	0	0	0	0	0	0	0	0.76	19	0.094	0.11	0.11
24	0	0	0	0.24	0	0	0.001	0.00093	0.72	0	0.00093	0.00093	0.0047	0.011	0	2.7e-06	0.011	0.011	0	0	8	0.17	0.2	0.17
25	0	0	0	0.23	0	0	0.058	6.3e-06	0.68	0	6.3e-06	6.3e-06	0.024	0.0032	0	0.00044	0.0032	0.0032	0	0	8	0.17	0.2	0.17
26	0.0025	0	0	0.00012	0	0	0.3	0	0.00036	0.0025	0	0	0	0	0	0	0	0	0	0.69	19	0.094	0.11	0.11
27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.076	0.044	0.057
28	0.0069	0	0	0.0031	0	0	0.9	0	0.0092	0.0069	0	0	0	0	0	0	0	0	0	0.071	6	0.11	0.2	0.13
29	0	0	0	0.2	0	0	8.4e-06	0.019	0.61	0	0.019	0.019	0.00075	0.044	0	0	0.044	0.044	0	0	8	0.17	0.2	0.17
30	0.013	0	0	0.0045	0	0	0.93	0	0.013	0.013	0	0	1.1e-06	0	0	2e-06	0	0	0	0.027	6	0.11	0.2	0.13
31	0	0	0	0.24	0	0	0.038	0	0.72	0	0	0	6.1e-05	0.0002	0	0	0.0002	0.0002	0	0	8	0.17	0.2	0.17
32	0.00015	0	0	0.2	1.3e-05	0	0.11	0.00011	0.61	0.00015	0.00011	0.00011	3.2e-05	7.4e-05	0	2.6e-05	7.4e-05	7.4e-05	0	0.075	8	0.17	0.2	0.17
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.094	0.11	0.11
34	0	0	0	0.25	0	0	0.0022	0	0.75	0	0	0	0	9.6e-06	0	0	9.6e-06	9.6e-06	0	0	8	0.17	0.2	0.17
35	0.46	0	0	0	0.012	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	0.068	0	0.092	0.27	0.092
36	0.22	0	0	0	0.56	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0	0.00013	4	0.076	0.044	0.057
37	0	0	0	0.25	0	0	0.00023	0	0.75	0	0	0	1e-05	0	0	2.5e-05	0	0	0	0	8	0.17	0.2	0.17
38	0	0	0	0.25	0	0	9.6e-06	0	0.75	0	0	0	0	0	0	5.3e-05	0	0	0	0	8	0.17	0.2	0.17
39	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.044	0.019
40	5e-06	0	0	0	1	0	0	0	0	5e-06	0	0	0	0	0	0	0	0	0	0	4	0.076	0.044	0.057
41	0.00058	0	0	0	1	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	4	0.076	0.044	0.057
42	0.00039	0	0	1.9e-05	0	0	1	0	5.6e-05	0.00039	0	0	0	0	0	0	0	0	0	0	6	0.11	0.2	0.13
43	0.33	0	0	7e-06	0.024	0	6.8e-05	0	2.1e-05	0.33	0	0	0.00041	0	0	0.0028	0	0	0	0.32	0	0.092	0.27	0.092
44	0.4	0	0	0	0.19	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0.00072	0	0.092	0.27	0.092
45	0.00073	0	0	0.014	0	0	0.94	0	0.041	0.00073	0	0	1.2e-05	1.2e-05	0	1.1e-06	1.2e-05	1.2e-05	0	0.00085	6	0.11	0.2	0.13
46	0	0	0	0.24	0	0	0.0033	0.0014	0.72	0	0.0014	0.0014	0.0015	0.0096	0	0	0.0096	0.0096	0	3.8e-06	8	0.17	0.2	0.17
47	0	0	0	0.23	0	0	0.084	0	0.69	0	0	0	0	0	0	0	0	0	0	0	8	0.17	0.2	0.17
48	0	0	0	0.18	0	0	0	0.098	0.52	0	0.098	0.098	0	0.0019	0	0	0.0019	0.0019	0	0	8	0.17	0.2	0.17
49	0.012	0	0	0.011	0	0	0.84	0	0.032	0.012	0	0	8.5e-05	3.9e-05	0	2.3e-05	3.9e-05	3.9e-05	0	0.096	6	0.11	0.2	0.13
50	0.0059	0	0	0.0013	0	0	0.98	0	0.004	0.0059	0	0	0	0	0	0	0	0	0	0	6	0.11	0.2	0.13
51	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.044	0.019
52	0	0	0	0.24	0	0	0.0037	0.00026	0.72	0	0.00026	0.00026	0.012	0.0063	0	0.00037	0.0063	0.0063	0	0	8	0.17	0.2	0.17
53	0	0	0	0	0	0	1.2e-05	0.28	0	0	0.28	0.28	0	0	0	0	0	0	0.028	0.12	7	0.24	0.2	0.24
54	0	0	0.62	0.096	0	0	0	0	0.29	0	0	0	0	0	0	0.0008	0	0	0	0	2	0.32	0.47	0.32
55	0	0	0.051	0.12	0	0	0	8.5e-06	0.36	0	8.5e-06	8.5e-06	0.0021	1.9e-05	0	0.47	1.9e-05	1.9e-05	0	0	15	0.17	0.33	0.17
56	0	0	0.22	0.18	0	0	0	0	0.54	0	0	0	0.0019	3.5e-05	0	0.06	3.5e-05	3.5e-05	0.00047	0	8	0.17	0.2	0.17
57	0	0	0.00053	0.16	0	0	0	0	0.48	0	0	0	0.057	1.2e-05	0	0.31	1.2e-05	1.2e-05	7.9e-05	0	8	0.17	0.2	0.17
58	0	0	0	0.25	0	0	0	7.7e-06	0.75	0	7.7e-06	7.7e-06	0	0.00017	0	0	0.00017	0.00017	0	0	8	0.17	0.2	0.17
59	0	0	0	0.25	0	0	0.00027	0	0.73	0	0	0	1e-05	0.0081	0	0	0.0081	0.0081	0	0	8	0.17	0.2	0.17
60	0	0	0	0.25	0	0	0	2.9e-06	0.75	0	2.9e-06	2.9e-06	0	4.2e-06	0	0	4.2e-06	4.2e-06	0	0	8	0.17	0.2	0.17
61	0	0	0	0.25	0	0	0.00022	2.1e-05	0.75	0	2.1e-05	2.1e-05	3.9e-06	0.00017	0	0	0.00017	0.00017	0	0	8	0.17	0.2	0.17
62	0.00011	0	0	0.19	0	0	0.2	2.3e-05	0.58	0.00011	2.3e-05	2.3e-05	2.1e-05	4.5e-05	0	2e-05	4.5e-05	4.5e-05	0	0.028	8	0.17	0.2	0.17
63	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.076	0.044	0.057
