SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	0.96	0.038	0	0	0.17	0.2	0.17
1	1	0	0	0	0.17	0.2	0.17
2	0	2.9e-05	1	2	0	0.044	0.019
3	0.89	0.11	0	0	0.17	0.2	0.17
4	0.29	0.71	0	1	0.094	0.089	0.076
5	1	0	0	0	0.17	0.2	0.17
6	0.99	0.0063	0	0	0.17	0.2	0.17
7	1	1.5e-05	0	0	0.17	0.2	0.17
8	0.98	0.025	0	0	0.17	0.2	0.17
9	1	0	0	0	0.17	0.2	0.17
10	0	1	0	1	0.094	0.089	0.076
11	1	9e-05	0	0	0.17	0.2	0.17
12	0.98	0.017	0	0	0.17	0.2	0.17
13	0	1	0	1	0.094	0.089	0.076
14	1	0	0	0	0.17	0.2	0.17
15	0.071	0.93	0	1	0.094	0.089	0.076
16	1	4.2e-05	0	0	0.17	0.2	0.17
17	1	3.4e-06	0	0	0.17	0.2	0.17
18	1	0.00059	0	0	0.17	0.2	0.17
19	1	2.7e-05	0	0	0.17	0.2	0.17
20	1	0	0	0	0.17	0.2	0.17
21	0.99	0.0076	0	0	0.17	0.2	0.17
22	1	0	0	0	0.17	0.2	0.17
23	0.0005	1	0	1	0.094	0.089	0.076
24	1	0	0	0	0.17	0.2	0.17
25	1	0	0	0	0.17	0.2	0.17
26	0.0065	0.99	0	1	0.094	0.089	0.076
27	0	1	0	1	0.094	0.089	0.076
28	0.82	0.18	0	0	0.17	0.2	0.17
29	1	0	0	0	0.17	0.2	0.17
30	0.99	0.0092	0	0	0.17	0.2	0.17
31	1	0	0	0	0.17	0.2	0.17
32	0.93	0.074	0	0	0.17	0.2	0.17
33	0	1	0	1	0.094	0.089	0.076
34	1	0	0	0	0.17	0.2	0.17
35	0	1	0	1	0.094	0.089	0.076
36	0	1	0	1	0.094	0.089	0.076
37	1	0	0	0	0.17	0.2	0.17
38	1	0	0	0	0.17	0.2	0.17
39	0	0	1	2	0	0.044	0.019
40	0	1	0	1	0.094	0.089	0.076
41	0	1	0	1	0.094	0.089	0.076
42	1	0	0	0	0.17	0.2	0.17
43	2.9e-05	1	0	1	0.094	0.089	0.076
44	0	1	0	1	0.094	0.089	0.076
45	1	1.1e-06	0	0	0.17	0.2	0.17
46	1	0	0	0	0.17	0.2	0.17
47	1	0	0	0	0.17	0.2	0.17
48	1	0	0	0	0.17	0.2	0.17
49	0.98	0.023	0	0	0.17	0.2	0.17
50	1	0	0	0	0.17	0.2	0.17
51	0	0	1	2	0	0.044	0.019
52	1	0	0	0	0.17	0.2	0.17
53	0	1	0	1	0.094	0.089	0.076
54	1	0	0	0	0.17	0.2	0.17
55	1	0	0	0	0.17	0.2	0.17
56	1	0	0	0	0.17	0.2	0.17
57	1	0	0	0	0.17	0.2	0.17
58	1	0	0	0	0.17	0.2	0.17
59	1	0	0	0	0.17	0.2	0.17
60	1	0	0	0	0.17	0.2	0.17
61	1	0	0	0	0.17	0.2	0.17
62	1	0.0016	0	0	0.17	0.2	0.17
63	0	1	0	1	0.094	0.089	0.076
64	1	4.9e-05	0	0	0.17	0.2	0.17
65	1	0	0	0	0.17	0.2	0.17
66	0.94	0.06	0	0	0.17	0.2	0.17
67	1	0	0	0	0.17	0.2	0.17
68	1	0	0	0	0.17	0.2	0.17
69	1	0	0	0	0.17	0.2	0.17
70	0	0	1	2	0	0.044	0.019
71	1	0	0	0	0.17	0.2	0.17
72	1	0.0005	0	0	0.17	0.2	0.17
73	1	0	0	0	0.17	0.2	0.17
74	0.021	0.98	0	1	0.094	0.089	0.076
75	1	0	0	0	0.17	0.2	0.17
76	0.0011	1	0	1	0.094	0.089	0.076
77	0.75	0.25	0	0	0.17	0.2	0.17
78	1	0	0	0	0.17	0.2	0.17
79	1	5.2e-05	0	0	0.17	0.2	0.17
80	1	0	0	0	0.17	0.2	0.17
81	0	1	0	1	0.094	0.089	0.076
82	0.68	0.32	0	0	0.17	0.2	0.17
83	0	0	1	2	0	0.044	0.019
84	1	0.00026	0	0	0.17	0.2	0.17
85	0	1	0	1	0.094	0.089	0.076
86	1	0	0	0	0.17	0.2	0.17
87	0	1	0	1	0.094	0.089	0.076
88	1	3e-06	0	0	0.17	0.2	0.17
89	1	0	0	0	0.17	0.2	0.17
90	1	0	0	0	0.17	0.2	0.17
91	1	0	0	0	0.17	0.2	0.17
92	1	0	0	0	0.17	0.2	0.17
