SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0.058	0	0	0.94	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
1	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
2	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
3	0	0	1	0	0	0	0	0	0	0	2	0	0.2	0	0
4	0.077	0	0	0.92	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
5	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
6	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
7	0	0	1	0	0	0	0	0	0	0	2	0	0.2	0	0
8	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
9	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
10	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
11	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
12	0.34	0	0	0.66	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
13	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
14	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
15	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
16	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
17	0	0	0	0	2.3e-05	1	0	0	0	0	5	0	0	0	0.1
18	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
19	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
20	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
21	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
22	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
23	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
24	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
25	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
26	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
27	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0.31
28	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
29	0.24	0	0	0.76	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
30	0	0	0	0	0	0	0	0	1	0	8	0.26	0.5	0.33	0.48
31	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
32	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
33	0.97	0	0	0.03	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
34	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
35	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
36	0.00051	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
37	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
38	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
39	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
40	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
41	0	0	0	0	0	0	0	1	0	0	7	0	0.11	0	0
42	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
43	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0.31
44	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
45	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
46	0.99	0	0	0.011	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
47	0	0	1	0	0	0	0	0	0	0	2	0	0.2	0	0
48	0.062	0	0	0.94	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
49	0	0	1	0	0	0	0	0	0	0	2	0	0.2	0	0
50	1	0	0	0.0023	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
51	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
52	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
53	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
54	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
55	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0.31
56	4.4e-06	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
57	9.1e-06	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
58	0.09	0	0	0.91	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
59	0.18	0	0	0.82	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
60	9.1e-05	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
61	0.99	0	0	0.0099	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
62	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
63	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
64	0.38	0	0	0.62	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
65	0.29	0	0	0.71	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
66	8.9e-05	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
67	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
68	0.96	0	0	0.043	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
69	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
70	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
71	0.00078	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
72	0	1	0	0	0	0	0	0	0	0	1	0	0	0.13	0
73	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
74	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
75	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
76	0	0	0	0	0	0	0	0	1	0	8	0.26	0.5	0.33	0.48
77	0	0	0	0	0	0	0	0	1	0	8	0.26	0.5	0.33	0.48
78	0.45	0	0	0.55	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
79	0.84	0	0	0.16	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
80	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
81	0.016	0	0	0.98	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
82	0	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
83	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0.31
84	0	0	0	0	0.00056	1	0	0	0	0	5	0	0	0	0.1
85	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
86	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
87	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0.1
88	1	0	0	0.00064	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
89	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
90	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
91	0	0	0	0	0	0	1	0	0	0	6	0.037	0.04	0.27	0.1
92	0	0	0	0	0	0	0	0	0	1	9	0.15	0.04	0	0
93	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
94	1	0	0	0	0	0	0	0	0	0	0	0.71	0.76	0.6	0.54
95	0	0	0	1	0	0	0	0	0	0	3	0.67	0.64	0.6	0.48
