k	loglikelihood	observations	parameters	BIC
1	-26218.6	2624	8	52500.2
2	-7630.42	2624	12	15355.3
3	-6433.73	2624	16	12993.4
4	-5070.44	2624	20	10298.3
5	-4517.11	2624	24	9223.16
6	-4325.81	2624	28	8872.05
7	-3952.99	2624	32	8157.91
8	-3865.88	2624	36	8015.17
9	-4045.1	2624	40	8405.11
10	-3625.21	2624	44	7596.8
11	-3605.68	2624	48	7589.24
12	-3501.14	2624	52	7411.65
13	-3436.68	2624	56	7314.22
14	-3467.45	2624	60	7407.25
15	-3460.3	2624	64	7424.44
16	-3351.69	2624	68	7238.7
17	-3261.99	2624	72	7090.79
18	-3328.72	2624	76	7255.74
19	-3165.82	2624	80	6961.44
20	-3097.81	2624	84	6856.91
