SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0.67	0.64	0.6	0.54
1	0	0	1	2	0.073	0.04	0.13	0.051
2	0	0	1	2	0.073	0.04	0.13	0.051
3	0	1	0	1	0	0.04	0	0.1
4	1	0	0	0	0.67	0.64	0.6	0.54
5	0	0	1	2	0.073	0.04	0.13	0.051
6	0	0	1	2	0.073	0.04	0.13	0.051
7	0	1	0	1	0	0.04	0	0.1
8	0	0	1	2	0.073	0.04	0.13	0.051
9	0	0	1	2	0.073	0.04	0.13	0.051
10	0	1	0	1	0	0.04	0	0.1
11	0	0	1	2	0.073	0.04	0.13	0.051
12	1	0	0	0	0.67	0.64	0.6	0.54
13	1	0	0	0	0.67	0.64	0.6	0.54
14	0	0	1	2	0.073	0.04	0.13	0.051
15	0	0	1	2	0.073	0.04	0.13	0.051
16	0	0	1	2	0.073	0.04	0.13	0.051
17	0	1	0	1	0	0.04	0	0.1
18	1	0	0	0	0.67	0.64	0.6	0.54
19	0	0	1	2	0.073	0.04	0.13	0.051
20	1	0	0	0	0.67	0.64	0.6	0.54
21	1	0	0	0	0.67	0.64	0.6	0.54
22	1	0	0	0	0.67	0.64	0.6	0.54
23	1	0	0	0	0.67	0.64	0.6	0.54
24	0	0	1	2	0.073	0.04	0.13	0.051
25	0	1	0	1	0	0.04	0	0.1
26	0	0	1	2	0.073	0.04	0.13	0.051
27	0	1	0	1	0	0.04	0	0.1
28	0	0	1	2	0.073	0.04	0.13	0.051
29	1	0	0	0	0.67	0.64	0.6	0.54
30	1	0	0	0	0.67	0.64	0.6	0.54
31	0	1	0	1	0	0.04	0	0.1
32	0	0	1	2	0.073	0.04	0.13	0.051
33	1	0	0	0	0.67	0.64	0.6	0.54
34	0	0	1	2	0.073	0.04	0.13	0.051
35	0	0	1	2	0.073	0.04	0.13	0.051
36	1	0	0	0	0.67	0.64	0.6	0.54
37	0	0	1	2	0.073	0.04	0.13	0.051
38	0	1	0	1	0	0.04	0	0.1
39	0	0	1	2	0.073	0.04	0.13	0.051
40	1	0	0	0	0.67	0.64	0.6	0.54
41	0	1	0	1	0	0.04	0	0.1
42	0	1	0	1	0	0.04	0	0.1
43	0	1	0	1	0	0.04	0	0.1
44	0	0	1	2	0.073	0.04	0.13	0.051
45	0	1	0	1	0	0.04	0	0.1
46	1	0	0	0	0.67	0.64	0.6	0.54
47	0	1	0	1	0	0.04	0	0.1
48	1	0	0	0	0.67	0.64	0.6	0.54
49	0	1	0	1	0	0.04	0	0.1
50	1	0	0	0	0.67	0.64	0.6	0.54
51	0	0	1	2	0.073	0.04	0.13	0.051
52	1	0	0	0	0.67	0.64	0.6	0.54
53	0	0	1	2	0.073	0.04	0.13	0.051
54	0	0	1	2	0.073	0.04	0.13	0.051
55	0	1	0	1	0	0.04	0	0.1
56	1	0	0	0	0.67	0.64	0.6	0.54
57	1	0	0	0	0.67	0.64	0.6	0.54
58	1	0	0	0	0.67	0.64	0.6	0.54
59	1	0	0	0	0.67	0.64	0.6	0.54
60	1	0	0	0	0.67	0.64	0.6	0.54
61	1	0	0	0	0.67	0.64	0.6	0.54
62	0	0	1	2	0.073	0.04	0.13	0.051
63	0	1	0	1	0	0.04	0	0.1
64	1	0	0	0	0.67	0.64	0.6	0.54
65	1	0	0	0	0.67	0.64	0.6	0.54
66	1	0	0	0	0.67	0.64	0.6	0.54
67	0	0	1	2	0.073	0.04	0.13	0.051
68	1	0	0	0	0.67	0.64	0.6	0.54
69	0	1	0	1	0	0.04	0	0.1
70	0	0	1	2	0.073	0.04	0.13	0.051
71	0	0	1	2	0.073	0.04	0.13	0.051
72	0	0	1	2	0.073	0.04	0.13	0.051
73	0	1	0	1	0	0.04	0	0.1
74	0	0	1	2	0.073	0.04	0.13	0.051
75	0	0	1	2	0.073	0.04	0.13	0.051
76	1	0	0	0	0.67	0.64	0.6	0.54
77	1	0	0	0	0.67	0.64	0.6	0.54
78	1	0	0	0	0.67	0.64	0.6	0.54
79	1	0	0	0	0.67	0.64	0.6	0.54
80	0	0	1	2	0.073	0.04	0.13	0.051
81	1	0	0	0	0.67	0.64	0.6	0.54
82	1	0	0	0	0.67	0.64	0.6	0.54
83	0	1	0	1	0	0.04	0	0.1
84	0	1	0	1	0	0.04	0	0.1
85	0	0	1	2	0.073	0.04	0.13	0.051
86	0	0	1	2	0.073	0.04	0.13	0.051
87	0	1	0	1	0	0.04	0	0.1
88	1	0	0	0	0.67	0.64	0.6	0.54
89	0	0	1	2	0.073	0.04	0.13	0.051
90	0	0	1	2	0.073	0.04	0.13	0.051
91	0	1	0	1	0	0.04	0	0.1
92	0	0	1	2	0.073	0.04	0.13	0.051
93	1	0	0	0	0.67	0.64	0.6	0.54
94	1	0	0	0	0.67	0.64	0.6	0.54
95	1	0	0	0	0.67	0.64	0.6	0.54
96	1	0	0	0	0.67	0.64	0.6	0.54
97	1	0	0	0	0.67	0.64	0.6	0.54
98	1	0	0	0	0.67	0.64	0.6	0.54
99	1	0	0	0	0.67	0.64	0.6	0.54
100	1	0	0	0	0.67	0.64	0.6	0.54
101	1	0	0	0	0.67	0.64	0.6	0.54
102	1	0	0	0	0.67	0.64	0.6	0.54
103	1	0	0	0	0.67	0.64	0.6	0.54
104	0	1	0	1	0	0.04	0	0.1
105	1	0	0	0	0.67	0.64	0.6	0.54
106	0	0	1	2	0.073	0.04	0.13	0.051
107	1	0	0	0	0.67	0.64	0.6	0.54
108	0	0	1	2	0.073	0.04	0.13	0.051
